GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "97000","Rocky Mountain",7,SAGDP2,1,"...","All industry total ","Millions of current dollars",258110.6,278324.1,299198.9,326792.7,338172.1,347931.5,362401.1,386799.8,423474.8,456520.0,490493.5,510481.5,490321.9,506802.1,528877.4,542933.4,571271.9,602131.0,621890.0,641047.0,681310.1,730567.7,776330.2,781318.5,881711.7,992013.8,1063127.8,1116061.6
 "97000","Rocky Mountain",7,SAGDP2,2,"..."," Private industries ","Millions of current dollars",219971.8,238764.3,257319.9,282570.9,291085.2,297831.3,309998.9,332116.1,365804.6,396378.5,427918.5,443915.3,421990.8,436574.5,457566.9,470588.5,497189.1,525142.7,541362.8,557187.2,593571.6,639400.5,681366.0,682259.9,778280.3,882805.8,944823.8,990165.4
 "97000","Rocky Mountain",7,SAGDP2,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of current dollars",4937.9,4981.5,4982.3,4860.4,5528.5,5043.8,5193.0,6901.8,6552.6,6115.4,7604.2,7497.1,6230.8,7432.5,9402.5,9115.1,10318.0,10484.9,10101.1,9336.0,8467.7,9405.6,9697.0,8787.2,10289.5,14886.9,13941.8,12479.3
 "97000","Rocky Mountain",7,SAGDP2,4,"111-112","   Farms ","Millions of current dollars",4144.9,4166.1,4153.1,4025.1,4712.1,4224.1,4355.2,6075.4,5716.8,5102.0,6601.5,6534.0,5260.1,6379.9,8337.0,8007.5,9129.0,9216.3,8772.1,8013.2,7071.9,7904.3,8186.7,7183.8,8613.3,13053.6,11931.0,10350.1
 "97000","Rocky Mountain",7,SAGDP2,5,"113-115","   Forestry, fishing, and related activities ","Millions of current dollars",793.0,815.5,829.1,835.3,816.4,819.7,837.7,826.4,835.8,1013.4,1002.7,963.1,970.7,1052.6,1065.4,1107.7,1189.0,1268.6,1329.0,1322.7,1395.8,1501.4,1510.3,1603.4,1676.3,1833.4,2010.7,2129.1
 "97000","Rocky Mountain",7,SAGDP2,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of current dollars",6600.3,6087.7,6103.6,7597.9,8596.0,8193.8,11232.1,14439.6,22497.1,27771.7,30118.7,39500.5,28679.7,31368.2,34860.6,30076.5,32450.1,36795.7,24597.5,20265.1,25493.1,28827.9,26658.4,19887.0,30388.4,39492.9,35609.2,33057.8
 "97000","Rocky Mountain",7,SAGDP2,7,"211","   Oil and gas extraction ","Millions of current dollars",2405.4,1611.3,1689.5,2924.6,3381.0,3316.5,5788.2,8213.6,13339.8,15390.8,15408.3,22839.3,13891.1,14990.7,15927.3,13345.0,15581.4,18358.1,11004.2,9903.2,12881.7,14958.0,12809.5,7174.9,15923.1,22663.4,16763.9,16065.2
 "97000","Rocky Mountain",7,SAGDP2,8,"212","   Mining (except oil and gas) ","Millions of current dollars",3490.2,3765.7,3844.1,3829.6,3844.4,3798.5,4176.0,4413.7,6454.9,7635.1,8959.0,9676.6,10747.8,11983.7,13257.3,10581.3,10538.0,10355.2,8213.6,7411.1,7778.8,7401.4,7737.4,9204.0,10743.1,11240.5,12112.6,10690.6
 "97000","Rocky Mountain",7,SAGDP2,9,"213","   Support activities for mining ","Millions of current dollars",704.7,710.7,570.0,843.7,1370.6,1078.9,1268.0,1812.3,2702.4,4745.8,5751.3,6984.7,4040.9,4393.7,5676.0,6150.2,6330.6,8082.5,5379.7,2950.8,4832.7,6468.5,6111.6,3508.2,3722.2,5589.0,6732.8,6302.0
 "97000","Rocky Mountain",7,SAGDP2,10,"22","  Utilities ","Millions of current dollars",4684.1,4492.9,4878.1,4809.6,5130.5,5048.2,5185.2,5738.2,5801.0,6824.6,6597.7,7111.8,7493.4,8527.1,8860.9,8729.5,9000.6,9420.4,9621.8,9613.0,9842.9,9966.9,11004.7,12476.5,15324.8,16602.2,17867.3,17648.8
