GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "15000","Hawaii",8,SAGDP3,1,"...","All industry total ","Thousands of dollars",3083287,3159530,3200573,3445361,3287299,3495070,3723589,4212974,4647984,5083995,5378979,5367647,5099256,5378642,5760363,6223051,6388628,6811857,7206150,7422886,7931507,8727811,9064375,4672135,4750592,10077106,10157094,10912965
 "15000","Hawaii",8,SAGDP3,2,"..."," Private industries ","Thousands of dollars",3178709,3237077,3271038,3513304,3355285,3572419,3795927,4280153,4720276,5157881,5458737,5447054,5195717,5465284,5856381,6313313,6479588,6914639,7309768,7522953,8029271,8837691,9178261,4887996,4968870,10345990,10364336,11129952
 "15000","Hawaii",8,SAGDP3,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",5558,5638,5375,-4067,2496,4142,5499,5024,3312,4961,4544,3517,-664,-2641,-2640,2674,1272,-6939,-8222,1751,3190,890,431,-75909,-36884,-3167,-3326,3297
 "15000","Hawaii",8,SAGDP3,4,"111-112","   Farms ","Thousands of dollars",4676,4756,4485,-5030,1696,3320,4645,4162,2352,3845,3381,2147,-1963,-3984,-4159,1107,-301,-8491,-9880,-32,1232,-1304,-1844,-72678,-37187,-6329,-6459,-32
 "15000","Hawaii",8,SAGDP3,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",882,882,890,963,800,822,854,863,959,1116,1163,1370,1299,1344,1519,1567,1572,1553,1658,1782,1958,2194,2275,-3231,303,3162,3133,3329
 "15000","Hawaii",8,SAGDP3,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1447,1396,1357,1548,1156,1121,1400,1607,1814,2028,2343,2777,3003,2881,2985,3173,3229,3402,3984,3672,3423,3643,4248,5102,4833,5897,6511,6749
 "15000","Hawaii",8,SAGDP3,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,80,74,113,146,166,221,228,196,167,0,0,16,13,0,0,0,0
 "15000","Hawaii",8,SAGDP3,8,"212","   Mining (except oil and gas) ","Thousands of dollars",1447,1396,1357,1548,1156,1121,1307,1525,1730,1946,2258,2578,2839,2692,2750,2898,2876,3067,3680,3408,3331,3548,4153,5176,4953,5798,6407,6639
 "15000","Hawaii",8,SAGDP3,9,"213","   Support activities for mining ","Thousands of dollars",0,0,0,0,0,0,93,81,84,82,84,118,90,76,89,110,131,107,108,97,91,95,79,-87,-120,99,105,110
 "15000","Hawaii",8,SAGDP3,10,"22","  Utilities ","Thousands of dollars",144342,144875,146341,144591,141285,142994,147433,159985,180269,213759,233409,230894,267685,299637,262791,307240,312482,343194,348920,333406,309117,322879,349644,380420,362920,382811,408857,406019
 "15000","Hawaii",8,SAGDP3,11,"23","  Construction ","Thousands of dollars",29609,30475,30930,36897,34837,39438,43852,50942,59825,66141,75235,74249,63514,57757,59005,69453,71079,70772,86171,96929,95884,102419,108323,-359615,-84732,127165,124536,132808
 "15000","Hawaii",8,SAGDP3,12,"31-33","  Manufacturing ","Thousands of dollars",23381,22761,24028,26701,22752,22713,23673,26033,26126,29720,34737,36153,39625,39765,41324,40910,45886,48377,54796,58723,63905,66158,64670,-45899,-10099,75882,78028,87491
 "15000","Hawaii",8,SAGDP3,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",7494,7529,7642,8952,6650,6496,6726,7127,8021,8825,9809,10475,10520,9826,10255,9714,10892,10849,11853,10567,11540,12326,12970,-47028,-18741,14282,14810,17063
 "15000","Hawaii",8,SAGDP3,14,"321","    Wood product manufacturing ","Thousands of dollars",304,305,328,367,266,223,246,253,293,353,403,415,441,370,315,302,327,291,308,314,355,335,380,-826,-1380,488,495,606
 "15000","Hawaii",8,SAGDP3,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",1107,1112,1118,1234,1114,1183,1256,1412,1536,1780,2213,2443,2332,2108,2008,1895,2140,2380,2706,2803,2900,3035,3244,-22087,-4731,3444,3703,4275
 "15000","Hawaii",8,SAGDP3,16,"331","    Primary metal manufacturing ","Thousands of dollars",35,48,30,25,2,21,11,51,195,308,456,182,25,21,62,94,99,81,83,73,74,80,137,-426,-188,336,352,365
 "15000","Hawaii",8,SAGDP3,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",760,755,716,846,527,548,588,626,673,715,805,864,868,842,877,1050,1028,940,1073,1090,1072,1064,991,-2704,-2032,1188,1167,1268
 "15000","Hawaii",8,SAGDP3,18,"333","    Machinery manufacturing ","Thousands of dollars",890,906,922,1087,486,455,427,409,386,382,346,368,378,389,413,522,520,447,397,386,389,368,386,-3309,-1405,421,435,446
