GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "53000","Washington",8,SAGDP3,1,"...","All industry total ","Thousands of dollars",17056902,17771859,18820521,19531649,19767295,20318932,21473702,23311074,25563298,27366028,28341048,28343764,26054844,27520126,28997201,30584704,32065284,33971006,35817584,38208472,40969205,44318235,48097546,29588365,40137859,59201891,59380000,61747417
 "53000","Washington",8,SAGDP3,2,"..."," Private industries ","Thousands of dollars",17357277,18020410,19086190,19796538,20059451,20673067,21847620,23700921,25980913,27744515,28775541,28793994,26626400,28056567,29578201,31133595,32639080,34566379,36424654,38890025,41676227,45076000,48876004,31020751,41559630,61012002,60825417,63223599
 "53000","Washington",8,SAGDP3,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",107238,-20744,-1665,-77135,-48753,-429,-8929,43006,30625,102933,128767,187950,90001,-2556,56153,101254,117719,220348,111635,71635,113786,154527,131733,-829791,-323023,112293,232870,297265
 "53000","Washington",8,SAGDP3,4,"111-112","   Farms ","Thousands of dollars",-10060,-116697,-110603,-188452,-149875,-81787,-107057,-42265,-84689,-20626,-12460,36848,4695,-95717,-48094,-12273,3390,85267,-4614,-39023,-8478,-2391,-26521,-777492,-441498,-112079,48149,112443
 "53000","Washington",8,SAGDP3,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",117298,95954,108938,111317,101122,81358,98128,85271,115314,123559,141227,151101,85306,93161,104247,113527,114329,135081,116249,110658,122264,156918,158255,-52298,118475,224372,184721,184822
 "53000","Washington",8,SAGDP3,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",34425,35890,33732,39642,37961,39138,32129,31328,36841,36323,32814,29569,25156,24920,26806,29711,31561,33279,36908,40053,42563,46452,42126,24936,31627,49275,53590,56082
 "53000","Washington",8,SAGDP3,7,"211","   Oil and gas extraction ","Thousands of dollars",1088,608,338,280,50,106,113,0,0,0,0,0,0,96,81,95,184,209,798,771,823,905,932,808,1007,1476,1544,1587
 "53000","Washington",8,SAGDP3,8,"212","   Mining (except oil and gas) ","Thousands of dollars",30784,33238,31046,36934,36701,37850,30759,29623,35049,33880,29896,26464,22393,21854,23047,26008,26841,28273,30671,34381,37033,38475,36291,25917,34234,42874,46138,48784
 "53000","Washington",8,SAGDP3,9,"213","   Support activities for mining ","Thousands of dollars",2554,2044,2348,2428,1209,1183,1257,1705,1792,2443,2918,3105,2763,2970,3678,3607,4536,4797,5438,4900,4707,7072,4903,-1790,-3614,4925,5908,5710
 "53000","Washington",8,SAGDP3,10,"22","  Utilities ","Thousands of dollars",634754,651561,690590,725553,770559,816273,829991,871777,961775,1122086,1056432,1119937,1115787,1173719,1191808,1245602,1231784,1370381,1363377,1412498,1432547,1541619,1624919,1673056,1720686,1991662,2128879,2085903
 "53000","Washington",8,SAGDP3,11,"23","  Construction ","Thousands of dollars",248092,273532,300333,317532,311001,310151,318846,365299,441173,499454,539479,536620,423557,400438,405808,425302,472355,507203,568053,629590,687595,763169,834407,-1450593,-111979,1075438,1062791,1072853
