GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "11000","District of Columbia",2,SAGDP4,1,"...","All industry total ","Thousands of dollars",36298968,37986540,41054670,43491040,46441883,49232090,51867805,55558969,58961148,61501143,64690181,67803743,69085398,72806595,75886686,77012162,78297998,81735374,84952798,88296509,91577525,96390408,98834314,101055177,105805322,110641939,116098015,121622853
 "11000","District of Columbia",2,SAGDP4,2,"..."," Private industries ","Thousands of dollars",19203577,20981570,23130384,25412043,27212118,28102631,29344862,31495050,33182129,35226711,37689213,39238553,38512778,39717539,42031222,43449080,44770418,47306788,49733270,51406734,53759136,56797118,59164134,59489590,62741908,67074579,70624808,74141854
 "11000","District of Columbia",2,SAGDP4,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",208,208,163,243,(D),(D),0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,(D),(D),(D),(D)
 "11000","District of Columbia",2,SAGDP4,4,"111-112","   Farms ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAGDP4,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",(T),(T),(T),(T),(D),(D),0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,(D),(D),(D),(D)
 "11000","District of Columbia",2,SAGDP4,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",7039,9681,11858,(T),(D),(D),8251,4587,(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAGDP4,7,"211","   Oil and gas extraction ","Thousands of dollars",5014,7459,9393,(T),8957,8423,(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAGDP4,8,"212","   Mining (except oil and gas) ","Thousands of dollars",(T),(T),(T),(T),1465,(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAGDP4,9,"213","   Support activities for mining ","Thousands of dollars",0,0,(T),(T),(D),(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAGDP4,10,"22","  Utilities ","Thousands of dollars",105475,130657,182227,215258,(D),(D),250374,262342,276814,294953,298884,315112,319747,229782,252984,233010,259450,269463,287629,308339,313073,361807,340323,(D),380994,381718,404395,403827
 "11000","District of Columbia",2,SAGDP4,11,"23","  Construction ","Thousands of dollars",438762,464548,495448,579290,630702,709958,767008,762541,(D),818244,851871,896478,815672,814761,950018,1063811,1083628,1156321,1155071,1210162,(D),1364126,1339855,1414606,1469756,1544417,1605054,1625012
 "11000","District of Columbia",2,SAGDP4,12,"31-33","  Manufacturing ","Thousands of dollars",212658,232478,256028,263428,269798,(D),212606,226768,198936,171350,160365,155913,142095,134715,136318,126317,132964,120138,127994,138035,(D),150882,145317,(D),(D),(D),(D),(D)
 "11000","District of Columbia",2,SAGDP4,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",75351,84689,99062,104158,121396,(D),99442,109637,85349,70753,55083,56017,50454,45630,43210,42308,44235,41725,49910,63883,(D),73640,67857,(D),(D),(D),86375,96748
 "11000","District of Columbia",2,SAGDP4,14,"321","    Wood product manufacturing ","Thousands of dollars",(T),(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAGDP4,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",(T),(T),(T),(T),5885,5916,6544,7048,7822,(D),6367,6356,5375,4283,4998,5613,6028,7454,8968,9959,9551,8329,8341,8387,7993,7821,7448,6271
 "11000","District of Columbia",2,SAGDP4,16,"331","    Primary metal manufacturing ","Thousands of dollars",(T),(T),(T),(T),3572,2400,2657,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),1409,(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "11000","District of Columbia",2,SAGDP4,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",(T),(T),(T),(T),1773,7114,7054,7409,5671,6641,(D),(D),(D),8605,7027,7809,6177,4212,5418,4733,4529,6639,7438,7704,7033,7544,10160,11358
 "11000","District of Columbia",2,SAGDP4,18,"333","    Machinery manufacturing ","Thousands of dollars",(T),(T),(T),(T),7044,6026,4242,3652,2937,2776,2404,1107,1108,432,536,(D),(D),(D),(D),(D),(D),(D),(D),5096,(D),5969,(D),(D)
 "11000","District of Columbia",2,SAGDP4,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",22128,24700,32242,32355,(D),58082,50987,55308,44043,24807,18271,20251,18262,17931,13119,10926,10139,9333,(D),(D),19615,22265,18712,20930,29484,28561,28967,27973
 "11000","District of Columbia",2,SAGDP4,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",(T),(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "11000","District of Columbia",2,SAGDP4,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",6690,9052,11697,13693,(D),(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAGDP4,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",(T),(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0,7361,(D),(D),(D),(D)
 "11000","District of Columbia",2,SAGDP4,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",(T),(T),(T),(T),8044,7545,7894,8206,8624,8652,9240,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "11000","District of Columbia",2,SAGDP4,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",17793,15841,14129,14618,10072,9530,9570,10049,4858,4790,3986,(D),(D),(D),(D),4175,(D),(D),(D),11670,5800,12797,14402,5267,6098,8182,8071,19024
 "11000","District of Columbia",2,SAGDP4,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",137306,147789,156966,159270,148402,(D),113165,117131,113587,100597,105282,99896,91642,89086,93109,84009,88729,78413,78083,74151,(D),77242,77460,70836,85043,(D),(D),(D)
 "11000","District of Columbia",2,SAGDP4,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",23778,23657,28846,29466,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),31037,30896
 "11000","District of Columbia",2,SAGDP4,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",(T),(T),(T),(T),(D),1856,1697,1887,1879,(D),2067,2516,(D),1451,(D),(D),1093,1278,1756,1747,(D),2689,(D),1606,1275,2738,(D),3022
 "11000","District of Columbia",2,SAGDP4,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",(T),(T),(T),(T),676,559,680,554,717,542,589,740,727,775,922,1028,1123,(D),1619,1242,1383,1363,1593,578,723,1384,(D),(D)
 "11000","District of Columbia",2,SAGDP4,29,"322","    Paper manufacturing ","Thousands of dollars",(T),(T),(T),(T),926,785,632,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "11000","District of Columbia",2,SAGDP4,30,"323","    Printing and related support activities ","Thousands of dollars",72775,76678,79390,75694,72071,58149,53378,52603,48604,43192,42443,40577,33229,29918,(D),21986,22553,20023,19156,20671,18848,17662,13506,7878,6796,6533,6485,(D)
 "11000","District of Columbia",2,SAGDP4,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",(T),(T),(T),(T),13951,7807,7289,12982,8975,11452,11961,(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0,0,0
 "11000","District of Columbia",2,SAGDP4,32,"325","    Chemical manufacturing ","Thousands of dollars",25873,32762,34448,37218,(D),(D),(D),(D),34604,31975,36365,36441,37894,36774,48902,51463,56151,46811,42790,36577,34364,34056,35694,38259,47552,45635,46730,43161
 "11000","District of Columbia",2,SAGDP4,33,"326","    Plastics and rubber products manufacturing ","Thousands of dollars",(T),(T),(T),(T),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0
 "11000","District of Columbia",2,SAGDP4,34,"42","  Wholesale trade ","Thousands of dollars",286404,297483,346193,346071,329595,326142,380827,406602,440041,461209,510299,525986,512099,551342,572583,638195,635725,671279,667426,673713,695608,697928,807331,863661,925918,1031119,1139648,1262685
 "11000","District of Columbia",2,SAGDP4,35,"44-45","  Retail trade ","Thousands of dollars",462119,493446,512538,524699,540222,554905,585352,614317,630088,646893,659037,662878,639463,696781,740237,778209,802258,854515,911879,981821,1004696,1051306,1088043,1037994,1050113,1119616,1205545,1279972
 "11000","District of Columbia",2,SAGDP4,36,"48-49","  Transportation and warehousing ","Thousands of dollars",265277,299680,330163,347819,(D),(D),327326,330895,322064,320717,320294,354801,342461,354210,384004,389338,351398,371213,420034,433267,438515,448891,450288,391847,434542,483933,556401,548339
 "11000","District of Columbia",2,SAGDP4,37,"481","   Air transportation ","Thousands of dollars",22594,37253,42243,26453,28741,21704,19581,17008,16959,13385,14543,24323,13871,12107,14123,15533,16936,19545,26007,32994,16769,9925,11723,11532,9902,11550,21683,26314
 "11000","District of Columbia",2,SAGDP4,38,"482","   Rail transportation ","Thousands of dollars",130495,135051,148757,156294,(D),(D),(D),179937,179783,183908,190634,217814,212848,216872,238373,242390,197938,214372,231587,230811,231928,227390,245950,218985,242363,274197,329216,337724
 "11000","District of Columbia",2,SAGDP4,39,"483","   Water transportation ","Thousands of dollars",(T),(T),(T),(T),7756,7104,7729,8892,8992,8600,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),3125,(D),(D),(D),(D),(D)
 "11000","District of Columbia",2,SAGDP4,40,"484","   Truck transportation ","Thousands of dollars",8578,9126,9774,9332,9494,10375,10827,9702,9849,10845,11167,10580,10130,12232,11843,9806,10183,7853,19411,21614,18625,32071,6818,5885,4630,4393,6243,7353
 "11000","District of Columbia",2,SAGDP4,41,"485","   Transit and ground passenger transportation ","Thousands of dollars",34112,39426,47482,67176,49521,47712,49041,50302,46530,48258,44034,39155,40508,41864,48924,51130,49407,52095,55868,58383,67569,69173,74053,62288,65072,67975,72233,71987
 "11000","District of Columbia",2,SAGDP4,42,"486","   Pipeline transportation ","Thousands of dollars",(T),(T),(T),(T),16310,5063,3461,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "11000","District of Columbia",2,SAGDP4,43,"487-488,492","   Other transportation and support activities ","Thousands of dollars",52701,57708,60979,64748,(D),(D),52951,53130,(D),47700,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),105674,(D),88050,105963,120067,124795,(D)
 "11000","District of Columbia",2,SAGDP4,44,"493","   Warehousing and storage ","Thousands of dollars",9422,13107,12911,15848,18724,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),744,(D),(D),(D),(D),(D),(D),2386,(D),(D),(D),(D),(D)
 "11000","District of Columbia",2,SAGDP4,45,"51","  Information ","Thousands of dollars",1764312,1797212,2103760,2170963,(D),2346991,2446824,2531520,2536041,2510519,2605171,2558932,2402601,2322784,2425675,2322444,2434596,2471095,2452053,2493990,2694974,2966142,3207404,3733919,4329950,4115876,4235351,4757397
 "11000","District of Columbia",2,SAGDP4,46,"511","   Publishing industries (except Internet) ","Thousands of dollars",623187,669018,759039,761234,865207,855008,900147,893689,873300,872581,919804,836052,766986,695107,764839,768958,742735,726918,682498,707986,830270,888726,963139,1227239,1537741,(D),(D),(D)
 "11000","District of Columbia",2,SAGDP4,47,"512","   Motion picture and sound recording industries ","Thousands of dollars",65228,76406,82830,95760,103554,(D),129269,121347,102471,90485,96749,96156,90582,97718,98805,102787,91987,91670,97451,86775,72923,79360,88105,83475,94048,118395,117398,127606
 "11000","District of Columbia",2,SAGDP4,48,"515,517","   Broadcasting (except Internet) and telecommunications ","Thousands of dollars",832721,780715,932321,888446,892210,923092,929212,949204,1017858,937327,1190959,1195132,1160038,1115241,1114574,991094,1107522,1105513,1077021,1067024,1097761,1175849,1215438,1274573,1322327,(D),(D),(D)
 "11000","District of Columbia",2,SAGDP4,49,"518-519","   Data processing, hosting, and other information services ","Thousands of dollars",243176,271073,329570,425523,(D),(D),488195,567280,542412,610126,397658,431592,384994,414718,447456,459605,492352,546995,595084,632204,694020,822206,940722,1148632,1375833,1470300,1477828,1578749
 "11000","District of Columbia",2,SAGDP4,50,"52,53","  Finance, insurance, real estate, rental, and leasing ","Thousands of dollars",1885490,2093443,2338328,2675820,2642157,2525379,2602352,2866555,2893610,3225568,3498918,3273109,2836173,3095995,3323421,3450612,3543957,4013153,4227033,4308758,4624031,4842098,4992617,4996579,5293487,5547681,5359986,5644320
 "11000","District of Columbia",2,SAGDP4,51,"52","   Finance and insurance ","Thousands of dollars",1494705,1664450,1849555,2103425,2088496,1956623,2004991,2192459,2181634,2421458,2642219,2450576,2058125,2266248,2432235,2479927,2547149,2745578,2919531,2961936,3140300,3296633,3346601,3366653,3635658,3805136,3587105,3815350
 "11000","District of Columbia",2,SAGDP4,52,"521-522","    Monetary Authorities- central bank, credit intermediation, and related services ","Thousands of dollars",587573,678649,743041,839946,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),965670,(D),1062241,1153579,(D),(D),1308047,1342190,1397114,1368191,1342876,1170124,(D)
 "11000","District of Columbia",2,SAGDP4,53,"523","    Securities, commodity contracts, and other financial investments and related activities ","Thousands of dollars",595152,655706,773795,902815,794418,663666,648229,690495,801299,840906,898832,921092,771728,884465,955954,947920,957995,1050368,1050734,1093371,1186641,1221146,1221424,1181903,1355437,1462508,1536788,1707426
 "11000","District of Columbia",2,SAGDP4,54,"524","    Insurance carriers and related activities ","Thousands of dollars",307439,325410,325847,352900,384095,374972,385904,394027,379203,412443,426971,413570,395453,449800,528604,565664,587207,629698,709844,652845,682085,753004,764834,763009,869677,932414,797870,772701
 "11000","District of Columbia",2,SAGDP4,55,"525","    Funds, trusts, and other financial vehicles ","Thousands of dollars",4541,4685,6872,7765,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),674,(D),3271,5374,(D),(D),14436,18153,24627,42352,67337,82324,(D)
 "11000","District of Columbia",2,SAGDP4,56,"53","   Real estate and rental and leasing ","Thousands of dollars",390786,428993,488773,572394,553661,568756,597361,674096,711976,804111,856700,822532,778048,829748,891186,970685,996808,1267575,1307501,1346822,1483731,1545466,1646016,1629926,1657829,1742545,1772881,1828970
 "11000","District of Columbia",2,SAGDP4,57,"531","    Real estate ","Thousands of dollars",359167,396369,453871,529156,517121,532264,557087,629516,(D),753983,806171,773191,730990,783732,850850,925868,952769,1220613,1264179,1304438,1440184,1498543,1591470,1591418,1620435,1688604,1711699,1767087
 "11000","District of Columbia",2,SAGDP4,58,"532-533","    Rental and leasing services and lessors of nonfinancial intangible assets ","Thousands of dollars",31618,32624,34902,43238,36541,36492,40274,44580,(D),50128,50529,49341,47058,46016,40336,44817,44039,46963,43323,42383,43546,46923,54546,38508,37394,53941,61182,61883
 "11000","District of Columbia",2,SAGDP4,59,"54,55,56","  Professional and business services ","Thousands of dollars",6788426,7663113,8505445,9672116,10504820,10870483,11241487,12147322,13238495,14389756,15504410,16242703,15830725,16381673,17352072,18112440,18369412,19213860,20267892,20848421,21878361,23055147,24119953,25166009,26704357,28615918,30073820,31061509
 "11000","District of Columbia",2,SAGDP4,60,"54","   Professional, scientific, and technical services ","Thousands of dollars",5646327,6384517,7142119,7950100,8703665,9070296,9429175,10252442,11133675,12105592,12964605,13651088,13321723,13675335,14404536,15058300,15254819,15934605,16695798,17407793,18271620,19392601,20279025,21251834,22611426,23914007,25118986,25955013
 "11000","District of Columbia",2,SAGDP4,61,"5411","    Legal services ","Thousands of dollars",2524135,2774095,3114582,3593076,3936269,4012221,4126324,4314089,4492225,4867041,5379359,5639083,5326929,5168743,5389955,5415189,5477006,5617702,5715470,5905226,6101590,6504144,6774229,6907653,7521136,7829370,8036024,8435297
 "11000","District of Columbia",2,SAGDP4,62,"5415","    Computer systems design and related services ","Thousands of dollars",344513,401674,550552,615529,661249,807328,949092,1141503,1415680,1565828,1574385,1719687,1878080,2048829,2230786,2306356,2256528,2516603,2766595,2852707,3003955,3161627,3311968,3712588,3779930,3624807,3779601,3957388
 "11000","District of Columbia",2,SAGDP4,63,"5412-5414,5416-5419","    Miscellaneous professional, scientific, and technical services ","Thousands of dollars",2777680,3208749,3476985,3741495,4106148,4250747,4353759,4796850,5225769,5672723,6010861,6292319,6116714,6457763,6783795,7336754,7521285,7800300,8213734,8649860,9166076,9726831,10192828,10631593,11310359,12459830,13303361,13562328
