GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "25000","Massachusetts",1,SAGDP5,1,"...","All industry total ","Thousands of dollars",-935580,-867695,-895292,-866737,-976082,-1025593,-1145602,-1160735,-1270967,-1221381,-1184979,-1231577,-1446583,-1463421,-1315399,-1626496,-1646683,-1636289,-1613960,-1705570,-1636203,-1700495,-1749662,-15471766,-13774161,-3915873,-3232116,-3103062
 "25000","Massachusetts",1,SAGDP5,2,"..."," Private industries ","Thousands of dollars",-405366,-364740,-388435,-388317,-468765,-422123,-510005,-496952,-623116,-569350,-515132,-544766,-674723,-689785,-849644,-744167,-765679,-723555,-667498,-683329,-700537,-690988,-685492,-13567456,-11924251,-1601767,-1449643,-1232437
 "25000","Massachusetts",1,SAGDP5,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",-1014,-1474,-8796,-9432,-9033,-5236,-12302,-5924,-11512,-10865,-8259,-12484,-13210,-17038,-17730,-13980,-8212,-5592,-3665,-6937,-5989,-7079,-11928,-103190,-49649,-20103,-17752,-16063
 "25000","Massachusetts",1,SAGDP5,4,"111-112","   Farms ","Thousands of dollars",-1014,-1474,-8796,-9432,-9033,-5236,-12302,-5924,-11512,-10865,-8259,-12484,-13210,-17038,-17730,-13980,-8212,-5592,-3665,-6937,-5989,-7079,-11928,-80569,-34433,-20074,-17752,-16063
 "25000","Massachusetts",1,SAGDP5,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-22621,-15217,-29,0,0
 "25000","Massachusetts",1,SAGDP5,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3930,-4958,-18,0,0
 "25000","Massachusetts",1,SAGDP5,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "25000","Massachusetts",1,SAGDP5,8,"212","   Mining (except oil and gas) ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3716,-4570,-17,0,0
 "25000","Massachusetts",1,SAGDP5,9,"213","   Support activities for mining ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-215,-387,-1,0,0
 "25000","Massachusetts",1,SAGDP5,10,"22","  Utilities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-26003,-21214,-342,0,0
 "25000","Massachusetts",1,SAGDP5,11,"23","  Construction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1272613,-716142,-1383,0,0
 "25000","Massachusetts",1,SAGDP5,12,"31-33","  Manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,-216,-101,-3160,-8309,-25915,-30900,-19415,-9903,-7719,-6988,-6255,-6019,-5850,-6386,-1022770,-699001,-7721,-8568,-10851
 "25000","Massachusetts",1,SAGDP5,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,-3049,-7838,-25283,-28621,-18297,-8965,-6327,-6066,-5393,-5221,-4998,-5741,-593341,-401465,-6770,-7650,-9626
 "25000","Massachusetts",1,SAGDP5,14,"321","    Wood product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-23773,-5258,-5,0,0
 "25000","Massachusetts",1,SAGDP5,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-31895,-15587,0,0,0
