GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "32000","Nevada",8,SAGDP5,1,"...","All industry total ","Thousands of dollars",-151946,-156775,-168085,-168449,-310975,-220674,-302626,-252592,-302881,-262339,-267014,-282616,-325728,-280610,-318045,-286812,-296008,-343844,-337054,-337558,-324424,-352163,-383769,-6753242,-6895866,-860131,-672965,-625191
 "32000","Nevada",8,SAGDP5,2,"..."," Private industries ","Thousands of dollars",-96769,-107494,-115007,-114997,-245525,-133727,-212744,-160596,-218810,-195605,-185093,-188398,-220625,-194403,-220324,-208641,-215573,-233637,-222975,-220902,-218335,-227278,-235112,-6499621,-6619535,-542399,-411840,-378771
 "32000","Nevada",8,SAGDP5,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",-1809,-2275,-2311,-3368,-5225,-9785,-10229,-5573,-10052,-7364,-9188,-11195,-9501,-8274,-8776,-10605,-7734,-35818,-31155,-19152,-8142,-13355,-14407,-89399,-51582,-36485,-36084,-20789
 "32000","Nevada",8,SAGDP5,4,"111-112","   Farms ","Thousands of dollars",-1809,-2275,-2311,-3368,-5225,-9785,-10229,-5573,-10052,-7364,-9188,-11195,-9501,-8274,-8776,-10605,-7734,-35818,-31155,-19152,-8142,-13355,-14407,-85329,-50425,-36482,-36084,-20789
 "32000","Nevada",8,SAGDP5,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4069,-1157,-2,0,0
 "32000","Nevada",8,SAGDP5,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-18489,-16494,-41,0,0
 "32000","Nevada",8,SAGDP5,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-54,-711,-3,0,0
 "32000","Nevada",8,SAGDP5,8,"212","   Mining (except oil and gas) ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16137,-12137,-30,0,0
 "32000","Nevada",8,SAGDP5,9,"213","   Support activities for mining ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2298,-3646,-8,0,0
 "32000","Nevada",8,SAGDP5,10,"22","  Utilities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3217,-6059,-82,0,0
 "32000","Nevada",8,SAGDP5,11,"23","  Construction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-964603,-451963,-876,0,0
 "32000","Nevada",8,SAGDP5,12,"31-33","  Manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,-18,-11,-175,-441,-988,-1757,-1043,-1269,-1033,-989,-881,-2063,-4107,-5325,-311617,-256821,-7916,-8009,-11213
 "32000","Nevada",8,SAGDP5,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,-162,-402,-900,-1609,-870,-1195,-870,-946,-772,-1960,-4015,-5232,-206213,-150912,-7788,-7911,-11095
 "32000","Nevada",8,SAGDP5,14,"321","    Wood product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6869,-6889,-5,0,0
 "32000","Nevada",8,SAGDP5,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-24550,-4430,0,0,0
 "32000","Nevada",8,SAGDP5,16,"331","    Primary metal manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-781,-1595,0,0,0
 "32000","Nevada",8,SAGDP5,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-48722,-35679,-22,0,0
 "32000","Nevada",8,SAGDP5,18,"333","    Machinery manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-16798,-12859,-7,0,0
 "32000","Nevada",8,SAGDP5,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19695,-8741,-4,0,0
 "32000","Nevada",8,SAGDP5,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,-162,-402,-900,-1609,-870,-1195,-870,-946,-772,-1960,-4015,-5232,-15827,-19036,-7709,-7911,-11095
 "32000","Nevada",8,SAGDP5,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4883,-7058,0,0,0
 "32000","Nevada",8,SAGDP5,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3680,-4758,0,0,0
