GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "41000","Oregon",8,SAGDP5,1,"...","All industry total ","Thousands of dollars",-399369,-400993,-432664,-446790,-479263,-457847,-526825,-489094,-584218,-547071,-523135,-529159,-620642,-636022,-650493,-625235,-630049,-621099,-648258,-690936,-682330,-703184,-774349,-8880439,-7510647,-1757884,-1447280,-1339204
 "41000","Oregon",8,SAGDP5,2,"..."," Private industries ","Thousands of dollars",-230403,-253240,-266392,-288758,-310362,-255851,-325134,-290211,-386476,-345967,-328686,-330092,-380415,-407486,-414682,-397093,-396137,-381207,-403528,-422026,-421354,-413240,-441986,-8263155,-6822217,-897907,-761727,-641596
 "41000","Oregon",8,SAGDP5,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",-53823,-85679,-91223,-118296,-93510,-69779,-95452,-68854,-110704,-100994,-110620,-105453,-86692,-127675,-93804,-97217,-94055,-96143,-123033,-125166,-108382,-107052,-136353,-634391,-446849,-220709,-172789,-107766
 "41000","Oregon",8,SAGDP5,4,"111-112","   Farms ","Thousands of dollars",-53823,-85679,-91223,-118296,-93510,-69779,-95452,-68854,-110704,-100994,-110620,-105453,-86692,-127675,-93804,-97217,-94055,-96143,-123033,-125166,-108382,-107052,-136353,-559039,-410179,-220641,-172789,-107766
 "41000","Oregon",8,SAGDP5,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-75352,-36670,-68,0,0
 "41000","Oregon",8,SAGDP5,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9358,-12961,-48,0,0
 "41000","Oregon",8,SAGDP5,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37,-27,0,0,0
 "41000","Oregon",8,SAGDP5,8,"212","   Mining (except oil and gas) ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5014,-3299,-10,0,0
 "41000","Oregon",8,SAGDP5,9,"213","   Support activities for mining ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4308,-9635,-38,0,0
 "41000","Oregon",8,SAGDP5,10,"22","  Utilities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-14426,-7571,-110,0,0
