GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "42000","Pennsylvania",2,SAGDP5,1,"...","All industry total ","Thousands of dollars",-1249752,-1187553,-1237691,-1250410,-1371767,-1411894,-1632888,-1558371,-1791753,-1687229,-1532858,-1578857,-1945933,-1919986,-2170131,-1989616,-1978479,-1859505,-1797094,-1889426,-1938347,-1990353,-2002764,-24309823,-21230864,-4258839,-3524577,-3274141
 "42000","Pennsylvania",2,SAGDP5,2,"..."," Private industries ","Thousands of dollars",-603840,-644930,-721479,-749978,-834098,-768744,-945000,-843276,-1057019,-937903,-807721,-871184,-1175576,-1116383,-1286765,-1195884,-1167884,-1063958,-1021781,-1044933,-1112930,-1099675,-1116638,-22716466,-19660941,-2373716,-2068786,-1767216
 "42000","Pennsylvania",2,SAGDP5,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",-30083,-38811,-82654,-127152,-92236,-112187,-157521,-78025,-120226,-114901,-68848,-73831,-137292,-69000,-62465,-98241,-76333,-44220,-54218,-68008,-77541,-82822,-162386,-615280,-306180,-119312,-158972,-58856
 "42000","Pennsylvania",2,SAGDP5,4,"111-112","   Farms ","Thousands of dollars",-30083,-38811,-82654,-127152,-92236,-112187,-157521,-78025,-120226,-114901,-68848,-73831,-137292,-69000,-62465,-98241,-76333,-44220,-54218,-68008,-77541,-82822,-162386,-579724,-291711,-119284,-158972,-58856
 "42000","Pennsylvania",2,SAGDP5,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35556,-14468,-27,0,0
 "42000","Pennsylvania",2,SAGDP5,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-124527,-94540,-281,0,0
 "42000","Pennsylvania",2,SAGDP5,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9627,-33695,-78,0,0
 "42000","Pennsylvania",2,SAGDP5,8,"212","   Mining (except oil and gas) ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53079,-17193,-60,0,0
 "42000","Pennsylvania",2,SAGDP5,9,"213","   Support activities for mining ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-61821,-43652,-143,0,0
 "42000","Pennsylvania",2,SAGDP5,10,"22","  Utilities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-35581,-32694,-439,0,0
 "42000","Pennsylvania",2,SAGDP5,11,"23","  Construction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2377864,-1396423,-2790,0,0
 "42000","Pennsylvania",2,SAGDP5,12,"31-33","  Manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,-304,-164,-7158,-17994,-56046,-70114,-54526,-24996,-27346,-18633,-17223,-18984,-16908,-19029,-2322629,-1745258,-23594,-26840,-35433
 "42000","Pennsylvania",2,SAGDP5,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,-7008,-16771,-53369,-64576,-49210,-22302,-18325,-17124,-15809,-17570,-15503,-17924,-1562876,-1020031,-22004,-25230,-33153
 "42000","Pennsylvania",2,SAGDP5,14,"321","    Wood product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-105418,-56551,-49,0,0
 "42000","Pennsylvania",2,SAGDP5,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-82773,-37950,0,0,0
 "42000","Pennsylvania",2,SAGDP5,16,"331","    Primary metal manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-111927,-82771,0,0,0
 "42000","Pennsylvania",2,SAGDP5,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-523615,-255187,-145,0,0
 "42000","Pennsylvania",2,SAGDP5,18,"333","    Machinery manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-280685,-117740,-53,0,0
 "42000","Pennsylvania",2,SAGDP5,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-110638,-62029,-27,0,0
 "42000","Pennsylvania",2,SAGDP5,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,-7008,-16771,-53369,-64576,-49210,-22302,-18325,-17124,-15809,-17570,-15503,-17924,-96072,-65971,-21572,-25230,-33153
 "42000","Pennsylvania",2,SAGDP5,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-19496,-47679,-12,0,0
 "42000","Pennsylvania",2,SAGDP5,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-49587,-79754,0,0,0
 "42000","Pennsylvania",2,SAGDP5,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-56039,-60751,-42,0,0
 "42000","Pennsylvania",2,SAGDP5,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-126626,-153647,-104,0,0
 "42000","Pennsylvania",2,SAGDP5,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,-304,-164,-150,-1223,-2678,-5537,-5315,-2695,-9021,-1509,-1414,-1414,-1405,-1105,-759753,-725227,-1590,-1610,-2280
 "42000","Pennsylvania",2,SAGDP5,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-243490,-291874,-31,0,0
 "42000","Pennsylvania",2,SAGDP5,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",0,0,0,0,0,0,0,0,0,-304,-164,-150,-181,-155,-139,-153,-155,-159,-820,-747,-702,-748,-658,-10897,-9862,-505,-581,-527
 "42000","Pennsylvania",2,SAGDP5,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-61322,-36630,-34,0,0
 "42000","Pennsylvania",2,SAGDP5,29,"322","    Paper manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-57976,-30405,0,0,0
 "42000","Pennsylvania",2,SAGDP5,30,"323","    Printing and related support activities ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-117281,-99114,-44,0,0
 "42000","Pennsylvania",2,SAGDP5,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,-315,-1789,-459,-3638,-590,-6695,0,0,0,0,0,-25257,-11199,0,0,0
 "42000","Pennsylvania",2,SAGDP5,32,"325","    Chemical manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,-727,-734,-4939,-1525,-1949,-2166,-689,-666,-712,-657,-447,-133464,-166215,-920,-1029,-1752
 "42000","Pennsylvania",2,SAGDP5,33,"326","    Plastics and rubber products manufacturing ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-110067,-79926,-56,0,0
 "42000","Pennsylvania",2,SAGDP5,34,"42","  Wholesale trade ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-877068,-426905,-416,0,0
 "42000","Pennsylvania",2,SAGDP5,35,"44-45","  Retail trade ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,-118878,-12705,-120,0,0,0,0,0,0,0,0,-2083482,-2160246,-3337,0,0
