GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "04000","Arizona",6,SAGDP6,1,"...","All industry total ","Thousands of dollars",8959036,9479166,10425253,11549964,12089281,12813416,13681745,14635290,16025424,17292124,18970862,18357517,17838741,18159828,19510311,19818642,20148240,20460707,20464869,21647816,22512204,23976291,24776420,24694113,28006250,31087588,32293932,34399732
 "04000","Arizona",6,SAGDP6,2,"..."," Private industries ","Thousands of dollars",8956065,9476016,10421650,11545679,12084265,12807658,13675257,14627885,16016458,17280691,18957266,18345666,17828387,18149664,19498182,19806279,20135845,20447443,20452692,21627341,22475607,23932219,24730052,24644323,27953948,31019758,32222126,34331206
 "04000","Arizona",6,SAGDP6,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",39663,39993,42288,42733,44932,48364,51875,54730,62982,75327,97169,99000,78610,88996,95846,90666,95947,101757,94462,90280,102005,110268,107491,107697,131185,147000,141194,146177
 "04000","Arizona",6,SAGDP6,4,"111-112","   Farms ","Thousands of dollars",27975,27911,29384,29616,28310,31348,31288,32138,34794,41183,55160,53943,51581,52410,54009,54961,58806,67775,63525,59751,64093,63623,66482,70387,73343,78142,80602,85714
 "04000","Arizona",6,SAGDP6,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",11688,12081,12903,13117,16622,17016,20586,22592,28188,34145,42010,45057,27030,36586,41837,35705,37141,33982,30936,30529,37912,46645,41009,37310,57842,68858,60592,60463
 "04000","Arizona",6,SAGDP6,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",107009,101079,102053,96932,83096,81078,83680,90294,104242,118617,155593,188157,160673,168389,197960,218138,237773,222035,218081,227324,244766,278233,271559,255540,295273,347793,332538,362003
 "04000","Arizona",6,SAGDP6,7,"211","   Oil and gas extraction ","Thousands of dollars",220,183,162,179,56,47,47,42,51,86,114,195,282,565,1494,6151,6057,5325,5508,5035,4996,5211,5369,5141,6433,9214,6923,7152
 "04000","Arizona",6,SAGDP6,8,"212","   Mining (except oil and gas) ","Thousands of dollars",104610,99021,99783,94410,82068,79676,82446,89058,102625,116316,152708,183118,153609,161807,191477,206873,226746,211213,206369,216249,234293,264804,259551,241850,279795,329528,315929,344305
 "04000","Arizona",6,SAGDP6,9,"213","   Support activities for mining ","Thousands of dollars",2180,1875,2108,2342,972,1356,1186,1194,1565,2215,2771,4844,6782,6017,4989,5114,4970,5497,6203,6040,5477,8219,6639,8548,9045,9051,9686,10546
 "04000","Arizona",6,SAGDP6,10,"22","  Utilities ","Thousands of dollars",583116,595097,648756,718051,725820,779590,823102,848133,926339,1043666,1250704,1306419,1367861,1449089,1558733,1558413,1529239,1496536,1406137,1427616,1388584,1368699,1359764,1322673,1354099,1408539,1480697,1660421
