GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "10000","Delaware",2,SAGDP6,1,"...","All industry total ","Thousands of dollars",1578670,1694004,1800649,1985944,1739787,1857150,2015182,2616370,2729846,2820005,2854076,2713887,2740826,2943850,2925475,3101882,3258375,3575602,3647766,3894511,4045732,4346808,4556125,4472068,4816495,5220740,5332364,5670568
 "10000","Delaware",2,SAGDP6,2,"..."," Private industries ","Thousands of dollars",1578670,1694004,1800649,1985944,1739787,1857150,2015182,2616370,2729846,2820005,2854076,2713887,2740826,2943850,2925475,3101882,3258375,3575602,3647766,3894511,4045732,4346808,4556125,4472068,4816495,5220740,5332364,5670568
 "10000","Delaware",2,SAGDP6,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",8512,8259,8776,9100,7445,8880,7878,7972,7503,7974,8710,8172,7981,8162,8266,8961,9449,12698,13072,13059,14048,14627,14026,13706,13345,13677,13259,12995
 "10000","Delaware",2,SAGDP6,4,"111-112","   Farms ","Thousands of dollars",7962,7615,8208,8466,7040,8519,7445,7435,7096,7487,8192,7513,7262,7355,7571,8046,8522,11560,12097,12104,13060,13475,12856,12120,11758,11623,11117,10830
 "10000","Delaware",2,SAGDP6,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",550,644,568,634,404,361,433,537,407,487,518,659,719,807,694,915,927,1138,976,955,988,1152,1170,1585,1588,2054,2141,2166
 "10000","Delaware",2,SAGDP6,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1201,1200,1232,1183,621,764,671,856,328,298,77,101,109,266,25,71,586,670,676,609,755,922,1090,1098,1591,2081,2243,2255
 "10000","Delaware",2,SAGDP6,7,"211","   Oil and gas extraction ","Thousands of dollars",516,470,484,505,79,76,101,201,207,199,0,0,0,230,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "10000","Delaware",2,SAGDP6,8,"212","   Mining (except oil and gas) ","Thousands of dollars",553,599,617,547,535,676,562,646,111,91,69,92,109,36,25,71,581,670,676,609,710,856,963,1098,1591,2081,2188,2197
 "10000","Delaware",2,SAGDP6,9,"213","   Support activities for mining ","Thousands of dollars",132,131,131,132,7,11,7,9,10,8,8,10,0,0,0,0,5,0,0,0,45,66,127,0,0,0,55,58
 "10000","Delaware",2,SAGDP6,10,"22","  Utilities ","Thousands of dollars",105908,111722,105687,119387,93813,117721,117346,121369,122530,134134,125820,108125,119840,125557,111278,113038,116034,169455,194560,202594,208583,229794,252471,312921,305232,305471,316185,334708
 "10000","Delaware",2,SAGDP6,11,"23","  Construction ","Thousands of dollars",15320,17132,17584,18588,16433,18110,18935,22704,19683,19501,18733,14548,14304,15831,15567,14455,15272,20442,21387,22964,23313,24106,25479,27418,29615,30330,31435,33186
 "10000","Delaware",2,SAGDP6,12,"31-33","  Manufacturing ","Thousands of dollars",129345,139719,141078,159229,125811,147320,159634,184200,165292,172177,187094,150978,159451,160086,146271,148251,149034,158306,169373,182176,205967,217462,227334,238606,252284,271992,281048,296894
 "10000","Delaware",2,SAGDP6,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",46076,53283,61187,66348,50687,65333,66535,71992,66795,71733,74886,58095,59290,58528,48477,45154,45002,45952,50854,51178,54925,61371,64763,70010,76389,80162,83597,90072
 "10000","Delaware",2,SAGDP6,14,"321","    Wood product manufacturing ","Thousands of dollars",790,801,811,765,297,375,507,463,408,383,418,426,522,557,499,442,449,624,663,836,933,835,801,1024,992,970,1024,1088
 "10000","Delaware",2,SAGDP6,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",1432,1741,1590,1178,948,1290,1221,1581,1457,1932,1815,1467,1469,1773,1636,1318,1096,1529,1731,2053,2200,2529,2577,2951,3116,3240,3400,3633
