GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "98000","Far West",8,SAGDP6,1,"...","All industry total ","Thousands of dollars",104040278,107868300,113931055,122039532,125925153,132971240,136937408,149022406,160154955,174196284,183188177,196624945,184836346,191967793,204238900,204020973,217000137,226904143,237608162,243504653,254538535,277719184,308189625,297050175,334826124,368167506,364305300,384781312
 "98000","Far West",8,SAGDP6,2,"..."," Private industries ","Thousands of dollars",104034809,107862734,113924879,122033248,125918953,132964698,136930452,149014122,160146341,174185053,183176534,196613122,184825377,191955953,204226523,204008731,216985925,226889348,237594190,243489399,254518925,277698933,308176817,296907996,334592731,367909123,364061610,384569996
 "98000","Far West",8,SAGDP6,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",979192,877872,1008243,996397,966951,892509,1038717,1038774,1096439,1243824,1421176,1689802,1483131,1629584,1796586,1845707,1955931,2103744,1933001,1841512,2014552,2147076,2225417,2264597,2572584,2863144,2786163,2911561
 "98000","Far West",8,SAGDP6,4,"111-112","   Farms ","Thousands of dollars",574949,529481,628202,594808,608433,566462,666974,691001,690406,783069,873012,967817,946033,990669,1049754,1087044,1129572,1310491,1233108,1148758,1232679,1224034,1280699,1355219,1412875,1506397,1552742,1649936
 "98000","Far West",8,SAGDP6,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",404242,348391,380041,401589,358518,326046,371743,347773,406034,460755,548165,721985,537098,638915,746832,758663,826359,793254,699893,692753,781874,923042,944718,909379,1159709,1356747,1233421,1261626
 "98000","Far West",8,SAGDP6,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1933750,1439946,1312443,1757290,1737065,1550234,1713820,2070493,2572640,3135314,4987417,10576942,4816239,6024621,7351174,7984942,8413169,5878427,3475357,3618171,3241342,3836869,3446682,2982169,3770094,4366822,4021867,4139466
 "98000","Far West",8,SAGDP6,7,"211","   Oil and gas extraction ","Thousands of dollars",1637863,1145351,1016409,1440458,1446076,1277208,1437988,1777578,2260107,2785987,4563850,10077173,4281800,5368425,6530434,7147647,7518688,5140793,2823390,2931948,2539497,2989280,2636893,2137397,2522390,3096312,2860790,2947125
 "98000","Far West",8,SAGDP6,8,"212","   Mining (except oil and gas) ","Thousands of dollars",210214,204237,214733,223310,212772,199856,208357,223959,240757,259635,316981,359800,379684,497711,654201,660724,716240,540169,475717,503320,538678,704327,650449,658192,1058186,1078189,964143,974202
 "98000","Far West",8,SAGDP6,9,"213","   Support activities for mining ","Thousands of dollars",85673,90358,81300,93522,78217,73170,67475,68956,71775,89693,106585,139970,154755,158485,166538,176571,178242,197464,176250,182904,163167,143263,159340,186580,189518,192321,196934,218138
 "98000","Far West",8,SAGDP6,10,"22","  Utilities ","Thousands of dollars",4309089,4473813,4621002,4860625,5087488,5610385,5813554,6247031,6550097,7359448,8314480,8885502,9189530,9351125,9500273,9378132,9444295,9498289,9787528,10270838,10801023,11069433,11605585,12054291,12375018,13760945,15075124,15261387
