GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "33000","New Hampshire",1,SAGDP6,1,"...","All industry total ","Thousands of dollars",2731187,2824979,3076490,3198880,3270693,3455195,3830297,4068625,4209450,4281018,4334137,4310334,4477163,4427586,4651002,4831602,5082048,5477591,5773270,5994398,6404146,6646636,6413555,6381520,6638918,7268392,7470994,8053659
 "33000","New Hampshire",1,SAGDP6,2,"..."," Private industries ","Thousands of dollars",2731187,2824979,3076490,3198880,3270693,3455195,3830297,4068625,4209450,4281018,4334137,4310334,4477163,4427586,4651002,4831602,5082048,5477591,5773270,5994398,6404146,6646636,6413555,6381520,6638918,7268392,7470994,8053659
 "33000","New Hampshire",1,SAGDP6,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",12350,11125,13329,12115,11440,10638,11993,13007,14166,15714,18871,20839,19127,19308,21922,23133,23971,27682,26520,24934,26956,27073,28084,29586,30596,32426,33400,35281
 "33000","New Hampshire",1,SAGDP6,4,"111-112","   Farms ","Thousands of dollars",10229,8851,10797,9517,8992,8200,9456,10152,11150,12596,15524,17266,15870,15960,18485,19290,20060,23404,22258,20793,22326,22182,23262,24593,25662,27395,28204,29929
 "33000","New Hampshire",1,SAGDP6,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",2122,2274,2532,2597,2448,2438,2537,2855,3016,3118,3347,3573,3257,3349,3438,3843,3911,4278,4262,4141,4630,4891,4823,4993,4934,5031,5196,5352
 "33000","New Hampshire",1,SAGDP6,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1923,1946,2308,2198,3740,4041,4111,4770,5417,6019,6775,6197,6197,6267,6538,7527,8229,9638,10654,12649,13763,13866,13511,16749,16081,19522,18129,21079
 "33000","New Hampshire",1,SAGDP6,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,0,0,0,0,227,0,0,0,0,0,0,0,0,0,0,0,0,0
 "33000","New Hampshire",1,SAGDP6,8,"212","   Mining (except oil and gas) ","Thousands of dollars",1449,1510,1834,1772,3642,4023,3979,4626,5251,5745,5789,5242,5238,5219,5184,6478,6990,8414,9091,10869,12203,12538,12170,14622,13630,16940,17185,20009
 "33000","New Hampshire",1,SAGDP6,9,"213","   Support activities for mining ","Thousands of dollars",474,436,474,426,99,18,132,144,166,274,986,955,959,1048,1128,1049,1239,1223,1563,1779,1560,1328,1341,2127,2451,2581,944,1070
 "33000","New Hampshire",1,SAGDP6,10,"22","  Utilities ","Thousands of dollars",184362,179040,183265,181349,169676,179492,186838,212462,212219,222498,227575,244097,265630,270384,283948,285442,293140,289722,289457,277469,301478,311902,283149,305802,300011,324894,360647,372523
 "33000","New Hampshire",1,SAGDP6,11,"23","  Construction ","Thousands of dollars",20745,23493,27285,29460,26191,29956,30508,34161,33483,32986,31971,28864,29736,30349,32546,32756,33941,36667,40090,42319,54405,53384,55493,55915,59261,66607,72649,78821
 "33000","New Hampshire",1,SAGDP6,12,"31-33","  Manufacturing ","Thousands of dollars",287260,292199,317211,329043,339492,331972,350848,358357,355927,381666,392289,409217,389416,385789,432293,432184,514236,536803,544681,549083,647861,679783,689892,661590,662480,813071,831984,963225
 "33000","New Hampshire",1,SAGDP6,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",164524,169716,193104,200746,210013,207513,215636,231104,230918,246773,255810,279750,256813,256273,290653,284080,360085,379708,380718,373852,443795,467650,476644,454390,449450,573071,576394,683979
 "33000","New Hampshire",1,SAGDP6,14,"321","    Wood product manufacturing ","Thousands of dollars",4187,4720,5382,6046,4139,4315,4168,4297,4483,4745,4811,4637,4980,4521,4358,4427,4788,4982,5204,5615,6479,6279,6419,6123,6343,7063,7447,8253
 "33000","New Hampshire",1,SAGDP6,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",5271,5562,6283,6647,6170,6516,7028,7733,8196,8494,9070,8794,9430,9352,9647,9940,9123,9987,11077,12114,13919,13888,13763,13928,13849,15391,17087,19171
 "33000","New Hampshire",1,SAGDP6,16,"331","    Primary metal manufacturing ","Thousands of dollars",14925,15024,16559,15232,12009,12283,13718,14052,15141,15296,16880,17788,22313,20419,20403,20774,19269,20358,23131,25304,26655,27878,27814,29255,26988,29973,33204,40228
 "33000","New Hampshire",1,SAGDP6,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",29851,29336,39010,36847,28375,28653,28938,33505,23835,30658,21794,49454,11027,20457,54108,44080,109671,99081,74220,63901,90756,86826,106686,80254,87073,143982,113280,167040
 "33000","New Hampshire",1,SAGDP6,18,"333","    Machinery manufacturing ","Thousands of dollars",16341,17757,21046,23860,22381,22406,22258,22992,24142,28659,31361,31901,35850,37776,34195,34420,36499,39087,37717,39710,45134,46479,47031,48526,51080,59115,59309,62502
 "33000","New Hampshire",1,SAGDP6,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",68730,71344,76972,82505,103119,99923,105289,113016,118534,121917,131532,129333,133091,125444,126925,129405,131888,153298,171561,172864,199420,222308,209324,212824,196540,247306,271742,304749
 "33000","New Hampshire",1,SAGDP6,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",10518,11100,11544,13212,15505,14067,13370,13965,14082,15023,17207,16165,16463,15131,14564,15729,15602,16909,19416,20839,23271,23679,24230,23355,22310,24624,28304,31618
 "33000","New Hampshire",1,SAGDP6,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",3611,3661,3876,3506,4078,3511,3480,2894,2436,1662,1583,1513,2209,2020,2023,2127,2090,5263,5378,5614,6224,6606,6455,6272,6192,7309,7818,9010
