GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "40000","Oklahoma",6,SAGDP6,1,"...","All industry total ","Thousands of dollars",5569865,5626229,5806702,6412889,6467148,6470305,6827871,7406408,7960028,8764996,9139097,9464540,9460207,10016334,10516665,11565350,11881065,12289273,12045931,11642794,12101221,13045831,13401753,13071463,14852017,16028744,15831394,16304868
 "40000","Oklahoma",6,SAGDP6,2,"..."," Private industries ","Thousands of dollars",5557124,5613326,5793150,6398844,6452039,6454624,6811449,7388938,7942367,8750312,9120458,9441513,9437177,9991129,10490173,11536285,11851581,12258836,12019621,11616514,12072442,13015301,13370148,13037571,14814212,15983447,15784890,16260064
 "40000","Oklahoma",6,SAGDP6,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",81067,81264,95115,90888,94061,94287,112856,111593,102260,106237,114967,125084,128635,133355,136799,144279,155234,160882,165050,158937,170986,170384,175852,187904,196649,210878,217518,231172
 "40000","Oklahoma",6,SAGDP6,4,"111-112","   Farms ","Thousands of dollars",76907,76998,90512,86007,89080,88783,106734,104555,95234,99583,107313,117077,121742,125898,129547,136831,147208,153174,157616,150731,161374,159918,165952,176184,183075,194308,201164,214820
 "40000","Oklahoma",6,SAGDP6,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",4160,4266,4603,4881,4982,5503,6122,7038,7025,6654,7655,8007,6893,7457,7252,7447,8026,7708,7434,8207,9612,10466,9900,11720,13574,16570,16354,16352
 "40000","Oklahoma",6,SAGDP6,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",696044,597379,533681,827720,845351,736832,971449,1202539,1476302,1853142,1880580,2231045,2247691,2441990,2687240,2972640,3020962,3023681,2747304,2428131,2572302,2857632,2720355,2271570,2550155,3301715,2798155,2811456
 "40000","Oklahoma",6,SAGDP6,7,"211","   Oil and gas extraction ","Thousands of dollars",664390,565927,499840,788728,805322,696774,929625,1157503,1423454,1798414,1811780,2149922,2173907,2362301,2603227,2881751,2926911,2914573,2651863,2330897,2455415,2727524,2591187,2169265,2440787,3168291,2663992,2673544
 "40000","Oklahoma",6,SAGDP6,8,"212","   Mining (except oil and gas) ","Thousands of dollars",10565,11084,11758,13063,12748,12108,12483,13157,12754,12399,14200,15272,14345,15837,17715,20711,24046,31450,25791,24292,26724,33010,38560,31879,32400,46105,45033,45066
 "40000","Oklahoma",6,SAGDP6,9,"213","   Support activities for mining ","Thousands of dollars",21090,20368,22083,25929,27281,27950,29341,31879,40094,42330,54601,65851,59439,63851,66298,70178,70006,77657,69649,72941,90162,97098,90607,70426,76968,87319,89131,92846
 "40000","Oklahoma",6,SAGDP6,10,"22","  Utilities ","Thousands of dollars",219122,219524,230259,248404,259663,269015,271672,283196,290906,311976,346934,341550,386261,414376,403160,429130,438770,462125,427059,424150,390315,421759,484851,440818,455144,514893,553265,590592
 "40000","Oklahoma",6,SAGDP6,11,"23","  Construction ","Thousands of dollars",31240,34967,38618,40352,45452,49330,49445,51885,59011,55442,61179,58975,53735,56127,53103,57385,60583,66757,63497,65451,70311,75502,79807,85017,103187,105477,109768,119303
 "40000","Oklahoma",6,SAGDP6,12,"31-33","  Manufacturing ","Thousands of dollars",226838,229320,250459,272512,215550,224108,226574,249591,227786,241674,250799,258006,303009,327379,354097,334821,381319,359018,353411,340480,357481,391347,421780,405332,441361,478489,479910,525827
 "40000","Oklahoma",6,SAGDP6,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",124686,128439,140367,154806,123143,127623,125458,134959,133293,121517,138781,129682,129576,129731,120197,125198,136765,130394,131655,120766,122646,143317,153639,161244,171429,185182,199251,218990
 "40000","Oklahoma",6,SAGDP6,14,"321","    Wood product manufacturing ","Thousands of dollars",3368,3440,3781,4298,3724,4014,4095,4332,4412,3873,4115,3862,3652,3215,2743,2670,2703,2617,2723,2926,2807,2281,2799,3018,3567,3817,4353,4770
 "40000","Oklahoma",6,SAGDP6,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",9086,9541,10696,11692,9630,10276,10370,11439,11706,11010,12278,11518,12224,12339,10698,10521,10592,10377,10960,11776,11936,12561,13807,15811,17575,17735,18374,20227
 "40000","Oklahoma",6,SAGDP6,16,"331","    Primary metal manufacturing ","Thousands of dollars",9028,9143,9167,10478,7898,7365,7777,8744,8453,7459,8835,9631,10255,9989,9402,9288,8987,7347,7470,8109,8765,9202,10336,11196,12267,13783,13731,14877
 "40000","Oklahoma",6,SAGDP6,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",20380,21077,24006,26448,21437,23261,21478,24063,24083,22340,25691,23402,23387,23431,22407,24103,25050,23930,24490,22822,22605,25514,29665,27542,29901,33113,36777,40894
 "40000","Oklahoma",6,SAGDP6,18,"333","    Machinery manufacturing ","Thousands of dollars",26093,27770,30660,34567,29462,29715,29958,33346,34410,32160,39855,38144,37982,39183,37680,40640,41243,39350,38504,36271,37382,40774,45116,45526,47472,51990,57116,64973
 "40000","Oklahoma",6,SAGDP6,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",20802,21918,23710,25923,18289,16089,15380,15098,14148,12448,14227,12233,12740,12039,10568,10887,13733,13109,13844,9656,9587,12151,10461,10898,10770,11383,12887,14237
 "40000","Oklahoma",6,SAGDP6,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",3946,3919,3895,4315,3776,4013,3914,3924,4436,3543,3982,3645,3806,4060,3480,3299,3172,2978,3071,3378,3433,3921,4426,4742,5947,5904,6220,6579
 "40000","Oklahoma",6,SAGDP6,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",16816,16677,18457,19777,15839,19295,19160,19218,16954,14582,13992,13513,12412,11963,10773,10882,10958,11002,10501,10450,10140,10996,11525,12036,13635,15387,15977,17780
 "40000","Oklahoma",6,SAGDP6,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",8343,8067,8325,9299,7016,6840,6712,7495,7456,7345,8819,7567,7698,7981,7489,8034,8723,8668,9755,10918,12189,21399,20075,24348,23211,24992,26449,26977
 "40000","Oklahoma",6,SAGDP6,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",1629,1662,1862,1959,1383,1551,1541,1779,1808,1678,1738,1399,1171,1161,1117,1188,1143,1018,1024,1048,914,937,1121,1312,1619,1652,1579,1666
 "40000","Oklahoma",6,SAGDP6,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",5195,5225,5808,6052,4691,5204,5074,5519,5426,5080,5248,4768,4248,4370,3840,3687,10461,10000,9313,3413,2885,3583,4308,4816,5467,5426,5788,6010
 "40000","Oklahoma",6,SAGDP6,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",102152,100880,110092,117705,92407,96485,101117,114632,94494,120157,112018,128325,173433,197648,233900,209623,244554,228624,221756,219714,234835,248030,268141,244087,269932,293307,280659,306837
 "40000","Oklahoma",6,SAGDP6,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",22376,23749,25038,32049,27088,29235,30899,36016,33721,56234,58282,54561,124625,142082,135635,134619,129055,119420,116551,118618,116886,115067,113938,116303,124205,120847,114003,87187
 "40000","Oklahoma",6,SAGDP6,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",1907,1934,1895,1895,991,831,712,727,756,676,758,699,751,744,602,611,577,497,432,493,494,489,689,844,1051,999,985,1110
 "40000","Oklahoma",6,SAGDP6,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",2102,2130,2415,2630,1635,1730,1561,1668,1633,1489,1689,1251,1238,1339,1231,1167,1152,950,964,979,600,603,713,841,963,925,904,983
 "40000","Oklahoma",6,SAGDP6,29,"322","    Paper manufacturing ","Thousands of dollars",8492,8955,9415,10062,6930,7139,6760,7072,6772,5538,6117,5581,6170,6240,5579,5474,5412,4820,5104,4852,5406,6686,8012,9539,10347,11367,11552,12795
 "40000","Oklahoma",6,SAGDP6,30,"323","    Printing and related support activities ","Thousands of dollars",4639,4691,5118,5554,3629,3701,3479,3907,3795,3295,3514,2848,2812,2916,2417,2293,2214,1861,1783,2943,1508,1593,1906,2170,2756,3074,3197,3516
 "40000","Oklahoma",6,SAGDP6,31,"324","    Petroleum and coal products manufacturing ","Thousands of dollars",17140,17068,16519,17995,15908,16401,17855,17275,17112,16130,18108,20759,21402,23790,25140,24669,28438,29566,27576,41311,38067,39490,42959,44165,47378,50261,51226,51738
 "40000","Oklahoma",6,SAGDP6,32,"325","    Chemical manufacturing ","Thousands of dollars",13211,13752,13673,14518,12451,11533,10806,10945,10553,9366,10629,11176,12079,12545,23572,21593,28018,29456,30483,25063,32380,35972,35938,39543,42094,45627,50960,50417
 "40000","Oklahoma",6,SAGDP6,33,"326","    Plastics and rubber products manufacturing ","Thousands of dollars",32285,28603,36019,33003,23775,25915,29044,37023,20152,27429,12922,31450,4356,7992,39725,19196,49686,42054,38863,25455,39494,48131,63986,30683,41139,60207,47833,99092
 "40000","Oklahoma",6,SAGDP6,34,"42","  Wholesale trade ","Thousands of dollars",1295386,1330128,1369438,1424360,1420551,1461778,1449082,1563332,1540882,1709015,1666728,1697208,1641844,1672496,1840515,2016959,2123474,2156171,2157289,2154254,2203975,2305627,2555868,2345981,2783756,2840964,2879458,3015554
 "40000","Oklahoma",6,SAGDP6,35,"44-45","  Retail trade ","Thousands of dollars",993567,1006402,1048402,1116765,1208610,1179017,1230406,1296945,1431480,1671257,1701449,1636982,1549780,1653901,1749622,1918203,1919922,2012081,1921013,1871528,2006433,2156965,2253436,2387775,2670289,2579161,2547937,2597573
 "40000","Oklahoma",6,SAGDP6,36,"48-49","  Transportation and warehousing ","Thousands of dollars",136329,146071,149420,159249,142062,152738,151458,167135,164758,152408,207050,207108,216216,216320,189834,219110,246994,263010,268510,279944,287611,315872,345518,364142,408873,473162,469819,483617
 "40000","Oklahoma",6,SAGDP6,37,"481","   Air transportation ","Thousands of dollars",55492,64683,67465,74938,67875,70197,69500,73381,72657,63829,99483,90168,95474,87416,64135,85748,102296,105262,116870,129562,125744,131012,140110,112196,151476,174281,162450,168899
 "40000","Oklahoma",6,SAGDP6,38,"482","   Rail transportation ","Thousands of dollars",10161,10969,11371,11430,12523,12334,12215,13160,13996,15405,15850,16910,17534,18890,19236,20632,20866,18908,21346,20782,18841,20744,21924,21876,22386,25118,25464,26091
 "40000","Oklahoma",6,SAGDP6,39,"483","   Water transportation ","Thousands of dollars",247,331,268,301,167,138,122,135,97,161,276,266,209,196,17,5,14,17,20,23,26,31,24,21,25,42,43,49
 "40000","Oklahoma",6,SAGDP6,40,"484","   Truck transportation ","Thousands of dollars",34645,34821,35323,37346,35202,39737,38137,40858,42296,43170,46318,46244,44870,45534,48707,51651,49639,55601,45701,47351,50551,55095,57377,58113,63886,69025,73205,74838
