GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "18000","Indiana",3,SAGDP7,1,"...","All industry total ","Thousands of dollars",62498162,69718134,71163201,75464715,75017378,79997336,87189944,94492479,95347407,100623928,112416294,113474605,110060470,125522882,128652761,129200848,137734611,145826197,143143532,147566045,153591067,162942628,164972953,167420796,193000444,207882291,225079681,231786751
 "18000","Indiana",3,SAGDP7,2,"..."," Private industries ","Thousands of dollars",59281347,66377868,67811174,72046240,71636667,76595255,83756833,90930159,91552128,92884317,108063514,108745805,105202721,120687024,123792810,124092656,132537596,138854438,135862817,140041018,145304616,154113118,155965716,157733956,183113532,197361579,214551740,220749282
 "18000","Indiana",3,SAGDP7,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",2391708,2016716,1716478,2195606,2376544,1669917,2390173,3159175,2374386,2322954,2748349,3612504,2654165,2852671,4177293,3536533,6718597,4436617,3076447,3406923,3242944,3378749,2965302,(D),6521267,(D),6356437,5766121
 "18000","Indiana",3,SAGDP7,4,"111-112","   Farms ","Thousands of dollars",1958544,1517500,1246023,1627717,1772837,1141223,1979672,2962061,2137718,2012943,2495190,3352689,2457318,2576209,3965268,3336773,6479453,4165165,2726144,3085740,2934415,3110409,2652778,4167751,6251586,7396601,6098346,5509946
 "18000","Indiana",3,SAGDP7,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",433163,499216,470455,567889,603708,528694,410501,197114,236668,310011,253159,259815,196848,276462,212026,199760,239144,271452,350303,321183,308529,268340,312524,(D),269681,(D),258091,256175
 "18000","Indiana",3,SAGDP7,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",189641,284092,300454,193752,371842,359347,391967,341624,426489,500205,617401,675073,828892,955206,1074953,1028765,1037195,829533,635978,607747,768900,655576,481777,(D),810065,(D),1292778,1263899
 "18000","Indiana",3,SAGDP7,7,"211","   Oil and gas extraction ","Thousands of dollars",249,-2321,-2191,-433,-1908,1089,2390,7540,15646,19260,24285,46138,26642,23776,31444,32500,39348,31674,133,1033,14139,12464,4720,(D),22235,(D),20433,20569
 "18000","Indiana",3,SAGDP7,8,"212","   Mining (except oil and gas) ","Thousands of dollars",189244,286055,302642,192692,368330,353115,385954,329955,406374,477074,588464,620060,797134,924511,1032879,984705,976246,760426,613917,594708,722523,611241,445271,569041,741924,992242,1221050,1194334
 "18000","Indiana",3,SAGDP7,9,"213","   Support activities for mining ","Thousands of dollars",148,357,2,1494,5420,5142,3623,4129,4470,3871,4651,8875,5116,6919,10630,11561,21601,37433,21927,12006,32238,31870,31786,(D),45906,(D),51295,48996
 "18000","Indiana",3,SAGDP7,10,"22","  Utilities ","Thousands of dollars",2379061,2150410,2420575,2181886,2070200,1887061,1926924,2176619,2060772,2413990,2412610,2494850,2917691,3430507,3631159,3677407,3798134,4016492,3814495,3913478,3862037,3733207,3926425,3878042,4491204,5369933,5313854,4953194
 "18000","Indiana",3,SAGDP7,11,"23","  Construction ","Thousands of dollars",2256109,2586503,2585598,2655538,2466639,2333211,2717044,3196424,3546623,3461227,3658901,2879834,2619659,2167021,2545660,3385255,3637143,3849030,4187345,4966483,5826129,6293059,6903430,8328691,8145810,8493073,9900179,10595508
 "18000","Indiana",3,SAGDP7,12,"31-33","  Manufacturing ","Thousands of dollars",19287952,23706216,23364956,25011769,23438211,27371977,30507139,33472827,31225269,30283478,41440906,41914203,36957694,48010374,48277621,45826735,49873163,51908667,46290720,46924813,48934748,53097676,51186462,48276625,60392232,66044892,70522956,70417580
 "18000","Indiana",3,SAGDP7,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",9837200,11188167,10382096,12007870,11283754,14107717,16696514,16756763,16165523,15144265,20337469,16654906,10018785,22034709,19593241,19747642,21185818,21085384,23111146,23841622,23162156,25398853,26052186,24701924,28724754,30914620,32791375,31275526
 "18000","Indiana",3,SAGDP7,14,"321","    Wood product manufacturing ","Thousands of dollars",213775,157360,110166,79712,100123,73376,117595,130304,270567,90517,91883,84511,141925,117918,65433,84958,93667,113956,211977,292740,337348,301052,326938,364280,748370,867748,753101,652979
 "18000","Indiana",3,SAGDP7,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",432383,451674,462877,367886,330316,420391,469069,383297,407540,401493,395611,337117,388462,366758,386168,397504,591927,569694,700752,695085,943722,970368,1123443,1094839,1156545,1754550,2083780,2143114
 "18000","Indiana",3,SAGDP7,16,"331","    Primary metal manufacturing ","Thousands of dollars",1508260,2028893,1189137,1277972,875262,1982612,1430586,3180749,1432908,304613,4420692,4753982,818945,3782689,2699643,3724247,4954752,4727192,4834698,4745338,4034041,5826587,5106436,3026179,6645268,6972832,5993112,4355670
 "18000","Indiana",3,SAGDP7,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",1789660,1931339,1978999,2266636,1809816,1829232,2099090,2204204,2313283,2447792,2697550,2113780,1551310,2059108,2139381,2492178,2537662,2523699,2719687,2599219,2704884,2751356,3068165,3292270,2889167,3764094,4103936,3945898
 "18000","Indiana",3,SAGDP7,18,"333","    Machinery manufacturing ","Thousands of dollars",1323167,1855184,1951313,1544285,1865348,1160258,744461,1283832,1473473,1511937,1917581,2164439,1637594,2103184,1814261,1953531,2717446,2178562,2173924,2069116,1735084,2089656,2364556,2528085,2428993,2501993,3506232,4053355
 "18000","Indiana",3,SAGDP7,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",91753,-99487,-200368,-126421,-205280,-101454,145965,210807,869220,998816,912071,663151,1164587,699959,441929,1000116,1077322,787559,880536,695325,630258,627609,571332,485795,463664,455215,456338,467586
 "18000","Indiana",3,SAGDP7,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",714578,468202,523991,283840,49603,340971,191094,40425,123368,353701,391554,592768,350415,355497,365476,332735,313842,87338,287325,207436,274102,127537,247815,355944,479465,506562,548704,558844
