GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "23000","Maine",1,SAGDP7,1,"...","All industry total ","Thousands of dollars",9958722,10481330,11602437,12639234,12964249,13600356,14212769,15449017,16579529,16713128,17232951,17079173,18438948,19220546,19058107,19111417,19183510,19379740,20042240,21234948,21740731,22976751,24213447,27382173,30013341,31853524,35977108,37869802
 "23000","Maine",1,SAGDP7,2,"..."," Private industries ","Thousands of dollars",9154671,9705239,10798349,11741755,12063309,12677007,13286701,14469345,15535957,15651427,16112746,15870910,17213917,17977269,17825915,17853890,17899483,18061388,18717174,19720059,20302368,21445449,22628381,25725143,28242973,29918650,34008536,35807848
 "23000","Maine",1,SAGDP7,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",456208,544111,594082,663928,623347,530257,566383,531348,530460,523910,456097,(D),(D),566528,557121,(D),476834,440681,558541,504084,507052,472905,518308,582463,665492,759328,615128,672884
 "23000","Maine",1,SAGDP7,4,"111-112","   Farms ","Thousands of dollars",110055,186420,199729,215205,197261,136239,157990,205129,219476,213952,219552,235287,221460,330693,319512,273958,273714,191959,220866,145955,174494,187754,248251,263109,348397,439621,248244,311140
 "23000","Maine",1,SAGDP7,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",346153,357691,394352,448724,426086,394018,408393,326219,310984,309958,236546,(D),(D),235835,237609,(D),203120,248722,337675,358129,332557,285151,270058,319353,317095,319707,366885,361743
 "23000","Maine",1,SAGDP7,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",-437,611,2533,2397,2808,2511,1810,3794,2577,3055,5262,(D),(D),5096,4720,(D),17262,9825,15811,13449,23930,30219,15614,45794,36971,(D),23458,(D)
 "23000","Maine",1,SAGDP7,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,0,0,0,0,0,(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "23000","Maine",1,SAGDP7,8,"212","   Mining (except oil and gas) ","Thousands of dollars",-459,624,2529,2312,(D),(D),(D),(D),(D),3055,4002,10332,7952,(D),(D),15271,17062,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D)
 "23000","Maine",1,SAGDP7,9,"213","   Support activities for mining ","Thousands of dollars",23,-13,4,86,(D),(D),(D),(D),(D),0,(D),(D),(D),(D),(D),(D),200,(D),(D),(D),(D),(D),(D),(D),(D),0,(D),(D)
 "23000","Maine",1,SAGDP7,10,"22","  Utilities ","Thousands of dollars",492697,446771,500512,395187,514495,415456,398590,443245,440507,562509,616034,590633,623525,639053,621926,601484,620804,619705,582601,584549,578622,584437,570808,590297,682397,(D),1052080,897686
 "23000","Maine",1,SAGDP7,11,"23","  Construction ","Thousands of dollars",381779,462383,546932,634745,743769,795543,878979,1019452,1069124,1018196,923243,722413,909281,873118,693508,565085,436212,456408,449209,459293,463353,450495,455306,563394,479089,415390,523953,514136
 "23000","Maine",1,SAGDP7,12,"31-33","  Manufacturing ","Thousands of dollars",983895,756870,1113248,1474189,917607,878935,856613,1211048,1453614,1501958,1556478,1504639,1932658,1942534,1707984,1652912,1602826,1652482,1404133,1638261,1837554,1922440,2043586,2867381,3021364,2953810,3257314,3229110
 "23000","Maine",1,SAGDP7,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",216248,42266,206550,411496,227890,203009,286218,527371,667319,559655,445582,413532,738799,868309,790641,568929,745624,736808,620592,699185,694855,810406,850930,1354048,1559205,1534278,1662388,1574093
 "23000","Maine",1,SAGDP7,14,"321","    Wood product manufacturing ","Thousands of dollars",41045,31508,83855,75097,-1856,88604,89637,211699,189050,129437,52256,86352,40315,112621,111637,88924,122091,109636,46826,96262,119751,157243,36794,141694,316782,367226,339697,290741
