GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "36000","New York",2,SAGDP7,1,"...","All industry total ","Thousands of dollars",283000804,281530603,304386070,308136181,331539459,345483066,350947640,363559579,381394674,400028936,393055432,370749785,455581853,483183412,486554866,540689168,555959814,583481380,610839679,653406083,676497281,714292991,748231587,792257170,862068486,905361711,963666389,1031655643
 "36000","New York",2,SAGDP7,2,"..."," Private industries ","Thousands of dollars",271750055,269456904,291383350,295320528,318568416,332150322,337133568,348531929,365485475,384469791,375567917,353313843,437488004,464794462,466547155,519444974,533828047,560535472,588710035,630111743,653159900,690477578,724164964,767319523,836426115,876434738,934863026,1001458770
 "36000","New York",2,SAGDP7,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",763577,954734,1045388,1043131,1152799,798052,1024606,1377720,1482441,1338599,1556489,1756067,1182476,1727028,2223351,1801149,2211342,2090762,1548315,1293896,1629437,1427583,1932876,2262421,2878431,3739151,2092697,2140381
 "36000","New York",2,SAGDP7,4,"111-112","   Farms ","Thousands of dollars",592612,830619,916015,908352,1029051,679163,884552,1239055,1320410,1153368,1404241,1611308,1078445,1592916,2109103,1680130,2089275,1952286,1383227,1125987,1458876,1301113,1796111,2096427,2656729,3500393,1833535,1884027
 "36000","New York",2,SAGDP7,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",170965,124115,129373,134779,123747,118889,140054,138665,162031,185231,152248,144759,104030,134112,114247,121019,122067,138476,165088,167909,170561,126470,136766,165994,221703,238759,259162,256354
 "36000","New York",2,SAGDP7,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",90402,104095,141947,143983,148107,157388,165442,244303,292640,448477,508193,659472,595120,617859,460251,425044,357321,292427,112757,175333,205378,198697,210315,275760,321302,250197,263754,409839
 "36000","New York",2,SAGDP7,7,"211","   Oil and gas extraction ","Thousands of dollars",1624,-2148,-6418,-3215,1299,2129,12166,42396,49306,45808,71994,109601,73952,82362,75336,89507,124790,88263,4708,8326,36916,24996,24196,14408,18415,18995,17972,17106
 "36000","New York",2,SAGDP7,8,"212","   Mining (except oil and gas) ","Thousands of dollars",84965,104855,147479,146776,144820,153257,152003,198576,230607,363917,377238,446722,485499,499370,350015,296298,215112,177347,93414,162831,152849,142729,160654,242645,283407,202023,213125,343919
 "36000","New York",2,SAGDP7,9,"213","   Support activities for mining ","Thousands of dollars",3814,1388,885,421,1988,2002,1273,3331,12727,38752,58962,103148,35669,36128,34900,39238,17419,26817,14635,4177,15613,30971,25464,18707,19480,29179,32656,48814
 "36000","New York",2,SAGDP7,10,"22","  Utilities ","Thousands of dollars",6594217,5865363,6610841,6187908,6614860,5687491,6629598,8412486,7860910,8541335,8032454,8059529,8545175,10280539,10309952,9799959,10374155,11002662,10331048,9653815,10789014,11953143,12724761,15191915,16613819,17682268,15568518,15207833
 "36000","New York",2,SAGDP7,11,"23","  Construction ","Thousands of dollars",4793354,4116575,5366505,6329951,7385727,8393235,9362372,10636609,12058608,12194881,13541873,12578670,13250270,11069364,9911657,10373209,11532627,12514704,14643238,17012778,18951424,19277861,19933610,22125792,20959829,20529242,23691516,24643658
 "36000","New York",2,SAGDP7,12,"31-33","  Manufacturing ","Thousands of dollars",18822231,20563297,21775479,22761089,18742283,22508096,20811308,21866980,22460940,26747739,24581134,23499040,28839871,26526295,21799284,20034739,20909190,22556744,24444007,24116198,24717007,23475135,27388027,29202846,37488556,40758063,43615588,44449112
 "36000","New York",2,SAGDP7,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",9174713,10136160,9975650,8564748,5183111,6627697,5372880,5683022,6931905,6490422,7117911,7187088,6495449,8073252,8407490,8701766,10530110,10278899,9476919,8950126,9608109,8927357,8142705,7901150,7041839,8516056,9101381,8755580
 "36000","New York",2,SAGDP7,14,"321","    Wood product manufacturing ","Thousands of dollars",99371,82603,45829,80343,85679,96993,96618,25392,55584,7248,60643,110427,71705,149762,122885,88855,91988,154101,126978,169815,96489,76376,74639,115606,126993,132105,140110,140434
 "36000","New York",2,SAGDP7,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",1193035,1115044,913676,960788,468292,555376,473081,1036491,1024449,934394,750862,739741,846413,500831,970884,583883,650020,1580587,1517199,1685121,1780924,1845378,2014949,1925279,2089812,2057363,2136007,2172128
 "36000","New York",2,SAGDP7,16,"331","    Primary metal manufacturing ","Thousands of dollars",130529,273304,289507,402111,384942,430101,348832,536668,675683,693447,837001,282277,-433698,-4689,-149194,846303,526508,765905,344929,270154,669031,504415,482639,315018,410410,510223,403313,186192
 "36000","New York",2,SAGDP7,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",1157122,1294651,1146461,1189680,876965,810267,975371,1100813,1097731,962114,1026245,713194,956797,905495,796292,1056318,1405726,1251146,1321164,1373349,838289,1028662,1210944,1328306,1023925,1209637,1327433,1190321
 "36000","New York",2,SAGDP7,18,"333","    Machinery manufacturing ","Thousands of dollars",2979436,3965866,4033949,2971819,2273507,1872923,679211,1030590,1395757,1584876,1794940,1867065,1849139,1379149,1965077,1854484,2535130,1876581,2137614,1857903,1702705,1296266,1833178,1280301,1092237,1268376,1741381,1945887
 "36000","New York",2,SAGDP7,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",584174,521301,-466248,494201,-414850,-228320,1068,-195422,-430758,-843608,-26344,730015,782561,1379862,1700338,1611963,2344553,1889503,2052959,1504529,2671538,2517045,978312,733079,433996,1361036,822158,482204
 "36000","New York",2,SAGDP7,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",1103310,520580,597614,321647,279499,462536,521534,332956,349391,578240,315576,520765,438391,418733,272471,357630,428941,191325,155875,42822,-20609,65623,81495,402702,167986,359988,489827,559097
 "36000","New York",2,SAGDP7,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",508373,912803,723727,534866,339562,975679,887008,187700,582343,432624,157582,-254800,-510546,110564,141676,158841,316418,(D),(D),304067,(D),(D),(D),(D),(D),353237,(D),(D)
 "36000","New York",2,SAGDP7,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",307188,407434,1413176,841803,375973,704690,463261,677629,1083504,737606,699558,892992,969324,1226527,1188829,936940,1096370,(D),(D),881919,(D),(D),(D),(D),(D),319500,(D),(D)
 "36000","New York",2,SAGDP7,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",192207,209809,248663,243408,230970,194622,199248,120931,176908,257396,262763,156329,134480,103093,69439,51912,118871,106518,109446,154108,-3330,24158,139516,126546,71361,151694,171510,172268
 "36000","New York",2,SAGDP7,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",919967,832765,1029297,524081,282571,752832,727648,829274,921316,1146086,1239086,1429085,1390882,1903925,1328794,1154637,1015584,927006,649453,706338,886713,743177,698949,907689,801449,792898,969311,1057708
 "36000","New York",2,SAGDP7,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",9647518,10427137,11799829,14196341,13559172,15880398,15438429,16183958,15529035,20257317,17463224,16311952,22344422,18453043,13391794,11332973,10379080,12277845,14967088,15166072,15108898,14547778,19245322,21301696,30446717,32242007,34514207,35693533
 "36000","New York",2,SAGDP7,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",1844753,1512733,1990369,2011345,2192174,2166473,1862177,1342198,1678424,2160271,1571273,1629788,2875002,1856938,1109382,1125748,1573259,1815877,2666785,2711294,2363275,1838919,2826208,3106851,2723275,1900286,3199859,3602360
 "36000","New York",2,SAGDP7,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",320257,421073,266825,350560,335364,366951,56340,155227,22643,10265,40884,35102,60059,133297,48987,43045,105202,173872,184401,201675,121766,103605,94166,225104,148154,71990,63214,58969
