GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "39000","Ohio",3,SAGDP7,1,"...","All industry total ","Thousands of dollars",125925253,131687741,134766907,138889439,139024937,149388587,155534454,165908028,179061544,180713032,184741340,185851877,184649959,195193017,208045587,213023995,224503420,240330636,246085875,250335818,260809573,268340726,285134762,292407874,331458417,353793224,382975848,394593706
 "39000","Ohio",3,SAGDP7,2,"..."," Private industries ","Thousands of dollars",118138905,123847639,127091550,130411176,130831660,141397824,147545889,157818365,170579666,171797657,175360460,175697629,174375509,184673243,197199256,201232388,212334618,227943768,233526751,237514348,247220771,254587933,270580796,277638433,315097415,334923020,363603052,373244498
 "39000","Ohio",3,SAGDP7,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",2431275,2005015,1614565,2073363,1953930,1451242,1698560,2472732,2184415,2125555,2170325,2214944,2419958,2549227,3809686,2988055,4338549,3500653,2303398,2061750,2861112,3457718,2532535,3886141,5662376,5686462,6369230,5067960
 "39000","Ohio",3,SAGDP7,4,"111-112","   Farms ","Thousands of dollars",2250773,1827777,1445999,1889200,1773831,1283334,1513004,2269798,2001972,1929249,2003051,2046674,2279572,2416717,3636431,2779877,4099667,3211591,1979650,1731432,2510730,3102351,2162862,3477771,5217370,5180736,5795304,4501512
 "39000","Ohio",3,SAGDP7,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",180503,177238,168566,184163,180099,167907,185556,202934,182443,196305,167273,168269,140386,132509,173255,208177,238882,289062,323748,330318,350383,355367,369674,408370,445006,505727,573926,566448
 "39000","Ohio",3,SAGDP7,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",332154,400131,349056,631318,466778,666248,772142,965271,1278881,1483500,1750753,2246855,1931058,1821035,2155560,1590653,2947089,3906143,3276728,2805661,3023213,3272082,3403887,2778517,4535239,5304156,4889400,4732523
 "39000","Ohio",3,SAGDP7,7,"211","   Oil and gas extraction ","Thousands of dollars",113246,63386,46386,192682,213608,408042,433809,536889,706064,675307,737249,1046385,679967,542277,667011,489843,1943551,2811338,2272163,2114477,2278606,2460368,2598437,2002301,3739389,4471152,3951281,3677772
 "39000","Ohio",3,SAGDP7,8,"212","   Mining (except oil and gas) ","Thousands of dollars",208796,335725,307452,445911,240959,251978,320103,361165,438353,496024,539781,735464,969700,1051848,1279613,936049,765308,660324,783404,653197,564933,506762,573811,672543,682692,650836,734629,893744
 "39000","Ohio",3,SAGDP7,9,"213","   Support activities for mining ","Thousands of dollars",10113,1020,-4782,-7275,12211,6228,18230,67217,134464,312169,473724,465006,281391,226911,208936,164761,238231,434481,221161,37986,179674,304952,231640,103674,113157,182168,203490,161007
 "39000","Ohio",3,SAGDP7,10,"22","  Utilities ","Thousands of dollars",4743331,4249059,4773168,4367341,4041598,3505619,3467502,3830091,3531363,4047551,4187538,4206951,4978693,5660590,5763036,5706058,5796685,6153818,6002336,5930584,5826636,5890533,5822898,5992765,7131619,8038357,8528004,8267367
 "39000","Ohio",3,SAGDP7,11,"23","  Construction ","Thousands of dollars",3882417,4440303,4633226,4808396,4894343,4865333,5491128,6476405,6886403,6288666,5829052,4787769,4935265,4232899,4600317,5532725,5946242,6093945,6788261,7729736,8475697,8878954,9784477,12368092,11720940,11301028,12930467,13755157
 "39000","Ohio",3,SAGDP7,12,"31-33","  Manufacturing ","Thousands of dollars",32639432,35320977,32621256,32199928,28752785,32135872,32278316,36307512,38109533,38580458,37948092,33521357,29765058,34867111,42300080,41107498,41782875,48970264,46251143,44175505,45185783,46457960,44639558,41800247,52078087,59433300,60234356,58816091
 "39000","Ohio",3,SAGDP7,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",20519682,22763772,19687589,20380924,15640408,17853289,18124100,21941234,24127604,22931622,22128467,19605276,8466293,13774387,17670064,18295866,18700469,20264530,20847814,20772689,21665503,18373708,19298126,18211229,19896600,22924125,24951770,23871892
 "39000","Ohio",3,SAGDP7,14,"321","    Wood product manufacturing ","Thousands of dollars",273836,300491,262830,278136,204154,324051,100663,407146,381166,256200,222617,179562,185912,263730,282968,188179,208456,306834,251752,320429,388948,378996,416511,548872,774109,858808,776714,725918
 "39000","Ohio",3,SAGDP7,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",1546492,1313695,1178395,1124370,855524,1061297,1032765,905266,796619,687867,769343,810114,815177,885928,1002102,1309381,1435127,1277942,1260375,1215423,1359078,1480324,1681265,1946901,2157558,1819811,1841873,1707814
 "39000","Ohio",3,SAGDP7,16,"331","    Primary metal manufacturing ","Thousands of dollars",3217077,2916764,1573776,1438201,395394,417960,-63024,1689793,2836593,2447367,2912200,3587729,26060,1784076,2798183,2275936,2326050,2594633,3189460,2621285,2007819,1967875,1797179,1675751,3241458,3600548,3135836,2169677
 "39000","Ohio",3,SAGDP7,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",3423272,3422603,3622418,3560536,2707302,2837733,3347575,3316221,3609740,3851094,3876884,4604069,2651597,3499941,3813821,3746274,3794560,3878884,3826401,3597425,3867318,3403746,4306481,3999278,4033222,4727276,5236622,4865232
 "39000","Ohio",3,SAGDP7,18,"333","    Machinery manufacturing ","Thousands of dollars",1094178,1826813,1098458,795932,764984,743953,897646,1043730,1605933,1206359,1591572,1481388,1079651,1377497,1925562,1736157,2737089,2324020,2060222,2187553,2493186,1626983,1754219,1896987,2072721,2238988,3271398,3569902
 "39000","Ohio",3,SAGDP7,19,"334","    Computer and electronic product manufacturing ","Thousands of dollars",860824,1657029,922112,1080847,533199,183402,467225,967443,1567405,1462559,1277906,1287732,294118,437655,500906,806413,792497,772251,238568,117741,163586,399989,252026,332965,177974,153447,-2150,-169414
 "39000","Ohio",3,SAGDP7,20,"335","    Electrical equipment, appliance, and component manufacturing ","Thousands of dollars",2041415,1141393,1818861,1903071,1606155,1555174,2435520,1753314,1870397,1824014,1601058,2176364,1827624,1692998,1438983,1729170,1599307,1451084,2100795,1953692,1994652,2023124,2257189,2098156,2467428,2847916,3327472,3720796
 "39000","Ohio",3,SAGDP7,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Thousands of dollars",5650081,7743575,6601057,7131371,5634753,7468977,6916511,8816305,7892733,7508316,5516681,1883769,-2036235,596583,2303074,3644585,2705418,3849840,3718532,3680633,3045347,2593691,2892902,1846738,1204566,2968987,(D),2443191
 "39000","Ohio",3,SAGDP7,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Thousands of dollars",1120042,1263929,1581333,2098963,2176765,2111962,2053725,2107878,2584985,2662236,3406257,2945926,2917526,2607685,3001272,2281188,2656733,3150090,3496789,4264456,5537213,3665612,3220489,2661210,2779526,2704169,(D),3624550
 "39000","Ohio",3,SAGDP7,23,"337","    Furniture and related product manufacturing ","Thousands of dollars",484459,490688,506106,526937,463412,588471,535703,480116,638236,563505,510863,178503,116136,33364,135399,64424,59620,134005,192700,209237,104731,135675,133227,315262,174116,382402,402754,394730
 "39000","Ohio",3,SAGDP7,24,"339","    Miscellaneous manufacturing ","Thousands of dollars",808007,686792,522244,442562,298767,560309,399792,454022,343798,462104,443086,470120,588728,594932,467794,514160,385612,524948,512219,604816,703625,697693,586636,889110,813922,621773,767284,819497
 "39000","Ohio",3,SAGDP7,25,"311-316,322-326","   Nondurable goods manufacturing ","Thousands of dollars",12119750,12557205,12933667,11819004,13112376,14282583,14154216,14366278,13981928,15648836,15819626,13916080,21298765,21092723,24630016,22811632,23082406,28705734,25403329,23402816,23520280,28084252,25341432,23589018,32181486,36509174,35282586,34944199
 "39000","Ohio",3,SAGDP7,26,"311-312","    Food and beverage and tobacco product manufacturing ","Thousands of dollars",3621038,3332865,3817536,3327482,4288717,4457634,3893338,4079704,3513436,4307810,4157025,3918451,5449174,4560405,4306547,4711041,5665553,6482872,6929367,6480787,6551872,5557187,4881117,6136527,5673624,4101293,5775742,6064458
 "39000","Ohio",3,SAGDP7,27,"313-314","    Textile mills and textile product mills ","Thousands of dollars",36451,59804,167017,142356,129184,77470,-28287,9778,-8419,-5233,45406,39602,32202,99036,79842,39316,91877,89514,83252,67945,72103,96613,107723,67937,58830,70411,66139,64361
 "39000","Ohio",3,SAGDP7,28,"315-316","    Apparel, leather, and allied product manufacturing ","Thousands of dollars",97866,51970,19457,25358,55304,40711,39753,43886,59839,30192,75136,76896,62785,39117,39299,21770,42611,32550,34926,36777,10358,44754,48432,103733,171573,159489,166736,205512
