GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "44000","Rhode Island",1,SAGDP7,1,"...","All industry total ","Thousands of dollars",10208642,10950396,11425512,12142734,12515141,13363902,13742939,15232922,16046345,17409542,16968448,16252303,17720042,18355149,18567335,19135965,19583948,19712750,20325181,20555782,20371011,20549454,22055638,22784502,24837334,25455683,28019618,29496925
 "44000","Rhode Island",1,SAGDP7,2,"..."," Private industries ","Thousands of dollars",8990531,9737736,10189566,10853384,11184276,12001795,12280941,13609829,14259677,15546206,15052518,14368282,15975870,16646369,16722347,17297154,17750486,17940352,18543030,18861433,18497702,18643433,20116542,20823531,22738777,23466478,25961910,27350152
 "44000","Rhode Island",1,SAGDP7,3,"11","  Agriculture, forestry, fishing and hunting ","Thousands of dollars",64215,73795,81312,94603,(D),(D),85962,77172,76110,76125,61800,69649,66254,(D),(D),50445,(D),(D),(D),(D),(D),(D),(D),(D),79142,94537,(D),(D)
 "44000","Rhode Island",1,SAGDP7,4,"111-112","   Farms ","Thousands of dollars",12993,11699,12188,11924,13019,13963,18679,25677,27263,22720,21290,31184,29166,31939,31452,21546,20868,13556,23375,9301,20461,18381,18246,29844,43955,59841,40617,45433
 "44000","Rhode Island",1,SAGDP7,5,"113-115","   Forestry, fishing, and related activities ","Thousands of dollars",51223,62096,69124,82679,(D),(D),67282,51495,48847,53405,40509,38465,37088,(D),(D),28899,(D),(D),(D),(D),(D),(D),(D),(D),35186,34696,(D),(D)
 "44000","Rhode Island",1,SAGDP7,6,"21","  Mining, quarrying, and oil and gas extraction ","Thousands of dollars",1368,1295,1640,660,(D),(D),7617,15603,10753,9034,11194,19216,23263,(D),(D),8840,(D),(D),(D),(D),(D),(D),(D),(D),47616,59573,(D),(D)
 "44000","Rhode Island",1,SAGDP7,7,"211","   Oil and gas extraction ","Thousands of dollars",0,0,0,0,0,(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,0,0
 "44000","Rhode Island",1,SAGDP7,8,"212","   Mining (except oil and gas) ","Thousands of dollars",1430,1259,1639,577,(D),5513,7549,(D),10721,9002,11153,19143,(D),12481,(D),(D),2533,24175,35062,31562,(D),(D),(D),(D),47616,59573,(D),(D)
 "44000","Rhode Island",1,SAGDP7,9,"213","   Support activities for mining ","Thousands of dollars",-62,36,1,83,(D),(D),(D),(D),(D),(D),(D),(D),(D),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 "44000","Rhode Island",1,SAGDP7,10,"22","  Utilities ","Thousands of dollars",292733,270265,298325,306261,(D),(D),283150,331279,313794,389129,373146,420638,444694,497973,462750,440622,467692,504427,539967,514107,528763,549543,574220,615703,712533,769116,788927,790599
 "44000","Rhode Island",1,SAGDP7,11,"23","  Construction ","Thousands of dollars",596968,661948,705157,753434,755506,(D),847180,1007053,1167228,1199166,1182101,940025,905863,865693,804503,837604,760252,711361,690096,692121,(D),802107,882684,1022460,877492,812838,963814,1013797
 "44000","Rhode Island",1,SAGDP7,12,"31-33","  Manufacturing ","Thousands of dollars",1038171,1059009,1074107,988390,974323,1341387,965647,1334362,935746,1548838,882474,1043210,1000065,1119188,1049694,1026984,1291958,1012519,1426127,1485776,1322076,1523838,1291391,1602915,1561491,1382152,1477478,1413018
 "44000","Rhode Island",1,SAGDP7,13,"321,327-339","   Durable goods manufacturing ","Thousands of dollars",830781,841291,849831,757120,767969,1048663,715919,(D),869042,1025028,850495,936564,768728,831108,786468,710310,793379,534600,827018,1060824,770095,836890,930846,994736,963841,932054,1054410,948690
 "44000","Rhode Island",1,SAGDP7,14,"321","    Wood product manufacturing ","Thousands of dollars",6476,6094,4830,5625,7494,(D),6705,(D),(D),(D),2012,(D),7658,5307,6543,7404,20704,(D),21547,(D),(D),7587,6934,(D),3303,4672,(D),7254
 "44000","Rhode Island",1,SAGDP7,15,"327","    Nonmetallic mineral product manufacturing ","Thousands of dollars",27547,14828,5583,5597,3234,9821,10346,11640,14521,17394,15289,14696,15626,14631,9247,9229,24003,9699,18408,17377,18272,17208,20798,37778,35063,38181,38881,37692
 "44000","Rhode Island",1,SAGDP7,16,"331","    Primary metal manufacturing ","Thousands of dollars",-22013,25045,29179,3191,5502,80580,64348,98716,109302,(D),(D),(D),(D),232485,(D),286436,80154,55354,(D),(D),(D),(D),119904,215007,229998,264120,239519,175163
 "44000","Rhode Island",1,SAGDP7,17,"332","    Fabricated metal product manufacturing ","Thousands of dollars",63619,29378,28638,90189,88045,235187,30158,182970,166098,164717,3212,75769,-16370,74027,29294,17165,20371,-54181,-56969,-44723,16445,3037,140857,53194,26846,47251,20348,19498
 "44000","Rhode Island",1,SAGDP7,18,"333","    Machinery manufacturing ","Thousands of dollars",23840,46446,47685,82162,85931,21562,24065,16764,23630,29513,47916,56434,42825,40625,36726,50070,81750,78478,87676,121674,82562,87906,92343,91390,(D),93680,106470,83289
