GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "34000","New Jersey",2,SAGDP8,1,"...","All industry total ","Quantity index",76.949,78.164,80.976,85.394,86.366,87.742,89.786,90.864,92.589,94.090,95.041,97.139,92.590,94.014,92.949,95.025,96.757,96.714,98.530,99.485,100.000,102.848,104.847,101.423,106.960,109.901,112.241,114.542
 "34000","New Jersey",2,SAGDP8,2,"..."," Private industries ","Quantity index",74.605,75.848,78.896,83.576,84.382,85.648,87.666,88.666,90.420,92.277,93.197,95.379,90.393,92.173,91.560,94.137,95.907,95.891,98.235,99.565,100.000,103.142,105.314,102.040,108.291,111.536,114.108,116.558
 "34000","New Jersey",2,SAGDP8,3,"11","  Agriculture, forestry, fishing and hunting ","Quantity index",66.769,68.527,70.172,92.591,79.145,88.290,85.997,81.853,93.499,109.729,87.669,77.982,99.028,85.091,74.641,73.738,68.877,69.881,91.004,104.798,100.000,101.371,121.532,117.863,110.400,113.788,104.414,111.821
 "34000","New Jersey",2,SAGDP8,4,"111-112","   Farms ","Quantity index",69.117,75.924,76.422,105.779,85.012,98.108,94.664,91.064,110.157,130.870,100.757,87.403,111.370,95.256,80.449,77.173,73.088,71.874,97.502,110.037,100.000,100.073,131.394,126.024,114.650,119.986,104.781,113.615
 "34000","New Jersey",2,SAGDP8,5,"113-115","   Forestry, fishing, and related activities ","Quantity index",61.777,51.547,55.647,63.796,65.791,66.043,66.379,60.700,54.241,60.289,56.808,56.323,70.667,61.621,61.675,67.589,60.116,67.621,78.509,94.882,100.000,103.860,103.562,102.926,103.247,101.628,107.668,111.933
 "34000","New Jersey",2,SAGDP8,6,"21","  Mining, quarrying, and oil and gas extraction ","Quantity index",116.908,143.020,154.722,173.496,157.702,134.540,126.130,133.236,131.076,114.675,119.737,72.755,86.196,64.001,54.582,65.876,107.704,76.821,113.235,164.167,100.000,84.311,128.042,116.548,114.479,95.590,111.105,152.687
 "34000","New Jersey",2,SAGDP8,7,"211","   Oil and gas extraction ","Quantity index",21.442,15.713,14.812,14.771,7.111,23.324,12.704,27.893,49.074,22.574,27.207,17.200,83.651,32.442,20.467,24.395,20.916,23.417,64.841,503.911,100.000,58.240,246.268,127.879,51.609,29.663,52.378,47.867
 "34000","New Jersey",2,SAGDP8,8,"212","   Mining (except oil and gas) ","Quantity index",150.944,186.979,202.563,225.835,203.673,164.958,160.946,166.747,153.819,140.407,148.023,86.361,86.894,68.481,57.530,70.949,122.764,82.953,120.063,142.801,100.000,84.305,115.581,114.164,117.888,97.716,114.965,158.856
 "34000","New Jersey",2,SAGDP8,9,"213","   Support activities for mining ","Quantity index",14.150,13.196,14.046,21.546,31.366,48.728,27.488,25.558,44.936,40.342,27.057,39.089,53.223,46.035,58.707,58.106,67.742,70.033,89.835,118.958,100.000,104.146,139.606,101.839,95.427,110.051,84.716,125.823
 "34000","New Jersey",2,SAGDP8,10,"22","  Utilities ","Quantity index",102.227,95.278,109.506,99.769,81.847,80.853,83.445,98.501,90.835,89.134,93.209,101.448,99.653,104.361,101.777,101.289,107.777,111.053,115.611,107.173,100.000,100.889,96.765,108.948,96.637,89.262,93.380,97.783
 "34000","New Jersey",2,SAGDP8,11,"23","  Construction ","Quantity index",120.405,120.293,123.782,133.608,133.658,131.358,129.438,131.449,127.158,121.927,116.675,108.393,95.054,87.890,87.135,94.789,100.399,100.795,101.935,100.590,100.000,99.338,100.719,96.676,98.716,90.827,91.744,93.710
 "34000","New Jersey",2,SAGDP8,12,"31-33","  Manufacturing ","Quantity index",117.935,112.651,122.006,131.209,127.084,119.485,127.158,122.631,115.931,121.334,126.096,133.870,110.202,113.416,101.454,95.329,95.835,99.190,96.232,104.601,100.000,116.021,116.023,114.431,114.842,115.829,117.438,125.481
 "34000","New Jersey",2,SAGDP8,13,"321,327-339","   Durable goods manufacturing ","Quantity index",57.080,60.989,65.137,80.899,76.627,73.346,80.600,78.442,78.611,84.305,85.733,95.343,84.287,86.602,86.429,83.451,86.043,82.286,88.144,92.181,100.000,116.587,108.766,99.413,108.497,106.174,103.166,101.702
 "34000","New Jersey",2,SAGDP8,14,"321","    Wood product manufacturing ","Quantity index",127.438,168.548,117.845,152.129,143.833,152.843,149.999,133.216,145.006,139.078,151.601,151.617,111.293,99.665,96.256,88.794,86.803,69.553,84.713,94.648,100.000,87.182,101.806,95.811,83.507,88.806,107.528,110.119
 "34000","New Jersey",2,SAGDP8,15,"327","    Nonmetallic mineral product manufacturing ","Quantity index",128.448,130.293,131.991,154.609,137.184,130.867,138.386,136.253,144.150,129.253,121.108,138.824,104.977,106.729,94.837,116.652,113.440,98.355,99.999,99.759,100.000,118.052,117.829,110.011,123.056,98.249,85.537,77.695
 "34000","New Jersey",2,SAGDP8,16,"331","    Primary metal manufacturing ","Quantity index",117.435,119.632,130.139,151.419,170.125,146.685,141.708,159.886,124.136,104.507,74.016,70.257,76.819,72.964,77.104,94.490,91.440,90.601,99.356,116.834,100.000,96.031,113.344,131.519,90.496,115.126,134.080,128.139
 "34000","New Jersey",2,SAGDP8,17,"332","    Fabricated metal product manufacturing ","Quantity index",148.509,143.769,150.974,162.658,141.725,129.294,134.069,130.179,137.392,140.346,137.038,122.793,97.904,107.770,107.217,97.870,96.823,92.832,87.015,88.790,100.000,109.259,115.722,92.238,105.561,99.908,86.783,82.456
 "34000","New Jersey",2,SAGDP8,18,"333","    Machinery manufacturing ","Quantity index",120.944,134.477,120.164,115.171,103.451,101.241,104.304,102.908,101.533,106.408,108.991,114.538,88.387,102.963,107.809,96.722,96.661,91.052,87.017,84.263,100.000,100.180,106.666,92.334,109.144,102.372,96.808,96.436
 "34000","New Jersey",2,SAGDP8,19,"334","    Computer and electronic product manufacturing ","Quantity index",7.883,9.686,12.889,24.497,23.969,22.988,31.806,30.299,34.732,40.817,52.336,70.066,71.884,69.548,79.126,70.772,76.639,76.500,78.903,83.300,100.000,108.168,111.820,106.753,119.679,120.858,122.926,126.070
 "34000","New Jersey",2,SAGDP8,20,"335","    Electrical equipment, appliance, and component manufacturing ","Quantity index",96.044,76.138,89.028,80.033,72.710,81.666,98.036,116.233,101.175,134.407,121.627,123.872,99.253,101.322,87.029,90.401,101.047,88.679,114.271,110.760,100.000,93.012,95.427,94.606,88.142,75.233,65.224,67.987
 "34000","New Jersey",2,SAGDP8,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Quantity index",454.117,497.960,494.473,557.597,563.900,442.937,446.055,341.138,268.645,326.209,265.825,173.682,46.309,72.162,102.243,114.913,112.292,87.972,107.549,110.448,100.000,104.088,104.541,96.881,105.434,128.492,131.417,114.298
