GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "08000","Colorado",7,SAGDP9,1,"...","All industry total ","Millions of chained 2017 dollars",189445.6,206449.1,221040.8,238739.3,242650.1,243701.9,246017.4,250069.3,261992.9,268190.8,278733.8,281803.3,275659.1,279385.6,283963.8,289339.5,301484.1,315399.0,330526.1,337685.2,350209.1,365204.5,383725.6,380544.0,406309.2,422576.1,440225.2,448838.5
 "08000","Colorado",7,SAGDP9,2,"..."," Private industries ","Millions of chained 2017 dollars",156388.6,172497.0,186026.1,202785.4,205593.6,205647.6,207935.4,212161.7,223503.8,230201.9,241105.2,242739.1,236745.2,240207.4,245083.7,250560.7,262659.9,275852.1,289882.0,295831.8,307059.1,321328.1,338875.6,335658.6,360795.1,375760.3,392010.0,399277.7
 "08000","Colorado",7,SAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of chained 2017 dollars",1520.1,1693.5,1890.1,1988.4,2308.5,2068.5,1910.3,2133.0,2563.2,2509.3,2411.7,2084.1,2519.5,2429.4,2273.2,2030.3,1968.9,2116.2,2615.9,2858.5,2364.9,2594.6,2671.3,2157.4,2499.7,2201.4,2433.7,2138.4
 "08000","Colorado",7,SAGDP9,4,"111-112","   Farms ","Millions of chained 2017 dollars",1357.8,1517.8,1695.8,1784.0,2058.5,1823.4,1661.2,1878.5,2289.1,2201.8,2119.8,1803.7,2193.1,2108.1,1949.4,1693.8,1633.7,1775.7,2250.6,2502.5,1980.7,2199.9,2266.6,1732.2,2084.2,1808.1,1995.3,1691.4
 "08000","Colorado",7,SAGDP9,5,"113-115","   Forestry, fishing, and related activities ","Millions of chained 2017 dollars",153.9,165.3,182.6,192.1,236.5,235.8,244.1,241.6,251.0,287.7,272.3,272.4,314.9,310.6,319.2,354.3,357.2,354.8,369.8,360.6,384.3,395.5,405.7,415.9,403.4,391.7,438.0,460.0
 "08000","Colorado",7,SAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of chained 2017 dollars",3205.1,3755.0,3509.1,3258.5,3818.5,4120.4,4806.9,5280.1,6544.4,7184.7,6964.3,7641.8,8433.4,7355.2,7478.8,7729.5,8516.2,10935.5,12921.8,12277.9,13292.8,13972.9,15542.3,14241.0,13015.9,11492.4,15994.6,15751.2
 "08000","Colorado",7,SAGDP9,7,"211","   Oil and gas extraction ","Millions of chained 2017 dollars",1884.2,2088.5,1680.8,1360.4,1600.6,1930.9,2335.5,2639.7,3084.8,3374.4,2924.5,3253.4,4339.4,3558.5,3511.7,3748.2,4279.9,5614.1,8500.1,9675.7,9161.4,8834.7,10639.9,11081.2,8937.9,7252.2,10856.2,11118.0
 "08000","Colorado",7,SAGDP9,8,"212","   Mining (except oil and gas) ","Millions of chained 2017 dollars",1568.7,2069.1,2217.3,2155.7,2188.3,2209.4,2359.6,2064.6,2887.8,2452.2,2606.9,2296.2,2339.2,2037.7,1830.6,1621.3,1637.8,1583.6,1369.7,1063.0,1191.2,944.3,1070.3,1154.4,1156.1,1080.0,1238.6,1028.5
 "08000","Colorado",7,SAGDP9,9,"213","   Support activities for mining ","Millions of chained 2017 dollars",233.4,227.9,215.9,330.9,558.7,439.0,525.5,769.8,1167.7,1903.1,2545.1,3182.8,1897.8,2116.4,2715.1,2857.8,2992.1,4114.9,2914.5,1712.6,2940.2,4333.9,3890.5,2417.9,3201.3,4222.5,4862.3,4575.9
 "08000","Colorado",7,SAGDP9,10,"22","  Utilities ","Millions of chained 2017 dollars",2974.4,2855.9,3358.4,3380.7,3015.9,3021.9,3186.0,3526.9,3479.8,3861.4,3462.2,3787.7,3275.8,4037.1,4172.4,4123.8,4024.8,4045.7,4107.1,4119.5,3940.2,3809.6,4260.6,4809.2,5135.3,4630.1,4862.2,4972.2
 "08000","Colorado",7,SAGDP9,11,"23","  Construction ","Millions of chained 2017 dollars",16681.3,19227.6,20640.6,22660.0,22491.8,21097.2,19730.7,19180.3,18900.8,18145.5,17717.3,16795.4,13925.7,11604.7,11662.0,12210.0,14760.8,16776.1,18169.9,19568.7,20895.7,22141.5,22811.9,22723.7,22994.0,21745.4,21178.5,21777.6
 "08000","Colorado",7,SAGDP9,12,"31-33","  Manufacturing ","Millions of chained 2017 dollars",10229.7,11054.1,11679.6,13678.8,13198.2,13890.4,14245.1,15850.1,16813.8,18435.4,20264.1,20297.6,20081.2,20700.7,20708.9,20693.5,21125.7,21869.9,22141.6,21802.8,21524.0,22797.3,23795.4,25090.7,24986.9,25080.6,24529.6,24477.7
 "08000","Colorado",7,SAGDP9,13,"321,327-339","   Durable goods manufacturing ","Millions of chained 2017 dollars",4464.1,5116.2,5561.2,6969.8,6524.7,7470.1,7680.9,8813.1,9291.4,10598.5,11799.3,11180.7,10113.2,11944.4,12430.8,13062.8,13555.4,13415.1,13547.9,13348.5,13803.7,14751.1,15494.5,15862.9,15763.6,16105.7,15574.1,15136.3
 "08000","Colorado",7,SAGDP9,14,"321","    Wood product manufacturing ","Millions of chained 2017 dollars",198.9,229.8,232.5,285.1,270.1,234.4,151.5,238.3,287.5,276.0,313.5,317.6,277.8,275.0,238.2,230.4,236.1,229.4,259.1,278.6,303.1,291.7,330.1,295.3,273.2,286.4,312.1,304.1
