GeoFIPS,GeoName,Region,TableName,LineCode,IndustryClassification,Description,Unit,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
 "96000","Southwest",6,SAGDP9,1,"...","All industry total ","Millions of chained 2017 dollars",1217038.5,1296677.8,1356476.3,1404915.7,1446381.5,1480277.7,1510596.5,1592175.9,1648724.3,1754561.8,1832803.4,1833232.9,1808209.6,1851648.8,1912613.8,1996352.0,2075730.9,2140042.2,2229860.4,2235958.6,2286160.7,2385042.1,2466718.9,2439063.5,2598810.4,2687415.9,2887055.7,2999061.9
 "96000","Southwest",6,SAGDP9,2,"..."," Private industries ","Millions of chained 2017 dollars",1016840.5,1092080.4,1146878.3,1189008.0,1225470.2,1252673.5,1278590.0,1357552.2,1408556.2,1509169.4,1581416.9,1575777.5,1548722.4,1587746.2,1649708.6,1731701.8,1810448.8,1874707.1,1962278.8,1962625.3,2007839.1,2105687.2,2185494.1,2155246.9,2312334.6,2398646.9,2595188.5,2700022.5
 "96000","Southwest",6,SAGDP9,3,"11","  Agriculture, forestry, fishing and hunting ","Millions of chained 2017 dollars",10692.5,10697.8,12881.9,13701.9,12877.7,14992.8,15365.2,16289.7,16861.2,15196.0,13330.2,10825.4,11016.0,14857.5,12358.5,11614.7,12593.9,13312.9,17361.4,16521.8,16534.7,16526.4,15722.6,14446.9,15463.8,16862.7,19971.3,19928.7
 "96000","Southwest",6,SAGDP9,4,"111-112","   Farms ","Millions of chained 2017 dollars",8803.9,8672.1,10687.5,11470.5,10629.5,12626.6,12933.5,13810.7,14327.0,12281.1,10655.9,8350.5,8407.8,12338.8,9981.7,9223.8,10257.8,10856.1,14620.6,13725.0,13711.8,13591.3,12701.8,11167.0,12311.7,13699.9,16390.1,16238.4
 "96000","Southwest",6,SAGDP9,5,"113-115","   Forestry, fishing, and related activities ","Millions of chained 2017 dollars",1852.5,2017.3,2161.3,2197.5,2224.4,2304.2,2369.2,2382.7,2426.8,2863.3,2646.5,2549.4,2697.2,2602.7,2513.9,2592.5,2420.7,2540.5,2740.5,2797.8,2822.9,2931.7,3001.3,3210.4,3071.4,2984.0,3308.7,3443.8
 "96000","Southwest",6,SAGDP9,6,"21","  Mining, quarrying, and oil and gas extraction ","Millions of chained 2017 dollars",82249.1,82736.8,79485.6,63988.3,80211.0,88868.3,75943.2,74898.7,75830.4,86987.9,96199.3,94117.5,110146.9,94256.0,99968.0,119715.8,130971.3,149173.2,169399.5,155508.0,156714.4,166854.0,195461.5,187751.3,164881.2,149787.9,225648.8,238574.4
 "96000","Southwest",6,SAGDP9,7,"211","   Oil and gas extraction ","Millions of chained 2017 dollars",62378.3,63661.2,58596.7,41879.6,51877.0,62457.6,50569.2,48323.6,47006.1,51804.5,57114.4,54410.5,71792.2,56941.0,57731.5,72811.8,79724.5,89917.7,122906.3,126728.7,114181.0,111004.9,142910.7,154040.2,120296.6,103142.6,169413.7,183000.7
 "96000","Southwest",6,SAGDP9,8,"212","   Mining (except oil and gas) ","Millions of chained 2017 dollars",7672.9,8009.6,8896.4,8488.6,7821.2,6958.2,7331.7,8078.9,9019.9,10229.5,10438.9,10208.3,8917.8,9391.6,9834.0,9444.8,9868.7,10170.0,9335.3,8266.3,9222.8,8810.4,8867.4,10186.6,10731.8,9248.6,9739.2,8998.3
 "96000","Southwest",6,SAGDP9,9,"213","   Support activities for mining ","Millions of chained 2017 dollars",8266.5,7745.0,8120.1,10394.8,15382.8,11922.2,13228.2,15552.6,19804.0,28446.7,32679.5,36397.9,26448.9,29688.2,38279.2,40126.0,44269.6,53402.7,36143.9,22410.5,33310.6,48729.7,44308.8,28755.4,36867.5,48764.0,53839.3,54175.7
 "96000","Southwest",6,SAGDP9,10,"22","  Utilities ","Millions of chained 2017 dollars",31551.9,30511.1,36614.8,39651.9,35018.6,33099.3,33167.2,34071.5,32896.1,35512.4,36207.6,36434.1,32673.8,37079.0,40106.7,40005.6,39562.0,37471.0,37787.5,40252.0,40856.0,41216.5,42265.6,41541.5,40926.4,43215.6,46006.9,47679.2
 "96000","Southwest",6,SAGDP9,11,"23","  Construction ","Millions of chained 2017 dollars",90354.1,97511.8,102659.1,109260.1,110321.9,107094.3,107782.6,104202.1,109338.6,115362.5,119905.1,114241.8,98571.2,93514.0,93784.5,99908.7,104194.8,107436.4,111005.0,113426.0,114912.3,116096.1,120226.1,119501.6,120492.9,116381.4,118934.5,127038.7
 "96000","Southwest",6,SAGDP9,12,"31-33","  Manufacturing ","Millions of chained 2017 dollars",124862.8,133872.0,139321.4,149527.0,152439.7,155769.7,171175.2,210265.9,204526.1,231576.7,249565.3,234882.2,219514.4,240632.9,251761.3,244174.3,261673.0,240014.4,244397.0,237622.1,244689.5,272383.9,262050.1,246496.5,284570.0,295011.0,308354.3,336515.5
 "96000","Southwest",6,SAGDP9,13,"321,327-339","   Durable goods manufacturing ","Millions of chained 2017 dollars",45189.0,52154.1,56102.9,64470.1,63548.7,66836.6,75331.0,88052.3,92795.6,109242.9,114793.5,123129.4,107858.4,118460.5,132281.5,131600.2,134159.4,136234.1,128479.3,127594.5,131538.6,144338.1,143203.7,136120.9,147003.2,151820.7,155713.8,157971.8
 "96000","Southwest",6,SAGDP9,14,"321","    Wood product manufacturing ","Millions of chained 2017 dollars",2154.7,2427.0,2392.6,2312.6,2254.9,2260.0,2266.0,2086.9,2335.1,2379.4,2491.4,2446.2,2297.2,2052.9,2296.7,2496.6,2413.3,2161.0,2177.5,2678.8,2541.3,2454.1,2406.6,2559.5,2384.8,2836.7,3132.7,3340.9
 "96000","Southwest",6,SAGDP9,15,"327","    Nonmetallic mineral product manufacturing ","Millions of chained 2017 dollars",6284.5,6710.8,7606.6,7559.7,7206.3,7555.1,7220.5,8042.0,8965.0,8615.6,8802.7,8370.0,6249.0,6110.9,6138.9,6687.5,7550.4,8270.0,8123.7,7859.7,8284.8,7672.8,7978.5,7882.7,8548.6,8130.4,7273.4,7043.3
 "96000","Southwest",6,SAGDP9,16,"331","    Primary metal manufacturing ","Millions of chained 2017 dollars",2204.1,2420.4,2437.6,2789.7,3177.5,2784.1,2841.8,3671.6,2787.1,3054.6,3175.1,3403.6,3734.7,3288.3,4016.7,4455.8,4764.1,4646.9,4974.7,4535.3,3987.9,3966.4,4548.2,6074.2,5806.7,6766.1,7940.5,8471.7
 "96000","Southwest",6,SAGDP9,17,"332","    Fabricated metal product manufacturing ","Millions of chained 2017 dollars",14646.8,15320.0,13994.0,15126.2,14712.8,14241.4,13720.0,14332.1,15896.5,17875.2,19902.5,19689.5,14586.9,15398.1,17986.8,19928.7,19304.4,20188.0,17367.9,15196.4,16573.1,18846.9,18490.1,16282.0,17159.9,16830.0,16686.2,16738.8
 "96000","Southwest",6,SAGDP9,18,"333","    Machinery manufacturing ","Millions of chained 2017 dollars",11444.5,11521.6,10884.5,12803.7,11838.6,10344.3,10754.5,15484.2,17716.9,20682.5,24386.5,24649.8,18395.9,21805.6,26641.5,27162.7,27480.9,27151.4,18866.3,15990.8,19099.9,22351.8,21026.7,16821.2,18120.7,18056.8,18639.0,18589.2
 "96000","Southwest",6,SAGDP9,19,"334","    Computer and electronic product manufacturing ","Millions of chained 2017 dollars",5040.8,6510.7,7375.2,9673.8,9406.4,12065.0,16087.4,20679.0,20457.3,26989.2,25032.0,30996.0,30671.4,35535.8,37456.5,32063.3,30762.6,31589.8,35387.0,36167.7,31185.3,33446.4,34300.8,37811.6,40853.5,40429.1,40508.8,41372.2
 "96000","Southwest",6,SAGDP9,20,"335","    Electrical equipment, appliance, and component manufacturing ","Millions of chained 2017 dollars",2527.0,2368.5,2511.5,2671.8,2470.9,2697.5,2786.3,2461.7,2735.3,3412.7,3180.6,3610.2,3135.5,3218.5,2850.7,2836.7,3127.5,3066.0,3344.0,2960.1,3349.4,3887.6,3834.2,3279.0,3590.4,3911.8,3992.1,4315.8
 "96000","Southwest",6,SAGDP9,21,"3361-3363","    Motor vehicles, bodies and trailers, and parts manufacturing ","Millions of chained 2017 dollars",4309.2,4740.1,5108.0,5860.8,5422.0,5889.9,6337.0,5474.0,5863.1,7961.5,7739.6,6392.9,2797.1,6390.0,9803.1,10304.6,11981.0,12805.0,14371.3,14831.7,16906.5,18355.5,17098.5,13805.5,16384.8,22685.7,22826.6,23584.6
 "96000","Southwest",6,SAGDP9,22,"3364-3466,3369","    Other transportation equipment manufacturing ","Millions of chained 2017 dollars",10874.0,11535.1,14794.6,12085.0,14882.0,10662.5,10410.5,10196.8,13027.5,11518.3,16442.2,17790.7,18498.6,15994.6,17100.0,19220.7,20421.4,20129.8,17391.3,20647.5,22308.3,25344.1,25686.6,23755.5,25689.5,24620.1,27297.8,27020.0
 "96000","Southwest",6,SAGDP9,23,"337","    Furniture and related product manufacturing ","Millions of chained 2017 dollars",2239.6,2341.7,2551.9,2575.4,2419.0,2302.2,2228.9,2401.8,2613.2,2996.7,2622.1,2174.4,1823.7,2119.3,2049.2,1675.2,1845.5,1808.2,1943.3,1902.2,1954.5,2224.9,2173.0,2463.7,2467.7,2332.2,2050.6,2064.9
 "96000","Southwest",6,SAGDP9,24,"339","    Miscellaneous manufacturing ","Millions of chained 2017 dollars",3720.5,3501.3,3189.3,3662.8,3284.9,3723.5,3726.6,4127.9,4105.7,4368.7,5141.9,5025.8,4900.5,4912.0,4770.5,4814.2,4994.8,4966.6,4542.3,4905.6,5347.7,5832.8,5668.4,5902.0,6865.5,7147.7,7571.7,7934.1
 "96000","Southwest",6,SAGDP9,25,"311-316,322-326","   Nondurable goods manufacturing ","Millions of chained 2017 dollars",99237.8,94162.6,92770.3,88728.9,95336.5,93409.8,98881.1,129617.8,114570.9,123667.0,137201.3,110080.7,111902.1,122401.3,119482.5,112926.9,127214.2,104188.5,115993.5,110040.5,113150.9,127958.5,118989.2,110492.3,137636.1,143140.5,152048.9,177013.2
 "96000","Southwest",6,SAGDP9,26,"311-312","    Food and beverage and tobacco product manufacturing ","Millions of chained 2017 dollars",16027.6,15879.8,15838.1,15617.6,15537.2,15834.4,16936.2,18048.6,17653.9,19815.5,19460.7,18598.0,18295.6,16504.9,16202.9,15368.2,16644.9,16899.5,19141.7,18283.3,19377.8,20346.0,20664.8,21212.6,23302.5,23301.6,23583.9,24429.4
 "96000","Southwest",6,SAGDP9,27,"313-314","    Textile mills and textile product mills ","Millions of chained 2017 dollars",594.9,550.1,568.4,664.7,593.5,660.4,541.4,657.1,688.0,657.9,628.8,628.5,543.1,508.5,485.6,553.3,592.2,777.3,727.4,673.0,590.9,542.4,577.5,530.9,620.4,586.2,556.1,574.6
 "96000","Southwest",6,SAGDP9,28,"315-316","    Apparel, leather, and allied product manufacturing ","Millions of chained 2017 dollars",2049.2,1888.8,1900.8,1855.8,1717.7,1566.8,1101.0,850.4,832.1,677.6,763.6,791.3,478.9,528.3,552.4,563.5,599.1,519.0,537.3,536.8,523.5,559.5,645.5,624.5,819.9,847.9,814.2,835.3
 "96000","Southwest",6,SAGDP9,29,"322","    Paper manufacturing ","Millions of chained 2017 dollars",4704.7,5202.5,5234.2,4891.6,4154.9,4078.3,3869.8,4293.9,4023.1,3896.8,3755.2,3245.5,3751.7,3488.3,3363.6,3160.3,3335.7,3329.4,3351.3,3358.7,3621.3,4020.3,3986.2,4943.1,4480.9,4404.2,4368.0,4408.3
 "96000","Southwest",6,SAGDP9,30,"323","    Printing and related support activities ","Millions of chained 2017 dollars",2529.9,2557.3,2739.0,2810.8,2922.9,2794.2,2802.3,2835.4,2939.0,3020.4,2979.1,2878.9,2598.1,2707.7,2670.5,2862.8,2791.7,2728.9,2714.6,2623.0,2819.4,2887.0,2725.6,2572.9,2851.3,2747.8,2516.2,2431.3
 "96000","Southwest",6,SAGDP9,31,"324","    Petroleum and coal products manufacturing ","Millions of chained 2017 dollars",26221.4,24208.8,27134.9,22169.0,36644.0,28952.2,32115.9,50048.2,33349.4,32561.4,44794.2,31687.0,36157.2,35998.3,37758.0,32427.6,40522.9,23387.9,32843.8,26945.6,31452.5,32243.2,35654.1,26438.3,33068.6,36403.2,42274.7,54540.0
 "96000","Southwest",6,SAGDP9,32,"325","    Chemical manufacturing ","Millions of chained 2017 dollars",36314.8,32399.6,27637.7,27522.1,22832.1,28061.4,30677.2,42419.4,46246.2,55851.9,53484.3,43448.8,41195.6,54479.0,49317.8,51022.2,53028.3,51758.0,49446.7,50746.0,48250.3,61320.2,46879.4,46368.6,63888.4,65481.6,65941.4,75611.7
 "96000","Southwest",6,SAGDP9,33,"326","    Plastics and rubber products manufacturing ","Millions of chained 2017 dollars",5149.5,5493.7,6091.1,6404.7,6442.8,5928.5,5977.9,6744.6,6496.6,6409.5,6595.5,6132.7,5902.5,6044.0,5738.6,6234.7,6301.7,6323.3,6852.2,6541.6,6515.0,6483.2,7291.6,6363.0,6752.5,6422.9,6387.8,6227.8
 "96000","Southwest",6,SAGDP9,34,"42","  Wholesale trade ","Millions of chained 2017 dollars",75388.0,85864.8,91463.8,96383.5,97828.3,97597.0,101567.9,111455.7,118557.2,124947.6,133756.1,137407.1,122506.1,132517.8,140011.9,153499.3,157642.5,162897.5,167522.6,165527.1,163935.7,168051.3,170329.3,174503.2,170761.4,177023.3,181331.3,177603.3
 "96000","Southwest",6,SAGDP9,35,"44-45","  Retail trade ","Millions of chained 2017 dollars",73177.4,81670.3,84934.0,87876.1,92249.6,96884.8,100781.0,101381.1,106772.2,110923.8,108977.5,106394.1,103690.7,108133.9,110254.0,113984.1,119170.0,125216.0,132026.5,137985.2,142622.1,147751.5,150540.3,151432.0,154309.4,153362.3,171196.2,189373.5
 "96000","Southwest",6,SAGDP9,36,"48-49","  Transportation and warehousing ","Millions of chained 2017 dollars",52623.7,58572.9,60137.4,59453.2,60623.3,53363.2,55260.3,60682.2,63755.3,67995.2,68336.0,70259.3,64695.7,69324.8,71543.4,76567.2,75498.4,80090.8,84012.5,85285.5,90225.3,92615.3,89968.4,84376.7,96425.0,97838.9,101636.3,105446.1
 "96000","Southwest",6,SAGDP9,37,"481","   Air transportation ","Millions of chained 2017 dollars",16834.1,17112.7,16956.1,13679.5,10208.7,10046.2,10576.3,12406.4,13260.1,14337.6,15449.7,14871.5,14421.6,15877.4,16096.5,16006.5,15853.3,16218.6,17613.8,17858.7,19218.7,19807.0,19836.7,12389.0,19994.7,22192.1,23088.4,24666.9
 "96000","Southwest",6,SAGDP9,38,"482","   Rail transportation ","Millions of chained 2017 dollars",4199.0,4614.3,4831.8,5279.9,5092.2,4677.8,5229.8,5619.5,5873.8,6292.6,6061.7,6225.8,5315.5,5361.3,5659.8,6024.4,6067.8,6294.4,6480.6,6097.3,6307.1,6472.9,5982.9,5448.9,5967.3,6023.1,5956.9,5882.3
 "96000","Southwest",6,SAGDP9,39,"483","   Water transportation ","Millions of chained 2017 dollars",869.2,795.4,614.1,652.9,598.3,418.1,416.9,561.0,612.5,889.5,865.9,1036.2,1333.2,1090.9,1143.5,1259.9,1890.1,1849.9,1257.5,1057.0,883.8,1027.4,797.4,779.8,1298.5,562.3,660.2,744.1
 "96000","Southwest",6,SAGDP9,40,"484","   Truck transportation ","Millions of chained 2017 dollars",12668.0,13762.5,14352.9,15006.2,14413.4,13915.5,14017.1,14644.7,15668.5,17283.4,18002.5,16741.9,15261.7,16494.9,18122.7,19639.9,20830.2,23082.2,23123.4,22243.2,24064.9,24548.2,23961.9,22440.3,24985.1,23565.0,24165.5,25629.7
 "96000","Southwest",6,SAGDP9,41,"485","   Transit and ground passenger transportation ","Millions of chained 2017 dollars",1749.4,1960.3,2303.0,2263.3,2235.5,2244.5,2137.1,2019.9,1976.8,2060.3,2226.6,2406.9,2333.1,2350.0,2477.9,2527.3,2455.8,2603.2,2626.8,2368.5,2371.9,2176.3,2054.4,1812.4,1980.9,2533.5,2756.6,3175.8
 "96000","Southwest",6,SAGDP9,42,"486","   Pipeline transportation ","Millions of chained 2017 dollars",4245.1,7036.1,8892.7,9274.2,17217.6,8899.1,8828.4,8451.2,7319.8,6873.0,7999.3,9211.4,7691.6,9933.8,9333.1,12450.9,9781.3,11538.3,13453.0,14753.0,15610.4,15438.3,14131.9,14307.6,14858.8,15008.6,16170.7,17481.7
 "96000","Southwest",6,SAGDP9,43,"487-488,492","   Other transportation and support activities ","Millions of chained 2017 dollars",11959.8,12802.6,11822.5,13018.6,13033.5,13327.5,13620.2,15251.4,16502.7,16867.7,14940.9,15613.4,14136.7,14263.7,14190.4,13749.5,13493.9,13338.4,14006.9,14800.9,15140.8,15928.2,15851.6,17877.4,17464.7,18547.1,20876.2,19760.9
