state,date,year,month,unemployment_rate
Alabama,2006-01-01,2006,1,4.6
Alabama,2006-02-01,2006,2,4.5
Alabama,2006-03-01,2006,3,4.1
Alabama,2006-04-01,2006,4,3.7
Alabama,2006-05-01,2006,5,3.6
Alabama,2006-06-01,2006,6,4.4
Alabama,2006-07-01,2006,7,4.4
Alabama,2006-08-01,2006,8,4.2
Alabama,2006-09-01,2006,9,3.8
Alabama,2006-10-01,2006,10,3.6
Alabama,2006-11-01,2006,11,3.7
Alabama,2006-12-01,2006,12,3.6
Alabama,2007-01-01,2007,1,4.3
Alabama,2007-02-01,2007,2,4.2
Alabama,2007-03-01,2007,3,3.8
Alabama,2007-04-01,2007,4,3.4
Alabama,2007-05-01,2007,5,3.5
Alabama,2007-06-01,2007,6,4.4
Alabama,2007-07-01,2007,7,4.4
Alabama,2007-08-01,2007,8,4.3
Alabama,2007-09-01,2007,9,4.1
Alabama,2007-10-01,2007,10,3.9
Alabama,2007-11-01,2007,11,4.1
Alabama,2007-12-01,2007,12,4.4
Alabama,2008-01-01,2008,1,5.1
Alabama,2008-02-01,2008,2,5.0
Alabama,2008-03-01,2008,3,4.9
Alabama,2008-04-01,2008,4,4.4
Alabama,2008-05-01,2008,5,5.1
Alabama,2008-06-01,2008,6,6.1
Alabama,2008-07-01,2008,7,6.3
Alabama,2008-08-01,2008,8,6.5
Alabama,2008-09-01,2008,9,6.4
Alabama,2008-10-01,2008,10,6.7
Alabama,2008-11-01,2008,11,6.9
Alabama,2008-12-01,2008,12,7.4
Alabama,2009-01-01,2009,1,8.5
Alabama,2009-02-01,2009,2,9.0
Alabama,2009-03-01,2009,3,8.8
Alabama,2009-04-01,2009,4,8.4
Alabama,2009-05-01,2009,5,8.9
Alabama,2009-06-01,2009,6,10.0
Alabama,2009-07-01,2009,7,10.3
Alabama,2009-08-01,2009,8,10.5
Alabama,2009-09-01,2009,9,10.6
Alabama,2009-10-01,2009,10,10.7
Alabama,2009-11-01,2009,11,10.5
Alabama,2009-12-01,2009,12,10.7
Alabama,2010-01-01,2010,1,11.6
Alabama,2010-02-01,2010,2,11.3
Alabama,2010-03-01,2010,3,10.9
Alabama,2010-04-01,2010,4,10.1
Alabama,2010-05-01,2010,5,9.9
Alabama,2010-06-01,2010,6,10.4
Alabama,2010-07-01,2010,7,10.3
Alabama,2010-08-01,2010,8,10.3
Alabama,2010-09-01,2010,9,10.0
Alabama,2010-10-01,2010,10,9.9
Alabama,2010-11-01,2010,11,10.1
Alabama,2010-12-01,2010,12,9.9
Alabama,2011-01-01,2011,1,10.5
Alabama,2011-02-01,2011,2,10.3
Alabama,2011-03-01,2011,3,9.8
Alabama,2011-04-01,2011,4,9.3
Alabama,2011-05-01,2011,5,9.3
Alabama,2011-06-01,2011,6,10.3
Alabama,2011-07-01,2011,7,10.0
