"Label (Grouping)","United States!!Estimate","United States!!Estimate Margin of Error","United States!!Percent","United States!!Percent Margin of Error","Alabama!!Estimate","Alabama!!Estimate Margin of Error","Alabama!!Percent","Alabama!!Percent Margin of Error","Alaska!!Estimate","Alaska!!Estimate Margin of Error","Alaska!!Percent","Alaska!!Percent Margin of Error","Arizona!!Estimate","Arizona!!Estimate Margin of Error","Arizona!!Percent","Arizona!!Percent Margin of Error","Arkansas!!Estimate","Arkansas!!Estimate Margin of Error","Arkansas!!Percent","Arkansas!!Percent Margin of Error","California!!Estimate","California!!Estimate Margin of Error","California!!Percent","California!!Percent Margin of Error","Colorado!!Estimate","Colorado!!Estimate Margin of Error","Colorado!!Percent","Colorado!!Percent Margin of Error","Connecticut!!Estimate","Connecticut!!Estimate Margin of Error","Connecticut!!Percent","Connecticut!!Percent Margin of Error","Delaware!!Estimate","Delaware!!Estimate Margin of Error","Delaware!!Percent","Delaware!!Percent Margin of Error","District of Columbia!!Estimate","District of Columbia!!Estimate Margin of Error","District of Columbia!!Percent","District of Columbia!!Percent Margin of Error","Florida!!Estimate","Florida!!Estimate Margin of Error","Florida!!Percent","Florida!!Percent Margin of Error","Georgia!!Estimate","Georgia!!Estimate Margin of Error","Georgia!!Percent","Georgia!!Percent Margin of Error","Hawaii!!Estimate","Hawaii!!Estimate Margin of Error","Hawaii!!Percent","Hawaii!!Percent Margin of Error","Idaho!!Estimate","Idaho!!Estimate Margin of Error","Idaho!!Percent","Idaho!!Percent Margin of Error","Illinois!!Estimate","Illinois!!Estimate Margin of Error","Illinois!!Percent","Illinois!!Percent Margin of Error","Indiana!!Estimate","Indiana!!Estimate Margin of Error","Indiana!!Percent","Indiana!!Percent Margin of Error","Iowa!!Estimate","Iowa!!Estimate Margin of Error","Iowa!!Percent","Iowa!!Percent Margin of Error","Kansas!!Estimate","Kansas!!Estimate Margin of Error","Kansas!!Percent","Kansas!!Percent Margin of Error","Kentucky!!Estimate","Kentucky!!Estimate Margin of Error","Kentucky!!Percent","Kentucky!!Percent Margin of Error","Louisiana!!Estimate","Louisiana!!Estimate Margin of Error","Louisiana!!Percent","Louisiana!!Percent Margin of Error","Maine!!Estimate","Maine!!Estimate Margin of Error","Maine!!Percent","Maine!!Percent Margin of Error","Maryland!!Estimate","Maryland!!Estimate Margin of Error","Maryland!!Percent","Maryland!!Percent Margin of Error","Massachusetts!!Estimate","Massachusetts!!Estimate Margin of Error","Massachusetts!!Percent","Massachusetts!!Percent Margin of Error","Michigan!!Estimate","Michigan!!Estimate Margin of Error","Michigan!!Percent","Michigan!!Percent Margin of Error","Minnesota!!Estimate","Minnesota!!Estimate Margin of Error","Minnesota!!Percent","Minnesota!!Percent Margin of Error","Mississippi!!Estimate","Mississippi!!Estimate Margin of Error","Mississippi!!Percent","Mississippi!!Percent Margin of Error","Missouri!!Estimate","Missouri!!Estimate Margin of Error","Missouri!!Percent","Missouri!!Percent Margin of Error","Montana!!Estimate","Montana!!Estimate Margin of Error","Montana!!Percent","Montana!!Percent Margin of Error","Nebraska!!Estimate","Nebraska!!Estimate Margin of Error","Nebraska!!Percent","Nebraska!!Percent Margin of Error","Nevada!!Estimate","Nevada!!Estimate Margin of Error","Nevada!!Percent","Nevada!!Percent Margin of Error","New Hampshire!!Estimate","New Hampshire!!Estimate Margin of Error","New Hampshire!!Percent","New Hampshire!!Percent Margin of Error","New Jersey!!Estimate","New Jersey!!Estimate Margin of Error","New Jersey!!Percent","New Jersey!!Percent Margin of Error","New Mexico!!Estimate","New Mexico!!Estimate Margin of Error","New Mexico!!Percent","New Mexico!!Percent Margin of Error","New York!!Estimate","New York!!Estimate Margin of Error","New York!!Percent","New York!!Percent Margin of Error","North Carolina!!Estimate","North Carolina!!Estimate Margin of Error","North Carolina!!Percent","North Carolina!!Percent Margin of Error","North Dakota!!Estimate","North Dakota!!Estimate Margin of Error","North Dakota!!Percent","North Dakota!!Percent Margin of Error","Ohio!!Estimate","Ohio!!Estimate Margin of Error","Ohio!!Percent","Ohio!!Percent Margin of Error","Oklahoma!!Estimate","Oklahoma!!Estimate Margin of Error","Oklahoma!!Percent","Oklahoma!!Percent Margin of Error","Oregon!!Estimate","Oregon!!Estimate Margin of Error","Oregon!!Percent","Oregon!!Percent Margin of Error","Pennsylvania!!Estimate","Pennsylvania!!Estimate Margin of Error","Pennsylvania!!Percent","Pennsylvania!!Percent Margin of Error","Rhode Island!!Estimate","Rhode Island!!Estimate Margin of Error","Rhode Island!!Percent","Rhode Island!!Percent Margin of Error","South Carolina!!Estimate","South Carolina!!Estimate Margin of Error","South Carolina!!Percent","South Carolina!!Percent Margin of Error","South Dakota!!Estimate","South Dakota!!Estimate Margin of Error","South Dakota!!Percent","South Dakota!!Percent Margin of Error","Tennessee!!Estimate","Tennessee!!Estimate Margin of Error","Tennessee!!Percent","Tennessee!!Percent Margin of Error","Texas!!Estimate","Texas!!Estimate Margin of Error","Texas!!Percent","Texas!!Percent Margin of Error","Utah!!Estimate","Utah!!Estimate Margin of Error","Utah!!Percent","Utah!!Percent Margin of Error","Vermont!!Estimate","Vermont!!Estimate Margin of Error","Vermont!!Percent","Vermont!!Percent Margin of Error","Virginia!!Estimate","Virginia!!Estimate Margin of Error","Virginia!!Percent","Virginia!!Percent Margin of Error","Washington!!Estimate","Washington!!Estimate Margin of Error","Washington!!Percent","Washington!!Percent Margin of Error","West Virginia!!Estimate","West Virginia!!Estimate Margin of Error","West Virginia!!Percent","West Virginia!!Percent Margin of Error","Wisconsin!!Estimate","Wisconsin!!Estimate Margin of Error","Wisconsin!!Percent","Wisconsin!!Percent Margin of Error","Wyoming!!Estimate","Wyoming!!Estimate Margin of Error","Wyoming!!Percent","Wyoming!!Percent Margin of Error","Puerto Rico!!Estimate","Puerto Rico!!Estimate Margin of Error","Puerto Rico!!Percent","Puerto Rico!!Percent Margin of Error"
"SEX AND AGE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"    Total population","303,965,272","*****","303,965,272","(X)","4,712,651","*****","4,712,651","(X)","691,189","*****","691,189","(X)","6,246,816","*****","6,246,816","(X)","2,872,684","*****","2,872,684","(X)","36,637,290","*****","36,637,290","(X)","4,887,061","*****","4,887,061","(X)","3,545,837","*****","3,545,837","(X)","881,278","*****","881,278","(X)","584,400","*****","584,400","(X)","18,511,620","*****","18,511,620","(X)","9,468,815","*****","9,468,815","(X)","1,333,591","*****","1,333,591","(X)","1,526,797","*****","1,526,797","(X)","12,745,359","*****","12,745,359","(X)","6,417,398","*****","6,417,398","(X)","3,016,267","*****","3,016,267","(X)","2,809,329","*****","2,809,329","(X)","4,285,828","*****","4,285,828","(X)","4,429,940","*****","4,429,940","(X)","1,327,665","*****","1,327,665","(X)","5,696,423","*****","5,696,423","(X)","6,477,096","*****","6,477,096","(X)","9,952,687","*****","9,952,687","(X)","5,241,914","*****","5,241,914","(X)","2,941,991","*****","2,941,991","(X)","5,922,314","*****","5,922,314","(X)","973,739","*****","973,739","(X)","1,799,125","*****","1,799,125","(X)","2,633,331","*****","2,633,331","(X)","1,313,939","*****","1,313,939","(X)","8,721,577","*****","8,721,577","(X)","2,013,122","*****","2,013,122","(X)","19,229,752","*****","19,229,752","(X)","9,271,178","*****","9,271,178","(X)","659,858","*****","659,858","(X)","11,512,431","*****","11,512,431","(X)","3,675,339","*****","3,675,339","(X)","3,761,925","*****","3,761,925","(X)","12,612,705","*****","12,612,705","(X)","1,056,389","*****","1,056,389","(X)","4,511,428","*****","4,511,428","(X)","799,462","*****","799,462","(X)","6,234,968","*****","6,234,968","(X)","24,311,891","*****","24,311,891","(X)","2,657,236","*****","2,657,236","(X)","624,258","*****","624,258","(X)","7,841,754","*****","7,841,754","(X)","6,561,297","*****","6,561,297","(X)","1,840,802","*****","1,840,802","(X)","5,637,947","*****","5,637,947","(X)","545,579","*****","545,579","(X)","3,762,322","*****","3,762,322","(X)"
"    Male","149,398,724","±6,544","49.1%","±0.1","2,285,905","±956","48.5%","±0.1","358,919","±630","51.9%","±0.1","3,108,234","±471","49.8%","±0.1","1,408,945","±1,229","49.0%","±0.1","18,223,157","±1,043","49.7%","±0.1","2,448,492","±975","50.1%","±0.1","1,724,834","±357","48.6%","±0.1","427,218","±133","48.5%","±0.1","276,101","±147","47.2%","±0.1","9,050,155","±1,400","48.9%","±0.1","4,626,914","±2,590","48.9%","±0.1","668,202","±217","50.1%","±0.1","764,429","±734","50.1%","±0.1","6,250,352","±1,021","49.0%","±0.1","3,155,214","±1,233","49.2%","±0.1","1,488,998","±891","49.4%","±0.1","1,391,010","±793","49.5%","±0.1","2,105,483","±1,382","49.1%","±0.1","2,165,456","±1,094","48.9%","±0.1","649,666","±451","48.9%","±0.1","2,754,058","±754","48.3%","±0.1","3,132,249","±563","48.4%","±0.1","4,884,438","±892","49.1%","±0.1","2,601,448","±800","49.6%","±0.1","1,427,843","±1,089","48.5%","±0.1","2,895,638","±1,141","48.9%","±0.1","487,959","±672","50.1%","±0.1","890,558","±663","49.5%","±0.1","1,331,625","±518","50.6%","±0.1","648,504","±455","49.4%","±0.1","4,244,502","±485","48.7%","±0.1","992,833","±729","49.3%","±0.1","9,300,854","±1,169","48.4%","±0.1","4,519,289","±1,430","48.7%","±0.1","332,932","±529","50.5%","±0.1","5,616,436","±1,148","48.8%","±0.1","1,816,749","±1,049","49.4%","±0.1","1,862,256","±687","49.5%","±0.1","6,138,935","±948","48.7%","±0.1","509,859","±409","48.3%","±0.1","2,195,677","±910","48.7%","±0.1","400,246","±557","50.1%","±0.1","3,039,629","±1,188","48.8%","±0.1","12,058,770","±2,259","49.6%","±0.1","1,334,860","±502","50.2%","±0.1","307,670","±297","49.3%","±0.1","3,849,352","±1,636","49.1%","±0.1","3,267,488","±716","49.8%","±0.1","904,625","±747","49.1%","±0.1","2,795,908","±751","49.6%","±0.1","277,850","±430","50.9%","±0.1","1,803,918","*****","47.9%","*****"
"    Female","154,566,548","±6,548","50.9%","±0.1","2,426,746","±956","51.5%","±0.1","332,270","±630","48.1%","±0.1","3,138,582","±471","50.2%","±0.1","1,463,739","±1,229","51.0%","±0.1","18,414,133","±1,043","50.3%","±0.1","2,438,569","±975","49.9%","±0.1","1,821,003","±357","51.4%","±0.1","454,060","±133","51.5%","±0.1","308,299","±147","52.8%","±0.1","9,461,465","±1,400","51.1%","±0.1","4,841,901","±2,590","51.1%","±0.1","665,389","±217","49.9%","±0.1","762,368","±734","49.9%","±0.1","6,495,007","±1,021","51.0%","±0.1","3,262,184","±1,233","50.8%","±0.1","1,527,269","±891","50.6%","±0.1","1,418,319","±793","50.5%","±0.1","2,180,345","±1,382","50.9%","±0.1","2,264,484","±1,094","51.1%","±0.1","677,999","±451","51.1%","±0.1","2,942,365","±754","51.7%","±0.1","3,344,847","±563","51.6%","±0.1","5,068,249","±892","50.9%","±0.1","2,640,466","±800","50.4%","±0.1","1,514,148","±1,089","51.5%","±0.1","3,026,676","±1,141","51.1%","±0.1","485,780","±672","49.9%","±0.1","908,567","±664","50.5%","±0.1","1,301,706","±518","49.4%","±0.1","665,435","±455","50.6%","±0.1","4,477,075","±485","51.3%","±0.1","1,020,289","±729","50.7%","±0.1","9,928,898","±1,169","51.6%","±0.1","4,751,889","±1,429","51.3%","±0.1","326,926","±529","49.5%","±0.1","5,895,995","±1,148","51.2%","±0.1","1,858,590","±1,049","50.6%","±0.1","1,899,669","±687","50.5%","±0.1","6,473,770","±948","51.3%","±0.1","546,530","±409","51.7%","±0.1","2,315,751","±910","51.3%","±0.1","399,216","±557","49.9%","±0.1","3,195,339","±1,188","51.2%","±0.1","12,253,121","±2,259","50.4%","±0.1","1,322,376","±502","49.8%","±0.1","316,588","±297","50.7%","±0.1","3,992,402","±1,636","50.9%","±0.1","3,293,809","±716","50.2%","±0.1","936,177","±747","50.9%","±0.1","2,842,039","±752","50.4%","±0.1","267,729","±430","49.1%","±0.1","1,958,404","*****","52.1%","*****"
"    Under 5 years","20,131,420","±4,321","6.6%","±0.1","302,659","±501","6.4%","±0.1","51,360","±261","7.4%","±0.1","463,060","±442","7.4%","±0.1","195,486","±545","6.8%","±0.1","2,545,065","±499","6.9%","±0.1","339,998","±595","7.0%","±0.1","205,479","±205","5.8%","±0.1","56,010","±101","6.4%","±0.1","32,422","±113","5.5%","±0.1","1,080,506","±602","5.8%","±0.1","688,521","±1,064","7.3%","±0.1","86,581","±163","6.5%","±0.1","119,166","±326","7.8%","±0.1","845,118","±558","6.6%","±0.1","434,204","±615","6.8%","±0.1","197,946","±581","6.6%","±0.1","199,200","±476","7.1%","±0.1","278,301","±773","6.5%","±0.1","304,940","±489","6.9%","±0.1","69,865","±230","5.3%","±0.1","365,093","±326","6.4%","±0.1","368,326","±259","5.7%","±0.1","614,482","±417","6.2%","±0.1","352,610","±441","6.7%","±0.1","208,491","±513","7.1%","±0.1","386,777","±598","6.5%","±0.1","59,722","±374","6.1%","±0.1","129,410","±336","7.2%","±0.1","188,595","±371","7.2%","±0.1","72,297","±206","5.5%","±0.1","547,150","±245","6.3%","±0.1","143,300","±421","7.1%","±0.1","1,158,665","±590","6.0%","±0.1","621,871","±642","6.7%","±0.1","41,792","±200","6.3%","±0.1","724,665","±620","6.3%","±0.1","256,624","±639","7.0%","±0.1","234,201","±345","6.2%","±0.1","727,275","±504","5.8%","±0.1","58,920","±200","5.6%","±0.1","295,906","±412","6.6%","±0.1","56,494","±324","7.1%","±0.1","403,467","±784","6.5%","±0.1","1,903,554","±923","7.8%","±0.1","255,012","±288","9.6%","±0.1","32,255","±216","5.2%","±0.1","506,249","±803","6.5%","±0.1","426,450","±309","6.5%","±0.1","103,758","±492","5.6%","±0.1","354,854","±337","6.3%","±0.1","37,268","±320","6.8%","±0.1","235,938","*****","6.3%","*****"
"    5 to 9 years","20,116,654","±25,809","6.6%","±0.1","310,599","±2,284","6.6%","±0.1","49,481","±1,082","7.2%","±0.2","440,280","±2,774","7.0%","±0.1","196,248","±2,466","6.8%","±0.1","2,483,443","±7,687","6.8%","±0.1","338,842","±2,874","6.9%","±0.1","225,452","±2,330","6.4%","±0.1","56,289","±1,251","6.4%","±0.1","26,098","±763","4.5%","±0.1","1,070,056","±5,948","5.8%","±0.1","682,255","±4,649","7.2%","±0.1","79,132","±1,282","5.9%","±0.1","115,663","±1,649","7.6%","±0.1","864,101","±4,323","6.8%","±0.1","443,320","±2,986","6.9%","±0.1","198,100","±1,911","6.6%","±0.1","198,693","±1,857","7.1%","±0.1","279,743","±2,825","6.5%","±0.1","303,240","±2,947","6.8%","±0.1","74,198","±1,334","5.6%","±0.1","365,680","±2,913","6.4%","±0.1","389,481","±2,962","6.0%","±0.1","652,979","±3,676","6.6%","±0.1","346,028","±2,673","6.6%","±0.1","206,547","±2,327","7.0%","±0.1","385,737","±2,899","6.5%","±0.1","60,375","±1,035","6.2%","±0.1","124,332","±1,530","6.9%","±0.1","180,286","±2,461","6.8%","±0.1","79,072","±1,452","6.0%","±0.1","568,845","±3,692","6.5%","±0.1","138,933","±2,342","6.9%","±0.1","1,169,730","±5,629","6.1%","±0.1","618,644","±4,527","6.7%","±0.1","39,107","±896","5.9%","±0.1","756,841","±4,844","6.6%","±0.1","252,493","±2,243","6.9%","±0.1","236,176","±2,810","6.3%","±0.1","760,165","±4,328","6.0%","±0.1","61,968","±1,445","5.9%","±0.1","289,115","±2,809","6.4%","±0.1","52,311","±1,157","6.5%","±0.1","408,594","±3,283","6.6%","±0.1","1,846,029","±7,039","7.6%","±0.1","234,887","±2,102","8.8%","±0.1","34,841","±784","5.6%","±0.1","497,931","±3,504","6.3%","±0.1","420,676","±3,583","6.4%","±0.1","103,585","±1,640","5.6%","±0.1","363,688","±2,772","6.5%","±0.1","36,345","±854","6.7%","±0.2","250,766","±2,421","6.7%","±0.1"
"    10 to 14 years","20,643,730","±28,095","6.8%","±0.1","316,989","±2,353","6.7%","±0.1","51,008","±1,101","7.4%","±0.2","440,109","±2,823","7.0%","±0.1","193,662","±2,367","6.7%","±0.1","2,609,028","±7,636","7.1%","±0.1","321,321","±2,900","6.6%","±0.1","242,245","±2,319","6.8%","±0.1","55,899","±1,273","6.3%","±0.1","26,670","±766","4.6%","±0.1","1,131,854","±5,969","6.1%","±0.1","671,694","±4,797","7.1%","±0.1","82,500","±1,261","6.2%","±0.1","114,730","±1,587","7.5%","±0.1","883,895","±4,276","6.9%","±0.1","449,556","±3,061","7.0%","±0.1","200,290","±1,890","6.6%","±0.1","196,108","±2,027","7.0%","±0.1","285,142","±2,857","6.7%","±0.1","303,186","±3,046","6.8%","±0.1","82,679","±1,372","6.2%","±0.1","382,067","±2,956","6.7%","±0.1","408,047","±2,931","6.3%","±0.1","700,117","±3,673","7.0%","±0.1","357,759","±2,823","6.8%","±0.1","209,075","±2,347","7.1%","±0.1","401,187","±2,846","6.8%","±0.1","61,681","±978","6.3%","±0.1","122,433","±1,585","6.8%","±0.1","178,081","±2,365","6.8%","±0.1","87,413","±1,462","6.7%","±0.1","588,365","±3,730","6.7%","±0.1","139,790","±2,248","6.9%","±0.1","1,239,565","±5,673","6.4%","±0.1","616,451","±4,518","6.6%","±0.1","40,160","±826","6.1%","±0.1","783,842","±5,018","6.8%","±0.1","248,104","±2,282","6.8%","±0.1","240,004","±2,827","6.4%","±0.1","801,981","±4,253","6.4%","±0.1","65,819","±1,426","6.2%","±0.1","295,992","±2,760","6.6%","±0.1","55,942","±1,176","7.0%","±0.1","416,696","±3,109","6.7%","±0.1","1,811,920","±6,907","7.5%","±0.1","216,634","±2,072","8.2%","±0.1","39,033","±764","6.3%","±0.1","512,922","±3,575","6.5%","±0.1","435,749","±3,543","6.6%","±0.1","111,795","±1,676","6.1%","±0.1","381,651","±2,886","6.8%","±0.1","34,890","±768","6.4%","±0.1","286,272","±2,424","7.6%","±0.1"
"    15 to 19 years","22,132,691","±10,024","7.3%","±0.1","344,094","±1,138","7.3%","±0.1","54,336","±513","7.9%","±0.1","452,844","±641","7.2%","±0.1","205,597","±1,283","7.2%","±0.1","2,803,320","±1,609","7.7%","±0.1","340,816","±1,235","7.0%","±0.1","253,097","±488","7.1%","±0.1","64,141","±145","7.3%","±0.1","43,697","±853","7.5%","±0.1","1,232,511","±1,556","6.7%","±0.1","712,883","±2,770","7.5%","±0.1","86,133","±279","6.5%","±0.1","115,695","±751","7.6%","±0.1","931,708","±1,888","7.3%","±0.1","475,672","±971","7.4%","±0.1","219,572","±890","7.3%","±0.1","206,928","±1,276","7.4%","±0.1","298,415","±1,385","7.0%","±0.1","329,393","±1,297","7.4%","±0.1","91,736","±560","6.9%","±0.1","412,041","±1,192","7.2%","±0.1","469,182","±1,481","7.2%","±0.1","760,339","±1,849","7.6%","±0.1","374,975","±862","7.2%","±0.1","227,474","±1,433","7.7%","±0.1","429,731","±1,610","7.3%","±0.1","69,519","±876","7.1%","±0.1","130,360","±618","7.2%","±0.1","177,337","±634","6.7%","±0.1","96,564","±560","7.3%","±0.1","601,440","±840","6.9%","±0.1","151,222","±960","7.5%","±0.1","1,381,069","±1,589","7.2%","±0.1","652,659","±1,870","7.0%","±0.1","49,388","±466","7.5%","±0.1","837,193","±1,368","7.3%","±0.1","266,519","±1,049","7.3%","±0.1","256,410","±891","6.8%","±0.1","920,864","±1,325","7.3%","±0.1","80,967","±341","7.7%","±0.1","328,669","±1,149","7.3%","±0.1","58,766","±654","7.4%","±0.1","434,219","±1,001","7.0%","±0.1","1,849,088","±2,632","7.6%","±0.1","217,112","±734","8.2%","±0.1","47,481","±272","7.6%","±0.1","559,524","±2,216","7.1%","±0.1","462,561","±918","7.0%","±0.1","121,975","±780","6.6%","±0.1","406,695","±950","7.2%","±0.1","38,760","±568","7.1%","±0.1","290,582","±163","7.7%","±0.1"
"    20 to 24 years","21,214,118","±9,046","7.0%","±0.1","330,178","±1,182","7.0%","±0.1","55,025","±650","8.0%","±0.1","432,885","±733","6.9%","±0.1","196,084","±1,374","6.8%","±0.1","2,698,489","±1,547","7.4%","±0.1","344,945","±1,312","7.1%","±0.1","221,281","±456","6.2%","±0.1","61,036","±191","6.9%","±0.1","56,056","±844","9.6%","±0.1","1,208,222","±1,649","6.5%","±0.1","661,052","±2,470","7.0%","±0.1","95,435","±273","7.2%","±0.1","108,913","±773","7.1%","±0.1","874,555","±1,577","6.9%","±0.1","449,029","±957","7.0%","±0.1","215,347","±878","7.1%","±0.1","205,496","±1,077","7.3%","±0.1","288,226","±1,437","6.7%","±0.1","332,825","±1,312","7.5%","±0.1","79,886","±399","6.0%","±0.1","381,611","±1,257","6.7%","±0.1","459,682","±1,425","7.1%","±0.1","662,927","±2,024","6.7%","±0.1","359,543","±980","6.9%","±0.1","213,685","±1,416","7.3%","±0.1","412,017","±1,083","7.0%","±0.1","68,318","±660","7.0%","±0.1","131,706","±738","7.3%","±0.1","175,268","±566","6.7%","±0.1","83,194","±642","6.3%","±0.1","526,258","±803","6.0%","±0.1","143,250","±1,137","7.1%","±0.1","1,366,287","±1,719","7.1%","±0.1","639,942","±1,906","6.9%","±0.1","60,078","±501","9.1%","±0.1","753,896","±1,210","6.5%","±0.1","270,780","±1,212","7.4%","±0.1","251,983","±869","6.7%","±0.1","843,727","±1,536","6.7%","±0.1","80,117","±389","7.6%","±0.1","320,364","±1,145","7.1%","±0.1","57,664","±707","7.2%","±0.1","415,860","±1,078","6.7%","±0.1","1,784,929","±2,981","7.3%","±0.1","230,350","±605","8.7%","±0.1","44,239","±245","7.1%","±0.1","556,592","±2,502","7.1%","±0.1","455,545","±1,000","6.9%","±0.1","117,068","±721","6.4%","±0.1","391,816","±802","6.9%","±0.1","40,457","±590","7.4%","±0.1","269,035","±165","7.2%","±0.1"
"    25 to 34 years","40,191,013","±8,448","13.2%","±0.1","597,185","±1,435","12.7%","±0.1","94,389","±688","13.7%","±0.1","853,236","±868","13.7%","±0.1","369,430","±1,095","12.9%","±0.1","5,236,909","±1,342","14.3%","±0.1","700,084","±1,021","14.3%","±0.1","410,082","±494","11.6%","±0.1","109,970","±227","12.5%","±0.1","113,833","±159","19.5%","±0.1","2,249,923","±1,819","12.2%","±0.1","1,319,156","±2,340","13.9%","±0.1","179,967","±238","13.5%","±0.1","201,215","±725","13.2%","±0.1","1,756,687","±1,139","13.8%","±0.1","821,300","±1,370","12.8%","±0.1","369,537","±809","12.3%","±0.1","360,674","±1,151","12.8%","±0.1","558,362","±1,157","13.0%","±0.1","592,104","±1,618","13.4%","±0.1","143,990","±533","10.8%","±0.1","740,163","±875","13.0%","±0.1","827,270","±667","12.8%","±0.1","1,186,119","±990","11.9%","±0.1","692,659","±867","13.2%","±0.1","378,363","±1,321","12.9%","±0.1","754,490","±1,285","12.7%","±0.1","115,616","±739","11.9%","±0.1","234,836","±720","13.1%","±0.1","380,269","±573","14.4%","±0.1","143,929","±608","11.0%","±0.1","1,097,850","±565","12.6%","±0.1","255,985","±924","12.7%","±0.1","2,604,308","±1,261","13.5%","±0.1","1,218,670","±1,816","13.1%","±0.1","83,352","±572","12.6%","±0.1","1,414,705","±1,401","12.3%","±0.1","483,520","±1,309","13.2%","±0.1","509,020","±1,076","13.5%","±0.1","1,483,471","±1,076","11.8%","±0.1","127,575","±512","12.1%","±0.1","579,396","±1,200","12.8%","±0.1","99,380","±643","12.4%","±0.1","818,446","±1,330","13.1%","±0.1","3,490,467","±2,715","14.4%","±0.1","425,772","±649","16.0%","±0.1","68,112","±290","10.9%","±0.1","1,050,694","±1,806","13.4%","±0.1","896,865","±1,000","13.7%","±0.1","219,742","±932","11.9%","±0.1","700,209","±984","12.4%","±0.1","71,727","±730","13.1%","±0.1","503,068","*****","13.4%","*****"
