state,year,population
Alabama,2010,4712651.0
Alaska,2010,691189.0
Arizona,2010,6246816.0
Arkansas,2010,2872684.0
California,2010,36637290.0
Colorado,2010,4887061.0
Connecticut,2010,3545837.0
Delaware,2010,881278.0
Florida,2010,18511620.0
Georgia,2010,9468815.0
Hawaii,2010,1333591.0
Idaho,2010,1526797.0
Illinois,2010,12745359.0
Indiana,2010,6417398.0
Iowa,2010,3016267.0
Kansas,2010,2809329.0
Kentucky,2010,4285828.0
Louisiana,2010,4429940.0
Maine,2010,1327665.0
Maryland,2010,5696423.0
Massachusetts,2010,6477096.0
Michigan,2010,9952687.0
Minnesota,2010,5241914.0
Mississippi,2010,2941991.0
Missouri,2010,5922314.0
Montana,2010,973739.0
Nebraska,2010,1799125.0
Nevada,2010,2633331.0
New Hampshire,2010,1313939.0
New Jersey,2010,8721577.0
New Mexico,2010,2013122.0
New York,2010,19229752.0
North Carolina,2010,9271178.0
North Dakota,2010,659858.0
Ohio,2010,11512431.0
Oklahoma,2010,3675339.0
Oregon,2010,3761925.0
Pennsylvania,2010,12612705.0
Rhode Island,2010,1056389.0
South Carolina,2010,4511428.0
South Dakota,2010,799462.0
Tennessee,2010,6234968.0
Texas,2010,24311891.0
Utah,2010,2657236.0
Vermont,2010,624258.0
Virginia,2010,7841754.0
Washington,2010,6561297.0
West Virginia,2010,1840802.0
Wisconsin,2010,5637947.0
Wyoming,2010,545579.0
District of Columbia,2010,584400.0
Alabama,2011,4747424.0
Alaska,2011,700703.0
Arizona,2011,6337373.0
Arkansas,2011,2895928.0
California,2011,36969200.0
Colorado,2011,4966061.0
Connecticut,2011,3558172.0
Delaware,2011,890856.0
Florida,2011,18688787.0
Georgia,2011,9600612.0
Hawaii,2011,1346554.0
Idaho,2011,1549987.0
Illinois,2011,12790182.0
Indiana,2011,6454254.0
Iowa,2011,3032266.0
Kansas,2011,2830985.0
Kentucky,2011,4316040.0
Louisiana,2011,4484596.0
Maine,2011,1328543.0
Maryland,2011,5736545.0
Massachusetts,2011,6512227.0
Michigan,2011,9920621.0
Minnesota,2011,5278190.0
Mississippi,2011,2956700.0
Missouri,2011,5955802.0
Montana,2011,982854.0
Nebraska,2011,1813061.0
Nevada,2011,2673396.0
New Hampshire,2011,1315911.0
New Jersey,2011,8753064.0
New Mexico,2011,2037136.0
New York,2011,19302448.0
North Carolina,2011,9418736.0
North Dakota,2011,666783.0
Ohio,2011,11525536.0
Oklahoma,2011,3714520.0
Oregon,2011,3801991.0
Pennsylvania,2011,12660739.0
Rhode Island,2011,1053959.0
South Carolina,2011,4575864.0
South Dakota,2011,807697.0
Tennessee,2011,6297991.0
Texas,2011,24774187.0
Utah,2011,2715379.0
Vermont,2011,624958.0
Virginia,2011,7926192.0
Washington,2011,6652845.0
West Virginia,2011,1846372.0
Wisconsin,2011,5664893.0
Wyoming,2011,554697.0
District of Columbia,2011,593955.0
Alabama,2012,4777326.0
Alaska,2012,711139.0
Arizona,2012,6410979.0
Arkansas,2012,2916372.0
California,2012,37325068.0
Colorado,2012,5042853.0
Connecticut,2012,3572213.0
Delaware,2012,900131.0
Florida,2012,18885152.0
Georgia,2012,9714569.0
Hawaii,2012,1362730.0
Idaho,2012,1567803.0
Illinois,2012,12823860.0
Indiana,2012,6485530.0
Iowa,2012,3047646.0
Kansas,2012,2851183.0
Kentucky,2012,4340167.0
Louisiana,2012,4529605.0
Maine,2012,1329084.0
Maryland,2012,5785496.0
Massachusetts,2012,6560595.0
Michigan,2012,9897264.0
Minnesota,2012,5313081.0
Mississippi,2012,2967620.0
Missouri,2012,5982413.0
Montana,2012,990785.0
Nebraska,2012,1827306.0
Nevada,2012,2704204.0
New Hampshire,2012,1317474.0
New Jersey,2012,8793888.0
New Mexico,2012,2055287.0
New York,2012,19398125.0
North Carolina,2012,9544249.0
North Dakota,2012,676253.0
Ohio,2012,11533561.0
Oklahoma,2012,3749005.0
Oregon,2012,3836628.0
Pennsylvania,2012,12699589.0
Rhode Island,2012,1052471.0
South Carolina,2012,4630351.0
South Dakota,2012,815871.0
Tennessee,2012,6353226.0
Texas,2012,25208897.0
Utah,2012,2766233.0
Vermont,2012,625498.0
Virginia,2012,8014955.0
Washington,2012,6738714.0
West Virginia,2012,1850481.0
Wisconsin,2012,5687219.0
Wyoming,2012,562803.0
District of Columbia,2012,605759.0
Alabama,2013,4799277.0
Alaska,2013,720316.0
Arizona,2013,6479703.0
Arkansas,2013,2933369.0
California,2013,37659181.0
Colorado,2013,5119329.0
Connecticut,2013,3583561.0
Delaware,2013,908446.0
Florida,2013,19091156.0
Georgia,2013,9810417.0
Hawaii,2013,1376298.0
Idaho,2013,1583364.0
Illinois,2013,12848554.0
Indiana,2013,6514861.0
Iowa,2013,3062553.0
Kansas,2013,2868107.0
Kentucky,2013,4361333.0
Louisiana,2013,4567968.0
Maine,2013,1328320.0
Maryland,2013,5834299.0
Massachusetts,2013,6605058.0
Michigan,2013,9886095.0
Minnesota,2013,5347740.0
Mississippi,2013,2976872.0
Missouri,2013,6007182.0
Montana,2013,998554.0
Nebraska,2013,1841625.0
Nevada,2013,2730066.0
New Hampshire,2013,1319171.0
New Jersey,2013,8832406.0
New Mexico,2013,2069706.0
New York,2013,19487053.0
North Carolina,2013,9651380.0
North Dakota,2013,689781.0
Ohio,2013,11549590.0
Oklahoma,2013,3785742.0
Oregon,2013,3868721.0
Pennsylvania,2013,12731381.0
Rhode Island,2013,1051695.0
South Carolina,2013,4679602.0
South Dakota,2013,825198.0
Tennessee,2013,6402387.0
Texas,2013,25639373.0
Utah,2013,2813673.0
Vermont,2013,625904.0
Virginia,2013,8100653.0
Washington,2013,6819579.0
West Virginia,2013,1853619.0
Wisconsin,2013,5706871.0
Wyoming,2013,570134.0
District of Columbia,2013,619371.0
Alabama,2013,4799277.0
Alaska,2013,720316.0
Arizona,2013,6479703.0
Arkansas,2013,2933369.0
California,2013,37659181.0
Colorado,2013,5119329.0
Connecticut,2013,3583561.0
Delaware,2013,908446.0
Florida,2013,19091156.0
Georgia,2013,9810417.0
Hawaii,2013,1376298.0
Idaho,2013,1583364.0
Illinois,2013,12848554.0
Indiana,2013,6514861.0
Iowa,2013,3062553.0
Kansas,2013,2868107.0
Kentucky,2013,4361333.0
Louisiana,2013,4567968.0
Maine,2013,1328320.0
Maryland,2013,5834299.0
Massachusetts,2013,6605058.0
Michigan,2013,9886095.0
Minnesota,2013,5347740.0
Mississippi,2013,2976872.0
Missouri,2013,6007182.0
Montana,2013,998554.0
Nebraska,2013,1841625.0
Nevada,2013,2730066.0
New Hampshire,2013,1319171.0
New Jersey,2013,8832406.0
New Mexico,2013,2069706.0
New York,2013,19487053.0
North Carolina,2013,9651380.0
North Dakota,2013,689781.0
Ohio,2013,11549590.0
Oklahoma,2013,3785742.0
Oregon,2013,3868721.0
Pennsylvania,2013,12731381.0
Rhode Island,2013,1051695.0
South Carolina,2013,4679602.0
South Dakota,2013,825198.0
Tennessee,2013,6402387.0
Texas,2013,25639373.0
Utah,2013,2813673.0
Vermont,2013,625904.0
Virginia,2013,8100653.0
Washington,2013,6819579.0
West Virginia,2013,1853619.0
Wisconsin,2013,5706871.0
Wyoming,2013,570134.0
District of Columbia,2013,619371.0
Alabama,2014,4817678.0
Alaska,2014,728300.0
Arizona,2014,6561516.0
Arkansas,2014,2947036.0
California,2014,38066920.0
Colorado,2014,5197580.0
Connecticut,2014,3592053.0
Delaware,2014,917060.0
Florida,2014,19361792.0
Georgia,2014,9907756.0
Hawaii,2014,1392704.0
Idaho,2014,1599464.0
Illinois,2014,12868747.0
Indiana,2014,6542411.0
Iowa,2014,3078116.0
Kansas,2014,2882946.0
Kentucky,2014,4383272.0
Louisiana,2014,4601049.0
Maine,2014,1328535.0
Maryland,2014,5887776.0
Massachusetts,2014,6657291.0
Michigan,2014,9889024.0
Minnesota,2014,5383661.0
Mississippi,2014,2984345.0
Missouri,2014,6028076.0
Montana,2014,1006370.0
Nebraska,2014,1855617.0
Nevada,2014,2761584.0
New Hampshire,2014,1321069.0
New Jersey,2014,8874374.0
