"Source Table: ACSST1Y2011.S1501"

"UNIVERSE CONSTANTS"
"Estimate"

"Geographic Area Name","Percent bachelor's degree or higher","MoE"
"Alabama","22.2%","± 0.5%"
"Alaska","23.9%","± 1.6%"
"Arizona","27.7%","± 0.6%"
"Arkansas","20.4%","± 0.7%"
"California","30.6%","± 0.3%"
"Colorado","37.2%","± 0.6%"
"Connecticut","36.6%","± 0.7%"
"Delaware","29.4%","± 1.1%"
"District of Columbia","53.2%","± 1.5%"
"Florida","26.7%","± 0.3%"
"Georgia","27.6%","± 0.5%"
"Hawaii","28.1%","± 1.2%"
"Idaho","26.7%","± 1.2%"
"Illinois","31.0%","± 0.4%"
"Indiana","23.3%","± 0.4%"
"Iowa","25.3%","± 0.7%"
"Kansas","29.9%","± 0.7%"
"Kentucky","20.7%","± 0.5%"
"Louisiana","20.3%","± 0.5%"
"Maine","27.4%","± 0.9%"
"Maryland","36.8%","± 0.6%"
"Massachusetts","39.8%","± 0.6%"
"Michigan","25.8%","± 0.3%"
"Minnesota","32.0%","± 0.5%"
"Mississippi","18.8%","± 0.8%"
"Missouri","26.4%","± 0.5%"
"Montana","28.2%","± 1.2%"
"Nebraska","27.6%","± 0.8%"
"Nevada","22.1%","± 1.0%"
"New Hampshire","32.9%","± 1.0%"
"New Jersey","36.5%","± 0.4%"
"New Mexico","25.6%","± 0.8%"
"New York","32.6%","± 0.3%"
"North Carolina","26.5%","± 0.5%"
"North Dakota","24.5%","± 1.2%"
"Ohio","25.3%","± 0.3%"
"Oklahoma","23.7%","± 0.6%"
"Oregon","29.7%","± 0.7%"
"Pennsylvania","27.3%","± 0.3%"
"Rhode Island","32.4%","± 1.2%"
"South Carolina","24.1%","± 0.7%"
"South Dakota","25.1%","± 1.3%"
"Tennessee","23.4%","± 0.5%"
"Texas","26.9%","± 0.3%"
"Utah","32.5%","± 0.9%"
"Vermont","32.3%","± 1.3%"
"Virginia","35.8%","± 0.4%"
"Washington","33.0%","± 0.5%"
"West Virginia","18.4%","± 0.7%"
"Wisconsin","25.8%","± 0.4%"
"Wyoming","23.8%","± 1.6%"
