"Source Table: ACSST1Y2019.S1501"

"UNIVERSE CONSTANTS"
"Percent ➡ AGE BY EDUCATIONAL ATTAINMENT ➡ Population 25 years and over"

"Geographic Area Name","Bachelor's degree or higher","MoE"
"Alabama","26.3%","± 0.5%"
"Alaska","30.2%","± 1.1%"
"Arizona","30.2%","± 0.3%"
"Arkansas","23.3%","± 0.6%"
"California","35.0%","± 0.1%"
"Colorado","42.7%","± 0.5%"
"Connecticut","39.8%","± 0.5%"
"Delaware","33.2%","± 1.0%"
"District of Columbia","59.7%","± 1.1%"
"Florida","30.7%","± 0.3%"
"Georgia","32.5%","± 0.4%"
"Hawaii","33.6%","± 0.8%"
"Idaho","28.7%","± 0.9%"
"Illinois","35.8%","± 0.3%"
"Indiana","26.9%","± 0.4%"
"Iowa","29.3%","± 0.5%"
"Kansas","34.0%","± 0.5%"
"Kentucky","25.1%","± 0.4%"
"Louisiana","25.0%","± 0.5%"
"Maine","33.2%","± 0.7%"
"Maryland","40.9%","± 0.4%"
"Massachusetts","45.0%","± 0.5%"
"Michigan","30.0%","± 0.3%"
"Minnesota","37.3%","± 0.3%"
"Mississippi","22.3%","± 0.7%"
"Missouri","30.2%","± 0.4%"
"Montana","33.6%","± 0.9%"
"Nebraska","33.2%","± 0.7%"
"Nevada","25.7%","± 0.5%"
"New Hampshire","37.6%","± 0.8%"
"New Jersey","41.2%","± 0.4%"
"New Mexico","27.7%","± 0.6%"
"New York","37.8%","± 0.3%"
"North Carolina","32.3%","± 0.4%"
"North Dakota","30.4%","± 1.1%"
"Ohio","29.3%","± 0.2%"
"Oklahoma","26.2%","± 0.3%"
"Oregon","34.5%","± 0.5%"
"Pennsylvania","32.3%","± 0.3%"
"Rhode Island","34.8%","± 1.1%"
"South Carolina","29.6%","± 0.4%"
"South Dakota","29.7%","± 1.2%"
"Tennessee","28.7%","± 0.4%"
"Texas","30.8%","± 0.2%"
"Utah","34.8%","± 0.7%"
"Vermont","38.7%","± 1.2%"
"Virginia","39.6%","± 0.4%"
"Washington","37.0%","± 0.3%"
"West Virginia","21.1%","± 0.7%"
"Wisconsin","31.3%","± 0.4%"
"Wyoming","29.1%","± 1.4%"
