state,avg_unemployment_rate,unemployment_volatility,avg_disaster_exposure_12m,max_disaster_exposure_12m,avg_disaster_count_month,total_disaster_months,unemployment_volatility_excl_covid,avg_damage_per_capita,max_damage_per_capita,total_damage_per_capita,years_with_damage,baseline_unemployment,shock_unemployment,recovery_months,unemployment_shock_magnitude,service_share_pct,industry_share_pct,natres_share_pct,tourism_share_pct,govt_share_pct,economic_profile,profile_benchmark_months,fiscal_capacity_per_capita,abbr,cvi_labor,cvi_disaster,cvi_damage,cvi_fiscal,cvi_structure,compound_vulnerability_index
Alabama,5.5717,2.6263,48.1278,278.0,4.1278,743.0,2.6119,69.1766,922.2528,1037.6483,15,3.12,13.1,12.0,9.98,53.23,23.04,1.87,3.21,15.74,Industry-Intensive,11.5,8926.0,AL,0.7633,0.3615,0.1222,0.7786,0.4137,0.4845
Alaska,6.3633,1.5089,13.5278,126.0,1.1167,201.0,1.3568,20.1924,48.6425,302.8867,15,5.46,11.8,15.0,6.34,38.72,9.06,14.77,3.5,19.57,Resource-Intensive,14.4,14315.0,AK,0.2631,0.0927,0.0334,0.3495,0.0252,0.1518
Arizona,6.1961,2.2489,9.8667,82.0,0.8333,150.0,2.2138,37.0141,457.9522,555.2112,15,4.77,13.2,16.0,8.43,62.81,16.44,1.87,4.28,11.26,Service-Dominated,16.2,8046.0,AZ,0.6046,0.0642,0.0639,0.8486,0.6701,0.4078
Arkansas,5.0428,1.8715,40.85,243.0,3.1222,562.0,1.8732,48.4854,218.5733,727.2805,15,3.58,9.6,16.0,6.02,55.99,21.05,2.81,3.49,12.1,Industry-Intensive,11.5,9496.0,AR,0.469,0.3049,0.0847,0.7332,0.4876,0.3935
California,7.1867,3.0036,48.5722,185.0,4.0722,733.0,2.8987,42.9295,495.1286,643.9422,15,4.21,15.7,23.0,11.49,64.28,15.85,1.57,4.22,10.94,Service-Dominated,16.2,12163.0,CA,0.8776,0.3649,0.0746,0.5209,0.7095,0.5101
Colorado,5.0456,2.3911,15.7944,141.0,1.3278,239.0,2.3706,105.1085,427.9901,1576.6278,15,2.76,10.9,24.0,8.14,63.03,13.15,4.14,4.96,11.51,Resource-Intensive,14.4,7635.0,CO,0.6672,0.1103,0.1872,0.8814,0.676,0.4654
Connecticut,5.9133,2.3428,9.9833,41.0,0.8611,155.0,2.2953,3.8529,24.9521,57.7931,15,3.64,7.8,24.0,4.16,68.57,16.28,0.19,3.38,9.44,Service-Dominated,16.2,10837.0,CT,0.6371,0.0651,0.0038,0.6264,0.8244,0.394
Delaware,5.3678,1.8534,1.6,8.0,0.1333,24.0,1.6177,1.7331,10.9432,25.9961,12,3.7,12.7,19.0,9.0,72.97,12.21,0.79,2.7,9.33,Service-Dominated,16.2,13364.0,DE,0.3671,0.0,0.0,0.4252,0.9422,0.2969
Florida,5.8506,2.8242,78.5444,360.0,7.7444,1394.0,2.7566,144.8419,785.9966,2172.628,15,3.24,12.9,19.0,9.66,68.26,12.21,0.64,5.69,9.7,Service-Dominated,16.2,6339.0,FL,0.821,0.5978,0.2592,0.9846,0.8161,0.6766
Georgia,5.9389,2.5471,89.7333,402.0,8.5722,1543.0,2.5711,56.1821,430.5892,842.7312,15,3.57,11.9,12.0,8.33,64.73,16.38,0.86,3.4,10.66,Service-Dominated,16.2,6145.0,GA,0.7471,0.6847,0.0986,1.0,0.7216,0.6359
Hawaii,4.5706,3.0699,3.4111,15.0,0.2833,51.0,1.5661,263.3115,3842.3413,3949.6731,14,2.38,22.1,20.0,19.72,54.4,9.8,0.58,10.18,20.15,Government-Intensive,18.0,13901.0,HI,0.3466,0.0141,0.4738,0.3825,0.445,0.309
Idaho,4.7983,2.2868,11.6833,99.0,0.9944,179.0,2.3103,40.3981,305.9037,605.9708,15,2.82,11.5,16.0,8.68,58.73,17.17,5.26,4.11,11.65,Resource-Intensive,14.4,8080.0,ID,0.6431,0.0783,0.07,0.8459,0.5609,0.4054
Illinois,6.6778,2.5015,29.1222,232.0,2.4222,436.0,2.2835,24.9683,121.6481,374.5251,15,3.88,17.9,20.0,14.02,64.06,17.29,1.19,3.91,9.33,Service-Dominated,16.2,9265.0,IL,0.6324,0.2138,0.0421,0.7516,0.7036,0.4383
Indiana,5.4689,2.5295,20.5667,185.0,1.6722,301.0,2.3868,4.7153,11.5323,70.7294,15,3.32,16.5,16.0,13.18,50.19,31.55,1.77,3.62,8.93,Industry-Intensive,11.5,8356.0,IN,0.6736,0.1474,0.0054,0.824,0.3323,0.3798
Iowa,3.95,1.3578,50.3889,227.0,4.3333,780.0,1.2389,148.704,917.5291,2230.5606,15,2.67,10.7,17.0,8.03,54.37,22.96,5.6,2.9,10.73,Resource-Intensive,14.4,10067.0,IA,0.2162,0.379,0.2662,0.6877,0.4442,0.3718
Kansas,4.3711,1.5188,56.6167,336.0,4.7111,848.0,1.3677,35.0488,206.0644,525.7314,15,3.12,11.8,12.0,8.68,56.24,20.65,3.81,2.89,12.27,Industry-Intensive,11.5,9753.0,KS,0.2675,0.4274,0.0603,0.7127,0.4942,0.3668
Kentucky,5.9967,2.2793,74.25,301.0,6.4278,1157.0,2.1695,7.48,38.0358,112.2007,15,4.11,16.1,6.0,11.99,53.53,22.37,2.39,3.73,12.5,Industry-Intensive,11.5,10693.0,KY,0.587,0.5644,0.0104,0.6379,0.4217,0.4489
Louisiana,5.8028,1.6604,92.25,691.0,7.95,1431.0,1.3325,553.8569,3144.3713,8307.8529,15,4.82,13.0,16.0,8.18,50.27,26.05,4.56,4.14,11.2,Resource-Intensive,14.4,9565.0,LA,0.2535,0.7043,1.0,0.7277,0.3344,0.5988
