state,abbr,recovery_months_predicted,recovery_months_low,recovery_months_high,instability_tier,prob_LOW,prob_MODERATE,prob_HIGH,prob_CRITICAL,drpi_score,drpi_risk_tier,avg_disaster_exposure_12m,avg_damage_per_capita,fiscal_capacity_per_capita,compound_vulnerability_index,cvi_labor,cvi_disaster,cvi_damage,cvi_fiscal,cvi_structure,avg_unemployment_rate,unemployment_volatility_excl_covid,baseline_unemployment,unemployment_shock_magnitude,service_share_pct,industry_share_pct,natres_share_pct,govt_share_pct,economic_profile,profile_benchmark_months,recovery_months,narrative,keywords
Louisiana,LA,16.8,10.4,23.2,LOW,0.451,0.217,0.161,0.171,68.2,HIGH,92.25,553.8569,9565.0,0.5988,0.2535,0.7043,1.0,0.7277,0.3344,5.8028,1.3325,4.82,8.18,50.27,26.05,4.56,11.2,Resource-Intensive,14.4,16.0,"Louisiana received a DRPI score of 68.2 out of 100 (HIGH tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 17 months following a major disaster event (90% prediction interval: 10–23 months). The state recorded an average FEMA disaster exposure of 92.2 declarations per 12-month window and average per-capita damage of $554. Its Compound Vulnerability Index (CVI) is 0.599 and fiscal capacity stands at $9,565 per capita. The labor instability classifier assigned a LOW tier, based on an unemployment shock of +8.2 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Resource-Intensive (50% service sector share of GDP).","drpi-high, recovery-17mo, instability-low, resource-intensive, cvi-0.60"
Florida,FL,17.8,11.4,24.2,CRITICAL,0.051,0.166,0.209,0.574,65.4,HIGH,78.5444,144.8419,6339.0,0.6766,0.821,0.5978,0.2592,0.9846,0.8161,5.8506,2.7566,3.24,9.66,68.26,12.21,0.64,9.7,Service-Dominated,16.2,19.0,"Florida received a DRPI score of 65.4 out of 100 (HIGH tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 18 months following a major disaster event (90% prediction interval: 11–24 months). The state recorded an average FEMA disaster exposure of 78.5 declarations per 12-month window and average per-capita damage of $145. Its Compound Vulnerability Index (CVI) is 0.677 and fiscal capacity stands at $6,339 per capita. The labor instability classifier assigned a CRITICAL tier, based on an unemployment shock of +9.7 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Service-Dominated (68% service sector share of GDP).","drpi-high, recovery-18mo, instability-critical, service-dominated, cvi-0.68"
California,CA,21.3,14.9,27.7,CRITICAL,0.025,0.08,0.18,0.715,60.1,HIGH,48.5722,42.9295,12163.0,0.5101,0.8776,0.3649,0.0746,0.5209,0.7095,7.1867,2.8987,4.21,11.49,64.28,15.85,1.57,10.94,Service-Dominated,16.2,23.0,"California received a DRPI score of 60.1 out of 100 (HIGH tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 21 months following a major disaster event (90% prediction interval: 15–28 months). The state recorded an average FEMA disaster exposure of 48.6 declarations per 12-month window and average per-capita damage of $43. Its Compound Vulnerability Index (CVI) is 0.510 and fiscal capacity stands at $12,163 per capita. The labor instability classifier assigned a CRITICAL tier, based on an unemployment shock of +11.5 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Service-Dominated (64% service sector share of GDP).","drpi-high, recovery-21mo, instability-critical, service-dominated, cvi-0.51"
Texas,TX,12.6,6.2,19.0,MODERATE,0.164,0.304,0.275,0.257,57.6,HIGH,130.3167,200.8941,6894.0,0.6303,0.3616,1.0,0.3607,0.9404,0.5111,5.3861,1.6038,3.62,8.68,56.87,18.07,8.32,9.71,Resource-Intensive,14.4,20.0,"Texas received a DRPI score of 57.6 out of 100 (HIGH tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 13 months following a major disaster event (90% prediction interval: 6–19 months). The state recorded an average FEMA disaster exposure of 130.3 declarations per 12-month window and average per-capita damage of $201. Its Compound Vulnerability Index (CVI) is 0.630 and fiscal capacity stands at $6,894 per capita. The labor instability classifier assigned a MODERATE tier, based on an unemployment shock of +8.7 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Resource-Intensive (57% service sector share of GDP).","drpi-high, recovery-13mo, instability-moderate, resource-intensive, cvi-0.63"
New Jersey,NJ,22.0,15.6,28.4,CRITICAL,0.04,0.149,0.205,0.605,57.4,HIGH,18.9167,199.979,10907.0,0.4896,0.6551,0.1345,0.3591,0.6209,0.8482,6.3433,2.3403,3.64,10.76,69.46,13.42,0.25,9.79,Service-Dominated,16.2,24.0,"New Jersey received a DRPI score of 57.4 out of 100 (HIGH tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 22 months following a major disaster event (90% prediction interval: 16–28 months). The state recorded an average FEMA disaster exposure of 18.9 declarations per 12-month window and average per-capita damage of $200. Its Compound Vulnerability Index (CVI) is 0.490 and fiscal capacity stands at $10,907 per capita. The labor instability classifier assigned a CRITICAL tier, based on an unemployment shock of +10.8 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Service-Dominated (69% service sector share of GDP).","drpi-high, recovery-22mo, instability-critical, service-dominated, cvi-0.49"
Georgia,GA,15.2,8.8,21.6,HIGH,0.111,0.294,0.335,0.26,56.4,HIGH,89.7333,56.1821,6145.0,0.6359,0.7471,0.6847,0.0986,1.0,0.7216,5.9389,2.5711,3.57,8.33,64.73,16.38,0.86,10.66,Service-Dominated,16.2,12.0,"Georgia received a DRPI score of 56.4 out of 100 (HIGH tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 15 months following a major disaster event (90% prediction interval: 9–22 months). The state recorded an average FEMA disaster exposure of 89.7 declarations per 12-month window and average per-capita damage of $56. Its Compound Vulnerability Index (CVI) is 0.636 and fiscal capacity stands at $6,145 per capita. The labor instability classifier assigned a HIGH tier, based on an unemployment shock of +8.3 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Service-Dominated (65% service sector share of GDP).","drpi-high, recovery-15mo, instability-high, service-dominated, cvi-0.64"
North Carolina,NC,16.3,9.9,22.7,CRITICAL,0.031,0.091,0.164,0.713,54.9,HIGH,77.3556,52.0227,8115.0,0.5773,0.7797,0.5885,0.0911,0.8432,0.6037,6.0578,2.6531,3.83,9.97,60.33,20.15,0.96,12.34,Industry-Intensive,11.5,17.0,"North Carolina received a DRPI score of 54.9 out of 100 (HIGH tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 16 months following a major disaster event (90% prediction interval: 10–23 months). The state recorded an average FEMA disaster exposure of 77.4 declarations per 12-month window and average per-capita damage of $52. Its Compound Vulnerability Index (CVI) is 0.577 and fiscal capacity stands at $8,115 per capita. The labor instability classifier assigned a CRITICAL tier, based on an unemployment shock of +10.0 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Industry-Intensive (60% service sector share of GDP).","drpi-high, recovery-16mo, instability-critical, industry-intensive, cvi-0.58"
Rhode Island,RI,22.4,16.0,28.8,CRITICAL,0.017,0.143,0.22,0.621,52.4,HIGH,4.8556,6.9197,11261.0,0.4553,0.9692,0.0253,0.0094,0.5927,0.7727,6.6011,3.1285,3.51,13.99,66.64,13.02,0.3,13.17,Service-Dominated,16.2,19.0,"Rhode Island received a DRPI score of 52.4 out of 100 (HIGH tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 22 months following a major disaster event (90% prediction interval: 16–29 months). The state recorded an average FEMA disaster exposure of 4.9 declarations per 12-month window and average per-capita damage of $7. Its Compound Vulnerability Index (CVI) is 0.455 and fiscal capacity stands at $11,261 per capita. The labor instability classifier assigned a CRITICAL tier, based on an unemployment shock of +14.0 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Service-Dominated (67% service sector share of GDP).","drpi-high, recovery-22mo, instability-critical, service-dominated, cvi-0.46"
New York,NY,21.5,15.1,27.9,HIGH,0.054,0.218,0.571,0.157,49.5,MODERATE,36.1833,8.3567,13219.0,0.4056,0.482,0.2687,0.012,0.4368,1.0,6.1489,1.906,3.95,11.25,75.13,8.61,0.23,10.01,Service-Dominated,16.2,24.0,"New York received a DRPI score of 49.5 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 22 months following a major disaster event (90% prediction interval: 15–28 months). The state recorded an average FEMA disaster exposure of 36.2 declarations per 12-month window and average per-capita damage of $8. Its Compound Vulnerability Index (CVI) is 0.406 and fiscal capacity stands at $13,219 per capita. The labor instability classifier assigned a HIGH tier, based on an unemployment shock of +11.2 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Service-Dominated (75% service sector share of GDP).","drpi-moderate, recovery-22mo, instability-high, service-dominated, cvi-0.41"
South Carolina,SC,16.5,10.1,22.9,CRITICAL,0.154,0.219,0.185,0.441,47.2,MODERATE,49.85,25.2693,8980.0,0.5029,0.838,0.3749,0.0426,0.7743,0.4999,5.7078,2.7994,2.72,8.28,56.45,21.32,0.74,14.1,Industry-Intensive,11.5,19.0,"South Carolina received a DRPI score of 47.2 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 16 months following a major disaster event (90% prediction interval: 10–23 months). The state recorded an average FEMA disaster exposure of 49.9 declarations per 12-month window and average per-capita damage of $25. Its Compound Vulnerability Index (CVI) is 0.503 and fiscal capacity stands at $8,980 per capita. The labor instability classifier assigned a CRITICAL tier, based on an unemployment shock of +8.3 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Industry-Intensive (56% service sector share of GDP).","drpi-moderate, recovery-16mo, instability-critical, industry-intensive, cvi-0.50"
Missouri,MO,14.9,8.5,21.3,MODERATE,0.186,0.37,0.243,0.2,47.2,MODERATE,71.0222,57.4568,7438.0,0.5397,0.6091,0.5393,0.1009,0.8971,0.6522,5.1783,2.2248,3.25,7.65,62.14,17.63,1.63,10.95,Service-Dominated,16.2,17.0,"Missouri received a DRPI score of 47.2 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 15 months following a major disaster event (90% prediction interval: 8–21 months). The state recorded an average FEMA disaster exposure of 71.0 declarations per 12-month window and average per-capita damage of $57. Its Compound Vulnerability Index (CVI) is 0.540 and fiscal capacity stands at $7,438 per capita. The labor instability classifier assigned a MODERATE tier, based on an unemployment shock of +7.7 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Service-Dominated (62% service sector share of GDP).","drpi-moderate, recovery-15mo, instability-moderate, service-dominated, cvi-0.54"
Michigan,MI,19.5,13.1,25.9,CRITICAL,0.006,0.034,0.227,0.733,46.7,MODERATE,15.6833,32.3967,9216.0,0.4554,0.8585,0.1094,0.0555,0.7555,0.5936,6.6467,2.8508,3.96,18.54,59.95,22.43,1.09,10.09,Industry-Intensive,11.5,19.0,"Michigan received a DRPI score of 46.7 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 20 months following a major disaster event (90% prediction interval: 13–26 months). The state recorded an average FEMA disaster exposure of 15.7 declarations per 12-month window and average per-capita damage of $32. Its Compound Vulnerability Index (CVI) is 0.455 and fiscal capacity stands at $9,216 per capita. The labor instability classifier assigned a CRITICAL tier, based on an unemployment shock of +18.5 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Industry-Intensive (60% service sector share of GDP).","drpi-moderate, recovery-20mo, instability-critical, industry-intensive, cvi-0.46"
Nevada,NV,19.5,13.1,25.9,CRITICAL,0.019,0.069,0.174,0.737,46.5,MODERATE,9.3389,7.7065,8215.0,0.4613,1.0,0.0601,0.0108,0.8352,0.4589,7.9083,3.2059,4.38,25.72,54.92,13.73,2.34,9.94,Service-Dominated,16.2,20.0,"Nevada received a DRPI score of 46.5 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 20 months following a major disaster event (90% prediction interval: 13–26 months). The state recorded an average FEMA disaster exposure of 9.3 declarations per 12-month window and average per-capita damage of $8. Its Compound Vulnerability Index (CVI) is 0.461 and fiscal capacity stands at $8,215 per capita. The labor instability classifier assigned a CRITICAL tier, based on an unemployment shock of +25.7 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Service-Dominated (55% service sector share of GDP).","drpi-moderate, recovery-20mo, instability-critical, service-dominated, cvi-0.46"
Alabama,AL,16.0,9.6,22.4,CRITICAL,0.044,0.063,0.157,0.736,45.3,MODERATE,48.1278,69.1766,8926.0,0.4845,0.7633,0.3615,0.1222,0.7786,0.4137,5.5717,2.6119,3.12,9.98,53.23,23.04,1.87,15.74,Industry-Intensive,11.5,12.0,"Alabama received a DRPI score of 45.3 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 16 months following a major disaster event (90% prediction interval: 10–22 months). The state recorded an average FEMA disaster exposure of 48.1 declarations per 12-month window and average per-capita damage of $69. Its Compound Vulnerability Index (CVI) is 0.484 and fiscal capacity stands at $8,926 per capita. The labor instability classifier assigned a CRITICAL tier, based on an unemployment shock of +10.0 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Industry-Intensive (53% service sector share of GDP).","drpi-moderate, recovery-16mo, instability-critical, industry-intensive, cvi-0.48"
Tennessee,TN,15.7,9.3,22.1,CRITICAL,0.03,0.107,0.151,0.713,45.3,MODERATE,50.1611,75.9428,7012.0,0.5159,0.6618,0.3773,0.1344,0.931,0.5976,5.5911,2.3572,3.37,11.63,60.1,18.37,0.7,10.13,Service-Dominated,16.2,17.0,"Tennessee received a DRPI score of 45.3 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 16 months following a major disaster event (90% prediction interval: 9–22 months). The state recorded an average FEMA disaster exposure of 50.2 declarations per 12-month window and average per-capita damage of $76. Its Compound Vulnerability Index (CVI) is 0.516 and fiscal capacity stands at $7,012 per capita. The labor instability classifier assigned a CRITICAL tier, based on an unemployment shock of +11.6 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Service-Dominated (60% service sector share of GDP).","drpi-moderate, recovery-16mo, instability-critical, service-dominated, cvi-0.52"
Hawaii,HI,21.4,15.0,27.8,CRITICAL,0.193,0.326,0.132,0.35,44.9,MODERATE,3.4111,263.3115,13901.0,0.309,0.3466,0.0141,0.4738,0.3825,0.445,4.5706,1.5661,2.38,19.72,54.4,9.8,0.58,20.15,Government-Intensive,18.0,20.0,"Hawaii received a DRPI score of 44.9 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 21 months following a major disaster event (90% prediction interval: 15–28 months). The state recorded an average FEMA disaster exposure of 3.4 declarations per 12-month window and average per-capita damage of $263. Its Compound Vulnerability Index (CVI) is 0.309 and fiscal capacity stands at $13,901 per capita. The labor instability classifier assigned a CRITICAL tier, based on an unemployment shock of +19.7 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Government-Intensive (54% service sector share of GDP).","drpi-moderate, recovery-21mo, instability-critical, government-intensive, cvi-0.31"
Mississippi,MS,15.1,8.7,21.5,CRITICAL,0.163,0.118,0.339,0.379,44.6,MODERATE,60.2778,80.688,9386.0,0.4752,0.6801,0.4559,0.143,0.742,0.3419,6.4217,2.4031,5.58,9.22,50.55,21.23,2.79,16.59,Industry-Intensive,11.5,12.0,"Mississippi received a DRPI score of 44.6 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 15 months following a major disaster event (90% prediction interval: 9–22 months). The state recorded an average FEMA disaster exposure of 60.3 declarations per 12-month window and average per-capita damage of $81. Its Compound Vulnerability Index (CVI) is 0.475 and fiscal capacity stands at $9,386 per capita. The labor instability classifier assigned a CRITICAL tier, based on an unemployment shock of +9.2 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Industry-Intensive (51% service sector share of GDP).","drpi-moderate, recovery-15mo, instability-critical, industry-intensive, cvi-0.48"
Kentucky,KY,15.4,9.0,21.8,HIGH,0.131,0.12,0.394,0.355,44.1,MODERATE,74.25,7.48,10693.0,0.4489,0.587,0.5644,0.0104,0.6379,0.4217,5.9967,2.1695,4.11,11.99,53.53,22.37,2.39,12.5,Industry-Intensive,11.5,6.0,"Kentucky received a DRPI score of 44.1 out of 100 (MODERATE tier), based on data from FEMA, BLS, NOAA, BEA, and the U.S. Census (2010–2024). The Ridge Regression model (LOO-CV R²=0.14) estimates a labor market stabilization period of 15 months following a major disaster event (90% prediction interval: 9–22 months). The state recorded an average FEMA disaster exposure of 74.2 declarations per 12-month window and average per-capita damage of $7. Its Compound Vulnerability Index (CVI) is 0.449 and fiscal capacity stands at $10,693 per capita. The labor instability classifier assigned a HIGH tier, based on an unemployment shock of +12.0 percentage points recorded during the COVID-19 period. The state's economic structure is classified as Industry-Intensive (54% service sector share of GDP).","drpi-moderate, recovery-15mo, instability-high, industry-intensive, cvi-0.45"
