state,abbr,recovery_months_predicted,recovery_months_low,recovery_months_high,instability_tier,prob_LOW,prob_MODERATE,prob_HIGH,prob_CRITICAL,drpi_score,drpi_risk_tier,avg_disaster_exposure_12m,avg_damage_per_capita,fiscal_capacity_per_capita,compound_vulnerability_index,cvi_labor,cvi_disaster,cvi_damage,cvi_fiscal,cvi_structure,avg_unemployment_rate,unemployment_volatility_excl_covid,baseline_unemployment,unemployment_shock_magnitude,service_share_pct,industry_share_pct,natres_share_pct,govt_share_pct,economic_profile,profile_benchmark_months,recovery_months
Louisiana,LA,16.7,10.3,23.1,LOW,0.433,0.209,0.172,0.187,69.1,HIGH,92.25,553.8569,9565.0,0.5783,0.2535,0.7043,1.0,0.7277,0.3344,5.8028,1.3325,4.82,8.18,50.27,26.05,4.56,11.2,Resource-Intensive,14.4,16.0
California,CA,21.9,15.5,28.3,CRITICAL,0.025,0.082,0.234,0.66,65.2,HIGH,48.5722,42.9295,12163.0,0.547,0.8776,0.3649,0.0746,0.5209,0.7095,7.1867,2.8987,4.21,11.49,64.28,15.85,1.57,10.94,Service-Dominated,16.2,23.0
Florida,FL,17.3,10.9,23.7,CRITICAL,0.036,0.178,0.242,0.543,63.7,HIGH,78.5444,144.8419,6339.0,0.6068,0.821,0.5978,0.2592,0.9846,0.8161,5.8506,2.7566,3.24,9.66,68.26,12.21,0.64,9.7,Service-Dominated,16.2,19.0
New Jersey,NJ,21.8,15.4,28.2,CRITICAL,0.033,0.115,0.231,0.621,58.0,HIGH,18.9167,199.979,10907.0,0.472,0.6551,0.1345,0.3591,0.6209,0.8482,6.3433,2.3403,3.64,10.76,69.46,13.42,0.25,9.79,Service-Dominated,16.2,24.0
Georgia,GA,15.5,9.1,21.9,HIGH,0.092,0.287,0.373,0.247,57.6,HIGH,89.7333,56.1821,6145.0,0.5969,0.7471,0.6847,0.0986,1.0,0.7216,5.9389,2.5711,3.57,8.33,64.73,16.38,0.86,10.66,Service-Dominated,16.2,12.0
Texas,TX,12.5,6.1,18.9,MODERATE,0.143,0.308,0.27,0.279,56.4,HIGH,130.3167,200.8941,6894.0,0.5651,0.3616,1.0,0.3607,0.9404,0.5111,5.3861,1.6038,3.62,8.68,56.87,18.07,8.32,9.71,Resource-Intensive,14.4,20.0
North Carolina,NC,16.5,10.1,22.9,CRITICAL,0.024,0.106,0.203,0.666,56.4,HIGH,77.3556,52.0227,8115.0,0.5578,0.7797,0.5885,0.0911,0.8432,0.6037,6.0578,2.6531,3.83,9.97,60.33,20.15,0.96,12.34,Industry-Intensive,11.5,17.0
Hawaii,HI,22.4,16.0,28.8,CRITICAL,0.115,0.145,0.183,0.557,51.6,HIGH,3.4111,263.3115,13901.0,0.3861,0.3466,0.0141,0.4738,0.3825,0.445,4.5706,1.5661,2.38,19.72,54.4,9.8,0.58,20.15,Government-Intensive,18.0,20.0
Rhode Island,RI,21.5,15.1,27.9,CRITICAL,0.011,0.135,0.279,0.574,50.5,HIGH,4.8556,6.9197,11261.0,0.4264,0.9692,0.0253,0.0094,0.5927,0.7727,6.6011,3.1285,3.51,13.99,66.64,13.02,0.3,13.17,Service-Dominated,16.2,19.0
Michigan,MI,19.3,12.9,25.7,CRITICAL,0.007,0.037,0.272,0.684,47.2,MODERATE,15.6833,32.3967,9216.0,0.4452,0.8585,0.1094,0.0555,0.7555,0.5936,6.6467,2.8508,3.96,18.54,59.95,22.43,1.09,10.09,Industry-Intensive,11.5,19.0
New York,NY,20.9,14.5,27.3,HIGH,0.072,0.324,0.496,0.109,47.0,MODERATE,36.1833,8.3567,13219.0,0.3519,0.482,0.2687,0.012,0.4368,1.0,6.1489,1.906,3.95,11.25,75.13,8.61,0.23,10.01,Service-Dominated,16.2,24.0
Nevada,NV,19.1,12.7,25.5,CRITICAL,0.017,0.06,0.161,0.762,46.7,MODERATE,9.3389,7.7065,8215.0,0.4563,1.0,0.0601,0.0108,0.8352,0.4589,7.9083,3.2059,4.38,25.72,54.92,13.73,2.34,9.94,Service-Dominated,16.2,20.0
Missouri,MO,14.8,8.4,21.2,MODERATE,0.165,0.364,0.273,0.199,46.3,MODERATE,71.0222,57.4568,7438.0,0.4902,0.6091,0.5393,0.1009,0.8971,0.6522,5.1783,2.2248,3.25,7.65,62.14,17.63,1.63,10.95,Service-Dominated,16.2,17.0
