state,abbr,shap_avg_disaster_exposure_12m,shap_avg_damage_per_capita,shap_fiscal_capacity_per_capita,shap_unemployment_shock_magnitude,shap_service_share_pct,shap_compound_vulnerability_index,state,base_value,top_driver
Alabama,AL,-1.6579671154158353,-0.010964988199733683,-0.49541596795872517,0.45916184259915027,-2.2501371828574963,-0.13252086994561388,Alabama,16.400000000000002,service_share_pct
Alaska,AK,1.362354433732589,-0.8695324999319636,2.938735457256834,-0.6808816593721533,-1.7800498257103912,-2.385483164202345,Alaska,16.400000000000002,fiscal_capacity_per_capita
Arizona,AZ,0.5650134611054033,-0.21424894004222425,-0.609428550453357,0.04649883906317161,-0.08275468506525165,0.07635196900000286,Arizona,16.400000000000002,fiscal_capacity_per_capita
Arkansas,AR,0.8891017852966356,-0.08710375014908224,-0.5275464428059877,-1.3931843150569125,-0.8521099945641122,1.375874446537831,Arkansas,16.400000000000002,unemployment_shock_magnitude
California,CA,-0.7326033994578649,0.6466923240872372,2.4156439462932875,0.8818126982656309,1.685277763290212,1.554644272167651,California,16.400000000000002,fiscal_capacity_per_capita
Colorado,CO,1.8842349265879605,0.7565092371286876,0.3588253393485148,0.9987161103542164,0.9812097078096922,2.1102505283497663,Colorado,16.400000000000002,compound_vulnerability_index
Connecticut,CT,2.369620888811849,0.3625125005393783,2.1645344366840096,-1.031747357014709,2.8990085521703026,0.8240462664100368,Connecticut,16.400000000000002,service_share_pct
Delaware,DE,-0.17351615811765023,-0.006450308141153247,3.65281880727571,-0.09839424495252408,2.016718798227361,-2.7839454759737046,Delaware,16.400000000000002,fiscal_capacity_per_capita
Florida,FL,-0.9496650881103993,0.5731804233695265,-0.7658953767698732,0.7074866263351364,1.8650445968332856,1.1332697854944016,Florida,16.400000000000002,service_share_pct
Georgia,GA,-0.8615817237872837,-0.024407525762021612,-5.91834928539498,0.7995813611509054,0.7457793476196272,0.9970088114907649,Georgia,16.400000000000002,fiscal_capacity_per_capita
Hawaii,HI,0.8331514731391795,0.6643135294227768,1.4194171164034257,1.3320458071035044,-0.7474694247790078,0.0504517078460966,Hawaii,16.400000000000002,fiscal_capacity_per_capita
Idaho,ID,0.5490364129318943,-0.13320959562970425,-0.6088716465542109,0.023207154345401278,-0.2732677465232362,0.1678501653571403,Idaho,16.400000000000002,fiscal_capacity_per_capita
Illinois,IL,0.5300059910091959,0.09557569955043509,-0.577298827723689,1.763842084113101,1.314511155716124,0.30863571350912766,Illinois,16.400000000000002,unemployment_shock_magnitude
Indiana,IN,0.8480637836629302,0.014491711124971475,-0.20754907696263342,0.08180473551542308,-1.455506700213984,0.2587242849497293,Indiana,16.400000000000002,service_share_pct
Iowa,IA,-1.1947347869716831,0.8483734513002738,-1.120168081817602,1.2702983455765662,-0.578202071562289,1.1258764435645217,Iowa,16.400000000000002,unemployment_shock_magnitude
Kansas,KS,-1.2518438227496502,-0.003688458589148069,-2.1683396795459955,0.4654022697593311,-1.0530714795991873,-0.2586047908681645,Kansas,16.400000000000002,fiscal_capacity_per_capita
Kentucky,KY,-2.515810777534829,-1.0680868542977395,-4.290127202279675,0.24326907639908107,-2.181772132910757,-0.5118146026908196,Kentucky,16.400000000000002,fiscal_capacity_per_capita
Louisiana,LA,-0.7641477508153056,0.3966802094678457,-0.5704822779091733,1.0024417677989075,-1.5288407152178158,1.1164129449160975,Louisiana,16.400000000000002,service_share_pct
Maine,ME,-3.230959254841265,-0.6964250496124209,-2.3469855311508647,-5.0762083302382255,0.3375625359391524,-0.24927734663544132,Maine,16.400000000000002,unemployment_shock_magnitude
Maryland,MD,2.386422167465927,0.4716891870894668,0.047424985756294724,-1.1327728443015828,-0.3945807186436696,1.093603759320184,Maryland,16.400000000000002,avg_disaster_exposure_12m
Massachusetts,MA,1.5291044022842568,0.07942693918957816,2.0462420512193047,1.1610826728705113,2.9337744619458985,-0.18784520714531358,Massachusetts,16.400000000000002,service_share_pct
Michigan,MI,1.07625199162887,-0.5436897821872507,-0.2061178129739946,1.4141803378311526,-0.20687260316439024,1.079244572339042,Michigan,16.400000000000002,unemployment_shock_magnitude
Minnesota,MN,-0.6890885637149641,-0.7906974105845476,1.0998776476697398,-2.4418692583698594,-0.4803812589206319,-0.03849715753388213,Minnesota,16.400000000000002,unemployment_shock_magnitude
Mississippi,MS,-1.7323271955735604,-0.06125620947233763,-0.5886370637468523,0.5146767188048627,-2.2175779472823853,-0.04613165022626876,Mississippi,16.400000000000002,service_share_pct
Missouri,MO,-1.3706371810629008,-0.17322965287019587,-0.42434622482146195,1.0675984822172275,0.14838010255619735,1.3835540148289367,Missouri,16.400000000000002,compound_vulnerability_index
Montana,MT,-0.26304903250027295,-0.7354497450519699,-1.9345868734611131,0.18628120270119142,-1.3064369759509238,-6.088881464789488,Montana,16.400000000000002,compound_vulnerability_index
Nebraska,NE,-2.792422221650095,0.25928270215636334,-1.619016101696724,-3.929184183710612,-0.8288767516806165,-3.342712482644745,Nebraska,16.400000000000002,unemployment_shock_magnitude
Nevada,NV,1.7085335880216939,0.36105234712680884,-0.17014141045440376,1.7076905591515952,-0.7515340005902651,0.6796174396245481,Nevada,16.400000000000002,avg_disaster_exposure_12m
New Hampshire,NH,0.1811627923672332,-0.3857023139790517,-0.8095396456565062,0.3517569269638783,1.3214170730482022,-0.11669480408413763,New Hampshire,16.400000000000002,service_share_pct
New Jersey,NJ,1.294855034141829,0.3576249794322566,2.183781820390921,0.0744195747494432,2.4099982376212457,1.3416899545353371,New Jersey,16.400000000000002,service_share_pct
New Mexico,NM,2.1211341977071347,0.3430500221036691,4.38550652815163,-1.1575877967158852,-1.2583031524320003,-1.9728065973082076,New Mexico,16.400000000000002,fiscal_capacity_per_capita
New York,NY,0.8578347486754323,0.3343122516565527,2.1405873740752726,0.10987505647430072,3.4772636823103293,0.6098140874986592,New York,16.400000000000002,service_share_pct
North Carolina,NC,-1.1377704032890812,-0.0623648809206808,-0.48117907486291445,0.7109413272166637,0.1999120435655298,1.309900031191316,North Carolina,16.400000000000002,compound_vulnerability_index
North Dakota,ND,0.25656215162740287,0.3000222407728826,3.524870424336369,-0.6044040200208817,-1.7663997070943755,-2.096060985091277,North Dakota,16.400000000000002,fiscal_capacity_per_capita
Ohio,OH,0.28102798879419844,-0.19118078363566582,-0.1869348338539883,0.3236421699579083,-0.0545094072864245,0.330420936238817,Ohio,16.400000000000002,compound_vulnerability_index
Oklahoma,OK,0.09351388224599899,0.12551114942449546,-0.4553648939981156,0.6298207517655551,-1.1610768042764774,1.1578157314846578,Oklahoma,16.400000000000002,service_share_pct
Oregon,OR,0.6893306721846133,0.15950193058483927,1.525466330558627,0.012945097708270873,-0.7306493437834811,-0.05630271831952865,Oregon,16.400000000000002,fiscal_capacity_per_capita
Pennsylvania,PA,0.4735709785037835,0.08843499756240836,-0.6390024633313903,-0.004038980423827026,1.018604900931249,0.7034519201057114,Pennsylvania,16.400000000000002,service_share_pct
Rhode Island,RI,0.12180766142507042,-0.3354107113490812,1.437387167536321,0.1401497150610345,1.2358205182124156,0.04381040403956192,Rhode Island,16.400000000000002,fiscal_capacity_per_capita
South Carolina,SC,-1.1473126832310419,0.46690129821159554,-0.24162787451411427,1.1712486790993912,0.153653280190874,1.9769985428993506,South Carolina,16.400000000000002,compound_vulnerability_index
South Dakota,SD,-3.188041889628671,-0.6004596569047372,-0.653446383377021,-5.244575158660583,-0.32843338754107687,-0.0027359548936907964,South Dakota,16.400000000000002,unemployment_shock_magnitude
Tennessee,TN,-1.2501326554474752,-0.1704300430349777,-0.3423582144442694,0.8633500459109658,0.13906284858145956,1.3123366999634154,Tennessee,16.400000000000002,compound_vulnerability_index
Texas,TX,0.4560783138692678,0.5665557504718157,-0.3279879514790201,0.9062011943827262,0.2672552055731529,1.587609656011373,Texas,16.400000000000002,compound_vulnerability_index
Utah,UT,0.3036725474206481,-0.39745144963194057,-1.05068913360625,0.10737616669112236,-0.2592940825804934,-2.087516871220991,Utah,16.400000000000002,compound_vulnerability_index
Vermont,VT,0.6906715782286159,0.5343692590991385,3.4089306351501496,0.29449893351316736,-0.7590877223376438,-2.543819642443868,Vermont,16.400000000000002,fiscal_capacity_per_capita
Virginia,VA,-0.9743674405785961,0.7083133184710506,-0.1005891684406491,1.242503520190851,0.31033785377656264,0.2492504260312072,Virginia,16.400000000000002,unemployment_shock_magnitude
Washington,WA,0.34193844252060335,-0.2187534189497317,-0.7555188053342903,0.1964694395445706,0.9731597951470414,0.29177529696209387,Washington,16.400000000000002,service_share_pct
West Virginia,WV,-0.008266664360457556,-0.3725796418499014,-1.1731421856120094,0.249490616812737,-1.3765227689436788,-0.7947561893957332,West Virginia,16.400000000000002,service_share_pct
Wisconsin,WI,0.569034786354682,-0.5710067607950979,-0.36216753877372704,-0.17696862690925982,-0.2978125433019866,0.5240655717172045,Wisconsin,16.400000000000002,avg_damage_per_capita
Wyoming,WY,1.7289644732923561,-0.8447204788776235,2.8382016096276548,-1.3101016142394588,-1.2824476349576845,-2.408657989338651,Wyoming,16.400000000000002,fiscal_capacity_per_capita
